f,count
original_shape_Flatness,153
original_firstorder_Maximum,82
original_glcm_Imc2,71
log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,32
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,50
log.sigma.3.0.mm.3D_firstorder_Skewness,91
log.sigma.4.0.mm.3D_firstorder_90Percentile,32
wavelet.LLH_firstorder_Kurtosis,43
wavelet.LHL_firstorder_Mean,113
wavelet.LHL_firstorder_Median,181
wavelet.LHL_firstorder_Skewness,46
wavelet.LHH_firstorder_InterquartileRange,77
wavelet.LHH_firstorder_Skewness,148
wavelet.LHH_glcm_ClusterShade,124
wavelet.LHH_glcm_Correlation,100
wavelet.LHH_glcm_Imc1,10
wavelet.LHH_glcm_InverseVariance,108
wavelet.LHH_gldm_DependenceNonUniformityNormalized,42
wavelet.LHH_gldm_LowGrayLevelEmphasis,34
wavelet.HLL_firstorder_10Percentile,59
wavelet.HLL_firstorder_Mean,115
wavelet.HLL_firstorder_Median,45
wavelet.HLL_glcm_JointEnergy,90
wavelet.HLH_glcm_ClusterProminence,129
wavelet.HLH_glcm_ClusterShade,222
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,4
wavelet.HHL_firstorder_Mean,142
wavelet.HHL_glcm_ClusterProminence,173
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,162
wavelet.HHH_firstorder_Median,69
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,145
wavelet.HHH_glszm_SmallAreaEmphasis,194
wavelet.LLL_glcm_ClusterShade,123
gradient_glszm_LargeAreaHighGrayLevelEmphasis,72
lbp.3D.m1_glcm_ClusterShade,143
lbp.3D.m2_glcm_ClusterProminence,48
lbp.3D.k_glcm_ClusterShade,180
log.sigma.2.0.mm.3D_firstorder_Median,77
log.sigma.4.0.mm.3D_firstorder_Skewness,58
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,143
wavelet.LLH_firstorder_90Percentile,22
wavelet.LLH_firstorder_Median,87
wavelet.LLH_firstorder_RootMeanSquared,101
wavelet.LLH_glcm_Autocorrelation,40
wavelet.LHH_firstorder_Median,125
wavelet.HLL_glcm_InverseVariance,14
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,68
wavelet.HLH_glcm_JointEnergy,30
wavelet.HLH_glszm_ZoneVariance,28
wavelet.HHL_firstorder_Median,194
wavelet.HHL_firstorder_Skewness,119
wavelet.HHH_glcm_ClusterShade,225
wavelet.HHH_glcm_JointEnergy,151
wavelet.HHH_glrlm_GrayLevelVariance,30
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,152
wavelet.LLL_firstorder_10Percentile,132
lbp.3D.m1_firstorder_Skewness,141
