f,count
original_shape_Elongation,247
original_shape_Flatness,248
log.sigma.4.0.mm.3D_firstorder_Kurtosis,62
wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis,83
wavelet.HLL_glcm_Correlation,139
wavelet.HLL_glszm_LargeAreaEmphasis,61
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,155
wavelet.HLH_firstorder_Median,31
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,127
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,32
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,153
lbp.3D.m2_firstorder_90Percentile,204
lbp.3D.m2_firstorder_InterquartileRange,248
lbp.3D.m2_firstorder_Kurtosis,122
lbp.3D.m2_firstorder_Variance,244
lbp.3D.k_firstorder_10Percentile,131
lbp.3D.k_firstorder_Range,132
lbp.3D.k_glszm_GrayLevelVariance,228
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,107
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,48
wavelet.LHH_glcm_ClusterShade,61
lbp.3D.m1_glcm_MaximumProbability,39
lbp.3D.m2_glszm_SmallAreaEmphasis,137
lbp.3D.k_glcm_Correlation,91
wavelet.LLH_firstorder_Kurtosis,1
wavelet.LLH_firstorder_Skewness,22
wavelet.LHL_firstorder_90Percentile,12
wavelet.HHH_firstorder_Energy,35
wavelet.HHH_firstorder_Skewness,134
wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,32
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,33
original_firstorder_Kurtosis,26
log.sigma.2.0.mm.3D_glcm_Imc1,2
wavelet.LHH_firstorder_Skewness,48
wavelet.LHH_glcm_Correlation,2
wavelet.HHH_firstorder_Median,10
lbp.3D.m2_firstorder_Skewness,31
lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis,51
lbp.3D.k_glszm_SmallAreaEmphasis,19
lbp.3D.k_gldm_LargeDependenceEmphasis,29
wavelet.HLL_firstorder_Median,41
wavelet.HHH_glcm_ClusterShade,26
log.sigma.3.0.mm.3D_glcm_ClusterShade,4
wavelet.HHL_firstorder_Median,73
wavelet.HHL_glcm_Imc1,10
original_shape_Sphericity,82
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,29
wavelet.HHL_firstorder_Kurtosis,14
wavelet.HHL_glszm_LargeAreaEmphasis,1
lbp.3D.m1_glcm_ClusterShade,10
original_gldm_LargeDependenceHighGrayLevelEmphasis,27
wavelet.HLL_firstorder_Kurtosis,38
wavelet.HLH_firstorder_Skewness,11
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,4
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,26
log.sigma.3.0.mm.3D_firstorder_90Percentile,2
logarithm_glszm_SizeZoneNonUniformityNormalized,36
wavelet.LHH_firstorder_Median,13
wavelet.HHL_firstorder_Mean,73
lbp.3D.k_firstorder_MeanAbsoluteDeviation,7
original_shape_MajorAxisLength,2
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,6
wavelet.HHH_glcm_Autocorrelation,1
gradient_glcm_Correlation,9
logarithm_glcm_Imc1,30
wavelet.LHH_glcm_InverseVariance,1
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,6
wavelet.HHH_glcm_JointEnergy,8
lbp.3D.k_firstorder_Kurtosis,14
wavelet.LHL_firstorder_Kurtosis,5
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,47
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,4
wavelet.HHL_glcm_ClusterProminence,1
wavelet.LHL_glcm_Imc1,3
wavelet.LHL_gldm_DependenceEntropy,10
wavelet.LHL_gldm_GrayLevelVariance,5
wavelet.HHH_gldm_DependenceNonUniformityNormalized,10
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,5
wavelet.HLL_firstorder_90Percentile,9
wavelet.HLH_firstorder_Mean,17
wavelet.HLH_glcm_JointEnergy,9
logarithm_glcm_Correlation,23
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,27
original_firstorder_90Percentile,12
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,6
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,11
logarithm_firstorder_Minimum,3
wavelet.LHL_glcm_Correlation,5
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.LHH_firstorder_Mean,3
wavelet.LLL_firstorder_10Percentile,4
lbp.3D.m2_glcm_Imc2,1
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,4
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,6
wavelet.HHH_glcm_Idmn,5
original_glcm_ClusterShade,4
wavelet.HHH_firstorder_Mean,3
wavelet.HLH_firstorder_Kurtosis,4
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,3
wavelet.HHH_glszm_SmallAreaEmphasis,4
wavelet.HHL_firstorder_Skewness,2
logarithm_glcm_Imc2,2
wavelet.HHL_glcm_Idn,1
wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,1
lbp.3D.m2_firstorder_Maximum,1
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,1
iter,250
