f,count
original_shape_Flatness,141
original_shape_Sphericity,106
log.sigma.3.0.mm.3D_firstorder_Skewness,12
log.sigma.3.0.mm.3D_glcm_ClusterShade,33
wavelet.LHH_firstorder_Skewness,143
wavelet.HLL_firstorder_Skewness,179
wavelet.HLL_glcm_Idmn,14
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,68
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,30
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,14
wavelet.HLH_firstorder_Kurtosis,56
wavelet.HLH_glcm_Imc2,69
wavelet.HHL_firstorder_Mean,18
wavelet.HHL_firstorder_Skewness,73
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,211
wavelet.HHH_firstorder_Kurtosis,104
wavelet.HHH_glcm_ClusterShade,131
wavelet.LLL_firstorder_Minimum,19
gradient_glcm_Imc2,204
gradient_gldm_DependenceEntropy,18
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,129
lbp.3D.m1_gldm_LargeDependenceEmphasis,152
lbp.3D.m2_firstorder_Kurtosis,60
lbp.3D.k_glcm_Imc1,22
lbp.3D.k_glcm_InverseVariance,158
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,27
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,28
logarithm_firstorder_InterquartileRange,8
logarithm_glrlm_LongRunLowGrayLevelEmphasis,102
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,143
original_glrlm_ShortRunLowGrayLevelEmphasis,23
original_glszm_LargeAreaLowGrayLevelEmphasis,201
original_gldm_LargeDependenceHighGrayLevelEmphasis,49
log.sigma.2.0.mm.3D_firstorder_Kurtosis,24
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,6
wavelet.LLH_glcm_Correlation,152
wavelet.LLH_glszm_LargeAreaEmphasis,120
wavelet.HLL_glszm_GrayLevelVariance,31
wavelet.HLH_firstorder_Median,16
wavelet.HLH_glcm_ClusterShade,46
wavelet.HHL_glcm_Correlation,39
wavelet.HHL_gldm_DependenceVariance,56
wavelet.HHL_gldm_HighGrayLevelEmphasis,14
wavelet.HHH_firstorder_Mean,35
gradient_firstorder_Kurtosis,39
lbp.3D.m2_glcm_ClusterShade,76
lbp.3D.k_glcm_ClusterProminence,19
lbp.3D.k_glcm_SumSquares,148
lbp.3D.k_glrlm_RunEntropy,222
logarithm_firstorder_Variance,9
logarithm_glszm_SizeZoneNonUniformityNormalized,54
log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,27
wavelet.LHH_glcm_ClusterShade,44
wavelet.HLL_firstorder_Kurtosis,62
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,13
wavelet.HLH_glszm_ZoneEntropy,72
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,27
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,46
gradient_glcm_Idmn,7
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,7
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,31
lbp.3D.m2_glszm_LargeAreaEmphasis,14
lbp.3D.m2_gldm_HighGrayLevelEmphasis,89
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,91
lbp.3D.k_glcm_Correlation,26
logarithm_glcm_Idmn,14
original_shape_Elongation,47
log.sigma.3.0.mm.3D_gldm_DependenceVariance,8
wavelet.LLH_firstorder_Skewness,123
wavelet.LLH_gldm_DependenceEntropy,23
wavelet.LHH_firstorder_Mean,21
wavelet.LHH_gldm_LowGrayLevelEmphasis,67
wavelet.HLH_firstorder_Mean,68
wavelet.HLH_glszm_ZoneVariance,17
wavelet.HHL_firstorder_Kurtosis,52
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,24
wavelet.LLL_glcm_JointEnergy,14
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,9
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,16
wavelet.HLL_glcm_Imc1,33
wavelet.HLL_glcm_MaximumProbability,22
wavelet.HLL_glszm_ZoneEntropy,38
wavelet.HHL_glcm_Imc2,34
wavelet.HHL_glszm_ZoneEntropy,21
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,38
wavelet.LHH_firstorder_TotalEnergy,7
wavelet.HLL_firstorder_Mean,6
wavelet.HLH_firstorder_Skewness,22
wavelet.HLH_glcm_Correlation,8
log.sigma.2.0.mm.3D_firstorder_90Percentile,17
