f,count
original_gldm_DependenceEntropy,17
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,246
wavelet.LLH_firstorder_Energy,62
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,173
wavelet.HHL_glcm_Imc1,250
lbp.3D.m1_firstorder_Median,204
wavelet.LLH_glcm_Imc2,38
wavelet.HLH_firstorder_TotalEnergy,31
original_shape_Elongation,150
log.sigma.4.0.mm.3D_glcm_Imc2,69
lbp.3D.k_glcm_Imc1,5
wavelet.HLH_gldm_DependenceVariance,20
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,51
wavelet.LHL_firstorder_TotalEnergy,43
logarithm_glrlm_LongRunHighGrayLevelEmphasis,49
wavelet.HHH_glszm_SmallAreaEmphasis,14
wavelet.HLL_glszm_ZoneEntropy,6
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,19
logarithm_glcm_Imc2,30
gradient_glcm_Correlation,6
wavelet.LHH_firstorder_Skewness,9
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,21
wavelet.HHL_glcm_Correlation,5
wavelet.HHH_glcm_ClusterShade,3
lbp.3D.m2_gldm_LargeDependenceEmphasis,2
wavelet.HLH_glszm_ZoneEntropy,4
wavelet.LHL_glszm_ZoneEntropy,2
wavelet.HLL_firstorder_Skewness,2
log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,3
wavelet.LLL_glszm_LargeAreaEmphasis,1
lbp.3D.m2_firstorder_Maximum,2
gradient_glcm_Imc2,7
wavelet.HLL_glcm_Imc1,4
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HLL_glrlm_LongRunLowGrayLevelEmphasis,2
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,2
logarithm_glszm_SizeZoneNonUniformityNormalized,1
iter,250
