f,count
original_shape_Flatness,250
original_shape_Sphericity,207
original_glszm_LargeAreaLowGrayLevelEmphasis,232
log.sigma.2.0.mm.3D_glcm_Autocorrelation,37
log.sigma.2.0.mm.3D_glcm_ClusterShade,113
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,239
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,71
wavelet.LLH_firstorder_Skewness,137
wavelet.LLH_glcm_Idmn,173
wavelet.LHL_firstorder_Kurtosis,117
wavelet.LHL_firstorder_Maximum,138
wavelet.LHL_glcm_ClusterShade,193
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,171
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,105
wavelet.LHH_firstorder_Median,197
wavelet.LHH_firstorder_Skewness,248
wavelet.LHH_glcm_ClusterShade,249
wavelet.LHH_glcm_Correlation,207
wavelet.LHH_glcm_Idmn,151
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,106
wavelet.HLL_firstorder_Skewness,132
wavelet.HLH_firstorder_Skewness,250
wavelet.HLH_glcm_ClusterProminence,228
wavelet.HLH_glcm_Correlation,209
wavelet.HLH_glcm_Idmn,43
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,37
wavelet.HHL_firstorder_Kurtosis,194
wavelet.HHL_firstorder_Mean,80
wavelet.HHL_firstorder_Skewness,235
wavelet.HHL_glcm_ClusterShade,241
wavelet.HHL_glcm_Correlation,211
wavelet.HHL_glcm_JointEnergy,45
wavelet.HHH_firstorder_Mean,250
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,243
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,220
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,247
gradient_firstorder_Minimum,240
gradient_glcm_ClusterShade,28
lbp.3D.m1_firstorder_Range,192
lbp.3D.m1_glcm_ClusterShade,212
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,64
lbp.3D.m2_firstorder_90Percentile,114
lbp.3D.m2_firstorder_Maximum,234
lbp.3D.m2_firstorder_Skewness,140
lbp.3D.m2_glcm_DifferenceVariance,61
lbp.3D.m2_glcm_MaximumProbability,62
lbp.3D.k_firstorder_Maximum,207
lbp.3D.k_firstorder_Minimum,169
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,242
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,105
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,213
logarithm_glrlm_LongRunHighGrayLevelEmphasis,121
original_glszm_LargeAreaEmphasis,27
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,3
log.sigma.3.0.mm.3D_glcm_Correlation,134
wavelet.LLH_firstorder_90Percentile,117
wavelet.LLH_glcm_MaximumProbability,40
wavelet.LHL_firstorder_Median,80
wavelet.LHL_firstorder_Skewness,28
wavelet.LHH_firstorder_Kurtosis,198
wavelet.LHH_glcm_Imc2,134
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,21
wavelet.HLL_firstorder_Kurtosis,56
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,5
wavelet.HLH_firstorder_Kurtosis,143
wavelet.HLH_glszm_ZoneVariance,13
wavelet.HHH_glcm_Correlation,82
wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis,14
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,222
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,57
lbp.3D.k_glszm_GrayLevelVariance,127
log.sigma.2.0.mm.3D_firstorder_90Percentile,31
log.sigma.2.0.mm.3D_firstorder_Kurtosis,73
log.sigma.3.0.mm.3D_firstorder_Kurtosis,43
