f,count
wavelet.HHL_glcm_Imc1,250
original_glszm_LargeAreaLowGrayLevelEmphasis,250
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,250
logarithm_glcm_Imc1,250
wavelet.LLL_glrlm_HighGrayLevelRunEmphasis,238
wavelet.HHL_firstorder_Median,250
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,250
wavelet.LLH_glcm_Idmn,248
wavelet.LLH_firstorder_Kurtosis,223
original_gldm_LargeDependenceHighGrayLevelEmphasis,234
lbp.3D.m2_firstorder_Maximum,250
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,221
lbp.3D.k_gldm_DependenceVariance,234
lbp.3D.m2_firstorder_Skewness,226
original_shape_Sphericity,232
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,220
original_shape_Elongation,238
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,217
wavelet.LHL_firstorder_Skewness,148
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,250
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,178
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,201
wavelet.LLH_firstorder_Skewness,195
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,177
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,196
wavelet.HLH_glcm_Imc1,223
lbp.3D.k_glcm_Imc1,223
wavelet.HLH_firstorder_Skewness,188
original_gldm_SmallDependenceLowGrayLevelEmphasis,246
wavelet.LHL_glcm_Correlation,148
lbp.3D.k_firstorder_Range,137
wavelet.HHH_glcm_Correlation,202
gradient_firstorder_Minimum,210
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,146
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,200
log.sigma.4.0.mm.3D_firstorder_Maximum,237
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,133
logarithm_glszm_SizeZoneNonUniformityNormalized,163
wavelet.HHH_firstorder_Median,109
log.sigma.4.0.mm.3D_firstorder_Kurtosis,120
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,173
wavelet.HHL_glcm_Correlation,175
wavelet.LLH_gldm_DependenceEntropy,220
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,157
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,160
gradient_firstorder_Range,175
lbp.3D.k_glszm_SmallAreaEmphasis,146
wavelet.HLH_glcm_JointEnergy,172
original_shape_Flatness,124
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,64
lbp.3D.k_firstorder_Kurtosis,212
wavelet.HHH_firstorder_Kurtosis,179
gradient_firstorder_Kurtosis,160
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,105
wavelet.HLL_firstorder_90Percentile,34
log.sigma.4.0.mm.3D_glcm_Autocorrelation,217
wavelet.HLL_glcm_Imc1,57
wavelet.HHL_firstorder_Kurtosis,151
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,146
wavelet.HHH_glszm_SmallAreaEmphasis,94
logarithm_glcm_Imc2,77
lbp.3D.k_glcm_Idn,116
logarithm_glcm_Idmn,149
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,171
wavelet.LHH_firstorder_TotalEnergy,28
wavelet.HHL_glcm_Idn,160
log.sigma.2.0.mm.3D_firstorder_Skewness,51
gradient_glcm_ClusterShade,54
original_firstorder_90Percentile,12
wavelet.LHH_firstorder_Median,92
wavelet.HLH_glcm_Correlation,126
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,91
wavelet.LLH_firstorder_Median,136
wavelet.HLL_glcm_DifferenceVariance,41
wavelet.LLL_glcm_Imc2,109
original_firstorder_Kurtosis,75
wavelet.HLH_firstorder_Kurtosis,48
wavelet.HLH_firstorder_Median,50
original_glcm_ClusterShade,42
wavelet.HLH_firstorder_Mean,4
wavelet.HHH_glcm_Imc2,35
logarithm_firstorder_Minimum,116
log.sigma.2.0.mm.3D_gldm_DependenceEntropy,95
wavelet.LHH_glszm_ZoneEntropy,69
wavelet.HLL_firstorder_Maximum,51
wavelet.LHL_firstorder_90Percentile,118
