f,count
original_glcm_ClusterTendency,59
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,92
wavelet.LLH_firstorder_Skewness,108
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,47
wavelet.LHL_firstorder_10Percentile,94
wavelet.LHL_firstorder_Skewness,48
wavelet.LHL_glcm_ClusterProminence,233
wavelet.LHL_glcm_SumSquares,188
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,184
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,59
wavelet.LHL_glszm_ZoneVariance,47
wavelet.LHH_firstorder_Kurtosis,69
wavelet.LHH_firstorder_Median,85
wavelet.LHH_glcm_ClusterProminence,69
wavelet.LHH_glcm_SumSquares,34
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,155
wavelet.LHH_glszm_SmallAreaEmphasis,9
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,120
wavelet.HLL_firstorder_InterquartileRange,20
wavelet.HLL_glcm_Correlation,86
wavelet.HLL_glszm_LargeAreaEmphasis,31
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,45
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,24
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,71
wavelet.HLH_firstorder_Variance,83
wavelet.HLH_glcm_ClusterProminence,197
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,51
wavelet.HHH_firstorder_Kurtosis,152
wavelet.HHH_firstorder_Median,227
wavelet.HHH_firstorder_Skewness,179
wavelet.HHH_glcm_ClusterShade,149
wavelet.HHH_glcm_Imc1,21
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,185
wavelet.HHH_gldm_DependenceNonUniformityNormalized,11
wavelet.HHH_gldm_DependenceVariance,27
gradient_firstorder_Skewness,56
gradient_glcm_Imc2,34
lbp.3D.m1_firstorder_Kurtosis,102
lbp.3D.m1_glcm_JointEnergy,94
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,165
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,172
lbp.3D.k_firstorder_Range,69
lbp.3D.k_glcm_Idn,68
logarithm_firstorder_RootMeanSquared,174
logarithm_glcm_Correlation,106
original_shape_Flatness,100
original_glcm_Imc2,30
original_glrlm_ShortRunLowGrayLevelEmphasis,101
log.sigma.2.0.mm.3D_firstorder_Kurtosis,63
log.sigma.2.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,22
wavelet.LLH_firstorder_InterquartileRange,38
wavelet.LHH_firstorder_Mean,150
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,186
wavelet.HLL_firstorder_90Percentile,66
wavelet.HLL_firstorder_Mean,159
wavelet.HLL_firstorder_Median,148
wavelet.HHL_firstorder_Kurtosis,36
wavelet.HHL_firstorder_Median,109
wavelet.HHL_glcm_Correlation,140
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,52
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,60
wavelet.HHH_firstorder_Mean,102
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,78
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,59
gradient_firstorder_Minimum,5
gradient_glcm_ClusterShade,23
gradient_glcm_Correlation,83
gradient_glcm_DifferenceVariance,28
lbp.3D.m1_firstorder_90Percentile,8
lbp.3D.m1_glcm_Correlation,108
lbp.3D.m2_firstorder_90Percentile,97
lbp.3D.m2_firstorder_RootMeanSquared,117
lbp.3D.m2_glcm_ClusterProminence,42
lbp.3D.k_glcm_Imc1,40
logarithm_glcm_Imc2,30
