f,count
original_shape_Flatness,212
wavelet.LLH_glcm_Correlation,25
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,34
wavelet.LHL_glcm_ClusterProminence,185
wavelet.LHL_glcm_SumSquares,100
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,210
wavelet.LHH_firstorder_Kurtosis,40
wavelet.LHH_firstorder_Median,81
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,161
wavelet.HLL_firstorder_Skewness,8
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,92
wavelet.HLH_firstorder_Mean,47
wavelet.HLH_glcm_ClusterProminence,179
wavelet.HHL_firstorder_Median,102
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,232
wavelet.HHH_glcm_ClusterShade,198
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,73
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,148
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,218
lbp.3D.m1_firstorder_Kurtosis,161
lbp.3D.m1_glcm_Correlation,161
lbp.3D.m2_firstorder_90Percentile,96
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,188
lbp.3D.k_firstorder_Kurtosis,43
lbp.3D.k_firstorder_Minimum,48
log.sigma.4.0.mm.3D_firstorder_10Percentile,91
wavelet.LHL_firstorder_Skewness,57
wavelet.LHL_glcm_Correlation,103
wavelet.HHL_firstorder_Mean,99
wavelet.HHH_firstorder_Kurtosis,111
wavelet.HHH_firstorder_Mean,162
gradient_firstorder_Skewness,20
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,171
logarithm_firstorder_RootMeanSquared,183
wavelet.LHH_firstorder_Skewness,61
wavelet.LHH_glcm_ClusterProminence,15
wavelet.HLH_firstorder_Kurtosis,19
wavelet.HHL_glcm_Correlation,171
original_firstorder_10Percentile,124
wavelet.LLH_firstorder_Skewness,67
wavelet.LHH_firstorder_Mean,163
wavelet.HLL_firstorder_Mean,56
wavelet.HLH_firstorder_Median,108
wavelet.HHL_glcm_ClusterShade,61
lbp.3D.m2_glcm_MaximumProbability,66
wavelet.LLH_glcm_ClusterProminence,8
wavelet.HLL_glcm_Correlation,33
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,41
wavelet.HHH_glcm_Correlation,43
logarithm_glcm_Correlation,69
wavelet.LLH_firstorder_InterquartileRange,20
wavelet.LLH_firstorder_Kurtosis,31
wavelet.LLH_firstorder_Mean,5
wavelet.LLH_firstorder_Median,3
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,154
gradient_glcm_Correlation,27
lbp.3D.m2_firstorder_RootMeanSquared,71
wavelet.HLH_glcm_Correlation,61
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,67
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,69
wavelet.LLL_firstorder_Kurtosis,6
lbp.3D.k_firstorder_10Percentile,15
original_glrlm_ShortRunLowGrayLevelEmphasis,87
wavelet.HLL_firstorder_Kurtosis,12
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,92
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,4
lbp.3D.m2_firstorder_Maximum,11
wavelet.LHL_firstorder_Kurtosis,63
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,62
gradient_gldm_DependenceVariance,2
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,144
log.sigma.2.0.mm.3D_firstorder_Kurtosis,32
lbp.3D.k_glcm_Correlation,7
lbp.3D.k_glcm_Idn,2
original_glszm_ZoneVariance,44
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,18
gradient_glcm_Idmn,29
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,53
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,23
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,45
wavelet.HHH_glszm_LargeAreaEmphasis,33
lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis,14
wavelet.HHL_firstorder_Kurtosis,27
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,2
lbp.3D.k_firstorder_Range,12
lbp.3D.k_glcm_Imc1,12
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,4
wavelet.LHH_glcm_Imc1,18
gradient_firstorder_Minimum,3
lbp.3D.m2_firstorder_Kurtosis,10
wavelet.HHL_glcm_Idmn,2
wavelet.HLH_firstorder_Skewness,15
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,18
wavelet.HHL_firstorder_Skewness,13
logarithm_glszm_LargeAreaEmphasis,4
log.sigma.2.0.mm.3D_glcm_ClusterShade,19
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,4
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,13
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,3
wavelet.LHH_glszm_LargeAreaEmphasis,2
wavelet.HHH_glcm_Idn,11
gradient_glcm_MaximumProbability,1
logarithm_firstorder_InterquartileRange,4
wavelet.LHL_glcm_JointAverage,1
lbp.3D.m2_glcm_ClusterShade,2
