"f","count"
"log.sigma.3.0.mm.3D_glszm_GrayLevelVariance",65
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",105
"wavelet.LHL_glrlm_RunEntropy",228
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",198
"lbp.3D.m1_firstorder_Mean",217
"lbp.3D.m2_firstorder_90Percentile",18
"wavelet.HLL_glrlm_RunEntropy",3
"wavelet.LLL_glcm_InverseVariance",2
"lbp.3D.m2_firstorder_Maximum",193
"wavelet.LHL_firstorder_Median",36
"wavelet.LHL_gldm_DependenceEntropy",31
"original_glszm_ZoneEntropy",78
"wavelet.HLH_glcm_ClusterProminence",76
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",4
"wavelet.HHH_gldm_LowGrayLevelEmphasis",16
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",15
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",51
"log.sigma.1.0.mm.3D_glcm_ClusterShade",29
"original_shape_Sphericity",18
"original_gldm_SmallDependenceLowGrayLevelEmphasis",15
"wavelet.HLL_firstorder_Kurtosis",4
"log.sigma.1.0.mm.3D_glszm_SmallAreaEmphasis",28
"wavelet.LHL_firstorder_Kurtosis",11
"original_glszm_SmallAreaEmphasis",5
"log.sigma.2.0.mm.3D_glcm_ClusterShade",6
"original_shape_MajorAxisLength",5
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",8
"log.sigma.2.0.mm.3D_firstorder_Skewness",9
"log.sigma.3.0.mm.3D_glcm_JointAverage",1
"wavelet.HLL_glszm_SmallAreaEmphasis",5
"wavelet.LLH_glcm_ClusterShade",2
"log.sigma.2.0.mm.3D_glcm_Imc1",2
"logarithm_glrlm_GrayLevelVariance",1
"gradient_glcm_Correlation",2
"log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",1
"gradient_glszm_SmallAreaEmphasis",2
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.HLL_glrlm_LowGrayLevelRunEmphasis",1
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
"logarithm_glszm_ZoneEntropy",1
"log.sigma.2.0.mm.3D_glcm_ClusterProminence",1
