"f","count"
"wavelet.HHH_firstorder_Median",109
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",61
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",49
"wavelet.LHH_firstorder_Mean",48
"wavelet.LHH_firstorder_Median",38
"wavelet.LHH_firstorder_Skewness",38
"wavelet.HHL_firstorder_Mean",25
"wavelet.HHH_glcm_ClusterShade",44
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",19
"lbp.3D.k_glszm_LowGrayLevelZoneEmphasis",16
"wavelet.HLL_glcm_InverseVariance",70
"original_shape_Sphericity",2
"wavelet.LHH_glcm_ClusterShade",21
"wavelet.HLH_firstorder_Mean",34
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",22
"wavelet.HHL_firstorder_Skewness",6
"log.sigma.3.0.mm.3D_glcm_Correlation",4
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",42
"wavelet.HHH_firstorder_Mean",28
"lbp.3D.m2_firstorder_Maximum",12
"wavelet.HHH_gldm_DependenceVariance",38
"logarithm_gldm_DependenceNonUniformityNormalized",17
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",25
"original_shape_Elongation",21
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",3
"wavelet.LLH_glcm_ClusterShade",5
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",1
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",5
"original_shape_Flatness",3
"wavelet.LHH_glcm_ClusterProminence",2
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",1
"wavelet.HLH_firstorder_Median",9
"wavelet.HHH_glcm_InverseVariance",13
"wavelet.LLH_firstorder_Skewness",4
"wavelet.HHL_firstorder_Median",10
"wavelet.HLL_glcm_ClusterShade",9
"wavelet.HLH_glcm_Autocorrelation",7
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.LHH_glrlm_HighGrayLevelRunEmphasis",2
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",3
"lbp.3D.k_firstorder_Minimum",3
"wavelet.HLH_glcm_ClusterShade",4
"log.sigma.3.0.mm.3D_firstorder_Median",2
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",2
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",1
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",5
"wavelet.HHH_firstorder_Skewness",1
"wavelet.HHH_glcm_Correlation",2
"wavelet.HLH_gldm_DependenceVariance",2
"wavelet.HLH_firstorder_Kurtosis",1
"logarithm_firstorder_Minimum",1
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",1
