"f","count"
"original_shape_Elongation",160
"original_firstorder_10Percentile",14
"original_glcm_ClusterShade",76
"original_glcm_MaximumProbability",3
"log.sigma.1.0.mm.3D_glszm_GrayLevelVariance",55
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",65
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",61
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",17
"wavelet.LLH_firstorder_Median",17
"wavelet.LLH_glcm_ClusterShade",160
"wavelet.LHL_glszm_SizeZoneNonUniformity",27
"wavelet.LHH_firstorder_Mean",226
"wavelet.LHH_firstorder_Median",242
"wavelet.LHH_firstorder_Skewness",153
"wavelet.LHH_glcm_Imc2",9
"wavelet.LHH_glszm_LargeAreaEmphasis",10
"wavelet.HLL_glcm_InverseVariance",204
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",110
"wavelet.HLH_glcm_Autocorrelation",69
"wavelet.HLH_glcm_ClusterShade",88
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",122
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",13
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",35
"wavelet.HLH_glszm_ZoneEntropy",2
"wavelet.HLH_gldm_DependenceNonUniformity",14
"wavelet.HLH_gldm_DependenceVariance",173
"wavelet.HHL_firstorder_Mean",171
"wavelet.HHL_firstorder_Median",181
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",179
"wavelet.HHH_firstorder_Mean",216
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_firstorder_Skewness",91
"wavelet.HHH_glcm_ClusterShade",234
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",131
"wavelet.LLL_glszm_SizeZoneNonUniformity",11
"lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis",32
"lbp.3D.m2_firstorder_Maximum",224
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",42
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",194
"original_shape_Flatness",93
"original_glcm_Imc2",13
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",83
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",78
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",29
"log.sigma.3.0.mm.3D_glcm_Correlation",116
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",177
"wavelet.LHH_gldm_DependenceVariance",113
"wavelet.HLL_glcm_Correlation",15
"wavelet.HLH_firstorder_Median",217
"wavelet.HHH_glcm_Correlation",109
"wavelet.HHH_gldm_DependenceVariance",211
"lbp.3D.k_glszm_LowGrayLevelZoneEmphasis",129
"logarithm_gldm_DependenceNonUniformityNormalized",110
