"f","count"
"original_shape_Elongation",33
"original_firstorder_Kurtosis",79
"original_glcm_SumEntropy",74
"original_glrlm_LongRunHighGrayLevelEmphasis",120
"original_glrlm_LowGrayLevelRunEmphasis",77
"original_glrlm_ShortRunHighGrayLevelEmphasis",143
"original_glszm_HighGrayLevelZoneEmphasis",142
"original_glszm_LowGrayLevelZoneEmphasis",165
"original_glszm_SizeZoneNonUniformityNormalized",39
"log.sigma.1.0.mm.3D_firstorder_Maximum",93
"log.sigma.1.0.mm.3D_glcm_Correlation",99
"log.sigma.2.0.mm.3D_firstorder_90Percentile",184
"log.sigma.2.0.mm.3D_glcm_JointAverage",194
"log.sigma.2.0.mm.3D_glcm_ClusterShade",177
"log.sigma.2.0.mm.3D_glcm_Correlation",96
"log.sigma.2.0.mm.3D_glcm_Imc2",91
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",174
"log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis",181
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",62
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",98
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",172
"log.sigma.3.0.mm.3D_firstorder_Maximum",174
"log.sigma.3.0.mm.3D_firstorder_Skewness",159
"log.sigma.3.0.mm.3D_glcm_Autocorrelation",204
"log.sigma.3.0.mm.3D_glcm_ClusterProminence",163
"log.sigma.3.0.mm.3D_glcm_ClusterShade",161
"log.sigma.3.0.mm.3D_glcm_DifferenceVariance",57
"log.sigma.3.0.mm.3D_glcm_Imc1",97
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",33
"log.sigma.3.0.mm.3D_glcm_SumEntropy",38
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",27
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",42
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",27
"wavelet.LLH_firstorder_Mean",146
"wavelet.LLH_firstorder_Variance",178
"wavelet.LLH_glcm_JointAverage",211
"wavelet.LLH_glcm_Correlation",216
"wavelet.LLH_glcm_Imc1",63
"wavelet.LLH_glcm_InverseVariance",199
"wavelet.LLH_glrlm_LowGrayLevelRunEmphasis",216
"wavelet.LLH_glrlm_RunEntropy",140
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",211
"wavelet.LLH_glszm_SmallAreaEmphasis",72
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",212
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",71
"wavelet.LHL_firstorder_90Percentile",173
"wavelet.LHL_firstorder_Minimum",149
"wavelet.LHL_glcm_Correlation",173
"wavelet.LHL_glcm_InverseVariance",197
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",220
"wavelet.LHL_glrlm_RunEntropy",216
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",214
"wavelet.LHL_glszm_GrayLevelVariance",212
"wavelet.LHL_glszm_LowGrayLevelZoneEmphasis",183
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",83
"wavelet.LHL_glszm_ZoneEntropy",176
"wavelet.LHL_gldm_DependenceEntropy",222
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",214
"wavelet.LHH_firstorder_10Percentile",178
"wavelet.LHH_firstorder_Mean",72
"wavelet.LHH_firstorder_Median",80
"wavelet.LHH_firstorder_RootMeanSquared",81
"wavelet.LHH_glcm_Imc2",94
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",166
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",104
"wavelet.LHH_glszm_ZoneEntropy",103
"wavelet.LHH_glszm_ZoneVariance",48
"wavelet.LHH_gldm_DependenceVariance",90
"wavelet.HLL_firstorder_Mean",84
"wavelet.HLL_firstorder_Median",63
"wavelet.HLL_firstorder_Skewness",46
"wavelet.HLL_glcm_ClusterProminence",45
"wavelet.HLL_glcm_ClusterShade",143
"wavelet.HLL_glcm_Correlation",143
"wavelet.HLL_glcm_Imc1",225
"wavelet.HLH_firstorder_10Percentile",133
"wavelet.HLH_glcm_ClusterShade",108
"wavelet.HHL_firstorder_RobustMeanAbsoluteDeviation",202
"wavelet.HHL_glcm_ClusterShade",71
"wavelet.HHL_glcm_Imc1",240
"wavelet.HHL_glcm_InverseVariance",144
"wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis",243
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",77
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",77
"wavelet.HHL_gldm_LowGrayLevelEmphasis",76
"wavelet.HHH_firstorder_Mean",68
"wavelet.HHH_glszm_GrayLevelVariance",35
"wavelet.LLL_firstorder_10Percentile",110
"wavelet.LLL_firstorder_Maximum",132
"wavelet.LLL_firstorder_RootMeanSquared",96
"wavelet.LLL_glcm_MaximumProbability",37
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",55
"wavelet.LLL_glszm_SizeZoneNonUniformityNormalized",57
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",186
"gradient_firstorder_10Percentile",191
"gradient_firstorder_Median",204
"gradient_firstorder_Skewness",177
"gradient_glcm_InverseVariance",200
"gradient_glrlm_RunEntropy",170
"gradient_glszm_GrayLevelNonUniformityNormalized",180
"gradient_glszm_SmallAreaEmphasis",101
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",169
"gradient_gldm_DependenceEntropy",205
"lbp.3D.m1_firstorder_RootMeanSquared",141
"lbp.3D.m1_glcm_InverseVariance",159
"lbp.3D.m1_gldm_HighGrayLevelEmphasis",133
"lbp.3D.m2_firstorder_90Percentile",174
"lbp.3D.m2_glcm_ClusterProminence",128
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",223
"lbp.3D.k_firstorder_10Percentile",85
"lbp.3D.k_glszm_SmallAreaEmphasis",76
"logarithm_firstorder_10Percentile",112
"logarithm_glrlm_ShortRunHighGrayLevelEmphasis",128
"logarithm_glszm_GrayLevelVariance",74
"logarithm_gldm_SmallDependenceLowGrayLevelEmphasis",60
"original_shape_Flatness",64
"original_glcm_ClusterTendency",81
"original_glszm_GrayLevelVariance",137
"original_glszm_ZoneEntropy",54
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",47
"log.sigma.2.0.mm.3D_firstorder_Median",166
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",107
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",45
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",107
"wavelet.LLH_glcm_ClusterShade",57
"wavelet.LLH_glszm_GrayLevelVariance",62
"wavelet.LHL_glcm_Imc1",148
"wavelet.LHL_glcm_Imc2",159
"wavelet.LHL_glszm_SmallAreaEmphasis",147
"wavelet.LHL_gldm_LowGrayLevelEmphasis",60
"wavelet.LHH_firstorder_Skewness",98
"wavelet.LHH_glszm_GrayLevelVariance",128
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",109
"wavelet.HLL_firstorder_90Percentile",230
"wavelet.HLL_firstorder_Minimum",183
"wavelet.HLL_firstorder_RootMeanSquared",219
"wavelet.HLL_firstorder_Variance",218
"wavelet.HLL_glcm_InverseVariance",60
"wavelet.HLL_glrlm_RunEntropy",51
"wavelet.HLL_glszm_SmallAreaEmphasis",56
"wavelet.HHL_firstorder_Skewness",143
