"f","count"
"log.sigma.2.0.mm.3D_glszm_ZoneEntropy",249
"log.sigma.1.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",153
"log.sigma.1.0.mm.3D_glcm_Correlation",18
"wavelet.LLH_firstorder_Mean",1
"log.sigma.3.0.mm.3D_glszm_GrayLevelVariance",4
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.HHL_glcm_InverseVariance",59
"wavelet.HHL_firstorder_Median",19
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",8
"wavelet.LHH_glrlm_RunLengthNonUniformity",46
"gradient_glcm_InverseVariance",16
"wavelet.LHL_glszm_GrayLevelVariance",1
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",21
"log.sigma.1.0.mm.3D_glcm_JointEnergy",12
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",4
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",29
"log.sigma.2.0.mm.3D_glcm_InverseVariance",13
"wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis",1
"wavelet.HLL_glszm_GrayLevelVariance",6
"wavelet.HHH_glszm_GrayLevelVariance",13
"wavelet.LHH_glszm_ZoneEntropy",2
"logarithm_firstorder_InterquartileRange",6
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",6
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",35
"wavelet.HLL_glrlm_LowGrayLevelRunEmphasis",2
"wavelet.HHL_gldm_DependenceVariance",5
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",29
"lbp.3D.k_glcm_ClusterProminence",4
"wavelet.LHL_glcm_ClusterShade",22
"wavelet.LHL_glszm_SmallAreaEmphasis",24
"wavelet.LLH_glcm_ClusterShade",13
"wavelet.LHH_glcm_InverseVariance",6
"wavelet.HHL_firstorder_Mean",13
"wavelet.LHH_gldm_DependenceVariance",9
"wavelet.LHL_glcm_Imc2",1
"log.sigma.1.0.mm.3D_firstorder_90Percentile",4
"original_firstorder_Median",10
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",8
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",6
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",3
"wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis",4
"original_firstorder_Maximum",6
"log.sigma.3.0.mm.3D_firstorder_Minimum",4
"wavelet.HLH_glcm_ClusterShade",2
"wavelet.HLH_firstorder_Median",5
"wavelet.LHL_firstorder_Skewness",5
"wavelet.HHH_glrlm_GrayLevelNonUniformity",4
"log.sigma.2.0.mm.3D_glszm_GrayLevelVariance",1
"original_glszm_HighGrayLevelZoneEmphasis",3
"original_shape_Flatness",6
"log.sigma.1.0.mm.3D_glrlm_RunEntropy",1
"wavelet.HLL_gldm_DependenceVariance",1
"original_shape_Sphericity",7
"wavelet.LLL_glcm_DifferenceVariance",1
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",4
"log.sigma.3.0.mm.3D_glcm_JointAverage",1
"log.sigma.3.0.mm.3D_firstorder_90Percentile",3
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",9
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",1
"original_glrlm_LongRunLowGrayLevelEmphasis",2
"wavelet.HLH_gldm_DependenceVariance",1
"wavelet.LLH_glcm_DifferenceVariance",2
"lbp.3D.m1_glcm_ClusterShade",4
"wavelet.LHH_firstorder_Skewness",1
"wavelet.LLH_gldm_DependenceNonUniformity",4
"logarithm_gldm_LowGrayLevelEmphasis",1
"logarithm_glszm_GrayLevelVariance",2
"original_glrlm_RunEntropy",1
"log.sigma.1.0.mm.3D_glcm_ClusterShade",2
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",1
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",1
"wavelet.LHH_gldm_DependenceNonUniformity",3
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",1
"wavelet.LHH_firstorder_Median",3
"original_firstorder_Kurtosis",1
"wavelet.LHH_glszm_SmallAreaEmphasis",1
"original_glcm_InverseVariance",1
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.HHH_glszm_SizeZoneNonUniformity",1
"gradient_glrlm_RunEntropy",1
"wavelet.HLL_glszm_SmallAreaEmphasis",1
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",1
"wavelet.LLH_firstorder_RootMeanSquared",1
"wavelet.LHL_firstorder_Uniformity",1
"lbp.3D.m1_glcm_JointAverage",2
"wavelet.LLL_glcm_MaximumProbability",1
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",1
"log.sigma.3.0.mm.3D_glcm_Imc1",1
"log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",1
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",1
"log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",1
"wavelet.LLH_glszm_GrayLevelVariance",1
"wavelet.LHH_firstorder_10Percentile",1
