"f","count"
"original_shape_Elongation",214
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",56
"log.sigma.1.0.mm.3D_gldm_LowGrayLevelEmphasis",50
"log.sigma.2.0.mm.3D_glcm_Autocorrelation",29
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",67
"wavelet.LLH_firstorder_Kurtosis",157
"wavelet.LHL_firstorder_Skewness",53
"wavelet.LHH_firstorder_Mean",145
"wavelet.LHH_glcm_ClusterShade",110
"wavelet.LHH_gldm_LowGrayLevelEmphasis",197
"wavelet.HLH_firstorder_Mean",60
"wavelet.HHL_gldm_DependenceVariance",22
"wavelet.HHH_firstorder_Mean",138
"wavelet.HHH_glcm_ClusterShade",227
"original_shape_Flatness",144
"original_shape_Sphericity",23
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",101
"wavelet.LHH_firstorder_Median",12
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",75
"wavelet.HLL_glcm_InverseVariance",49
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",5
"wavelet.HHH_firstorder_Median",102
"wavelet.HHH_firstorder_Skewness",12
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",86
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",41
"gradient_firstorder_Minimum",9
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",15
"wavelet.LHL_firstorder_Median",101
"wavelet.LHH_glrlm_GrayLevelNonUniformity",2
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",16
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",50
"wavelet.HLH_firstorder_Median",40
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",37
"wavelet.LLH_glcm_ClusterShade",37
"wavelet.HHL_firstorder_Skewness",47
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",12
"wavelet.HHL_glszm_GrayLevelVariance",42
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",46
"wavelet.HLH_glrlm_RunEntropy",16
"lbp.3D.m2_firstorder_Maximum",33
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",28
"lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis",10
"original_firstorder_10Percentile",12
"log.sigma.1.0.mm.3D_firstorder_Maximum",11
"log.sigma.3.0.mm.3D_glszm_ZoneEntropy",12
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",41
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",34
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",13
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",66
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",12
"wavelet.HLH_firstorder_Kurtosis",40
"wavelet.HHL_glcm_ClusterShade",31
"logarithm_glszm_GrayLevelVariance",25
"wavelet.HHL_firstorder_Mean",21
"wavelet.HHL_glrlm_RunEntropy",12
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",7
"wavelet.HLH_gldm_HighGrayLevelEmphasis",75
"logarithm_firstorder_Maximum",7
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",25
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",8
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",51
"wavelet.HLH_glcm_ClusterShade",17
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",11
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",10
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",43
"wavelet.HLL_glszm_GrayLevelNonUniformityNormalized",21
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",28
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",2
"log.sigma.3.0.mm.3D_firstorder_Minimum",7
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",20
"wavelet.HLL_glcm_ClusterShade",4
"logarithm_glcm_ClusterProminence",13
"wavelet.HLL_firstorder_Skewness",8
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",1
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",5
"wavelet.LHH_glszm_SizeZoneNonUniformity",5
"logarithm_firstorder_Variance",14
"wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis",6
"log.sigma.3.0.mm.3D_glcm_ClusterShade",11
"wavelet.LLH_firstorder_Skewness",20
"wavelet.LHL_glrlm_RunEntropy",3
"wavelet.HHL_firstorder_Median",42
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",11
"lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis",11
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",4
"lbp.3D.m1_firstorder_Median",17
"log.sigma.1.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",1
"logarithm_glszm_LowGrayLevelZoneEmphasis",12
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",22
"wavelet.LHL_glcm_InverseVariance",19
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",8
"logarithm_glszm_HighGrayLevelZoneEmphasis",6
"wavelet.HLL_firstorder_Median",1
"wavelet.LHL_glcm_ClusterShade",6
"wavelet.HLL_glszm_SizeZoneNonUniformityNormalized",2
"gradient_glszm_GrayLevelNonUniformityNormalized",4
"wavelet.LLH_firstorder_Variance",1
"log.sigma.2.0.mm.3D_glcm_ClusterShade",5
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",2
"lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis",15
"wavelet.LLL_glcm_ClusterShade",8
"wavelet.LHH_glszm_GrayLevelVariance",9
"wavelet.HHL_glrlm_LongRunEmphasis",5
"lbp.3D.m2_glszm_LargeAreaEmphasis",1
"log.sigma.2.0.mm.3D_firstorder_Minimum",2
"wavelet.HHL_glcm_Imc2",10
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",1
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",13
"wavelet.HLL_glcm_ClusterProminence",2
"wavelet.HLL_glrlm_RunEntropy",3
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",3
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.LHH_gldm_DependenceNonUniformity",5
"lbp.3D.m2_gldm_HighGrayLevelEmphasis",1
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",4
"wavelet.HHL_glszm_ZoneEntropy",1
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",1
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",1
"wavelet.HLH_glcm_ClusterProminence",1
"wavelet.HLL_glcm_DifferenceVariance",3
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",1
"logarithm_glszm_SizeZoneNonUniformity",2
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",5
"wavelet.HLH_firstorder_RootMeanSquared",1
"logarithm_glszm_SmallAreaEmphasis",1
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.LHL_firstorder_RootMeanSquared",1
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",1
"lbp.3D.m2_firstorder_Kurtosis",3
"wavelet.HHH_glrlm_GrayLevelNonUniformity",4
"logarithm_firstorder_MeanAbsoluteDeviation",1
"log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",2
"log.sigma.2.0.mm.3D_firstorder_Maximum",2
"wavelet.LHH_firstorder_Skewness",1
"original_firstorder_Range",2
"log.sigma.2.0.mm.3D_glszm_ZoneEntropy",1
"wavelet.HLH_firstorder_Skewness",1
"wavelet.HLL_firstorder_RootMeanSquared",1
"wavelet.HHL_gldm_DependenceNonUniformity",1
"lbp.3D.k_firstorder_10Percentile",1
"wavelet.HLH_glszm_GrayLevelVariance",1
"gradient_glrlm_LongRunLowGrayLevelEmphasis",1
