"f","count"
"wavelet.HHH_firstorder_Median",87
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",5
"wavelet.HHH_glcm_ClusterShade",5
"lbp.3D.k_firstorder_Minimum",7
"wavelet.HLH_firstorder_Mean",4
"wavelet.LHH_firstorder_Median",28
"wavelet.HHL_firstorder_Mean",10
"original_shape_Sphericity",2
"wavelet.HLH_firstorder_Median",1
"wavelet.LHH_firstorder_Skewness",1
"wavelet.HHL_firstorder_Median",13
"wavelet.HHH_firstorder_Skewness",3
"wavelet.LHH_firstorder_Mean",14
"wavelet.HHH_firstorder_Mean",15
"original_shape_Flatness",2
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",1
"wavelet.HLL_firstorder_Mean",2
"wavelet.HHL_firstorder_Skewness",4
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
"lbp.3D.m2_firstorder_Maximum",1
"logarithm_firstorder_Kurtosis",1
