"f","count"
"original_shape_Elongation",174
"original_shape_Flatness",30
"original_firstorder_90Percentile",119
"original_glszm_GrayLevelVariance",24
"original_gldm_DependenceNonUniformityNormalized",94
"original_gldm_LowGrayLevelEmphasis",126
"log.sigma.1.0.mm.3D_glcm_Correlation",31
"log.sigma.1.0.mm.3D_glcm_Imc2",120
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",97
"log.sigma.1.0.mm.3D_glrlm_RunEntropy",116
"log.sigma.1.0.mm.3D_glszm_GrayLevelVariance",50
"log.sigma.1.0.mm.3D_gldm_DependenceNonUniformityNormalized",116
"log.sigma.2.0.mm.3D_glcm_Imc2",114
"log.sigma.3.0.mm.3D_glcm_Correlation",76
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",100
"log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",95
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",131
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",93
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",138
"log.sigma.3.0.mm.3D_glszm_ZonePercentage",36
"wavelet.LLH_firstorder_Median",42
"wavelet.LLH_firstorder_Skewness",147
"wavelet.LLH_glrlm_LongRunEmphasis",158
"wavelet.LLH_glrlm_RunEntropy",168
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",154
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",215
"wavelet.LLH_glszm_GrayLevelVariance",139
"wavelet.LLH_gldm_DependenceEntropy",155
"wavelet.LLH_gldm_DependenceVariance",122
"wavelet.LHL_firstorder_Kurtosis",59
"wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized",143
"wavelet.LHL_glrlm_GrayLevelVariance",126
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",249
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",250
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",137
"wavelet.LHL_gldm_DependenceEntropy",140
"wavelet.LHL_gldm_DependenceNonUniformity",114
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",133
"wavelet.LHH_firstorder_Kurtosis",106
"wavelet.LHH_firstorder_Mean",131
"wavelet.LHH_firstorder_Median",173
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",191
"wavelet.LHH_gldm_DependenceVariance",185
"wavelet.HLL_firstorder_Median",32
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",227
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",245
"wavelet.HLL_glszm_LowGrayLevelZoneEmphasis",211
"wavelet.HLL_gldm_DependenceEntropy",183
"wavelet.HLL_gldm_DependenceNonUniformity",172
"wavelet.HLL_gldm_DependenceNonUniformityNormalized",198
"wavelet.HLH_firstorder_RootMeanSquared",39
"wavelet.HLH_firstorder_Skewness",81
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",213
"wavelet.HHL_firstorder_Variance",57
"wavelet.HHL_glcm_ClusterProminence",35
"wavelet.HHL_glcm_ClusterShade",77
"wavelet.HHL_glrlm_LongRunEmphasis",101
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",202
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",180
"wavelet.HHH_firstorder_Median",172
"wavelet.HHH_firstorder_Variance",22
"wavelet.HHH_glcm_Imc1",204
"wavelet.HHH_glcm_Imc2",72
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",224
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",174
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",140
"wavelet.HHH_glszm_GrayLevelVariance",130
"wavelet.HHH_glszm_ZoneEntropy",180
"wavelet.HHH_gldm_DependenceVariance",82
"wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis",116
"wavelet.LLL_firstorder_Mean",135
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",32
"gradient_gldm_DependenceNonUniformityNormalized",68
"lbp.3D.m1_firstorder_Mean",221
