"f","count"
"original_shape_Elongation",239
"original_glcm_Idmn",106
"original_glcm_SumEntropy",225
"original_glrlm_GrayLevelNonUniformity",209
"original_glrlm_LongRunEmphasis",183
"original_glrlm_RunVariance",67
"original_glszm_LargeAreaEmphasis",78
"original_glszm_SizeZoneNonUniformityNormalized",121
"original_glszm_SmallAreaLowGrayLevelEmphasis",48
"log.sigma.2.0.mm.3D_glcm_Imc1",69
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",108
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",22
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",146
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",201
"log.sigma.5.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",30
"log.sigma.5.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",41
"log.sigma.5.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",215
"wavelet.LLH_glcm_DifferenceAverage",124
"wavelet.LLH_glrlm_RunVariance",228
"wavelet.LLH_gldm_DependenceVariance",24
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",58
"wavelet.LHL_glszm_SmallAreaEmphasis",221
"wavelet.LHH_firstorder_Skewness",51
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",205
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",223
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",86
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",225
"wavelet.HLL_firstorder_Kurtosis",159
"wavelet.HLL_glcm_Id",240
"wavelet.HLL_glszm_SizeZoneNonUniformityNormalized",70
"wavelet.HLL_glszm_SmallAreaEmphasis",228
"wavelet.HLH_glcm_Imc1",98
"wavelet.HLH_glszm_SmallAreaEmphasis",114
"wavelet.HHL_glcm_Imc2",114
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",197
"wavelet.HHH_firstorder_90Percentile",113
"wavelet.HHH_firstorder_Skewness",31
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",209
"wavelet.HHH_glszm_LowGrayLevelZoneEmphasis",249
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",204
"wavelet.HHH_glszm_ZoneEntropy",23
"wavelet.LLL_glcm_Imc1",244
"original_shape_Flatness",222
"original_glszm_LowGrayLevelZoneEmphasis",54
"log.sigma.1.0.mm.3D_glcm_JointEnergy",11
"log.sigma.1.0.mm.3D_glcm_Id",16
"log.sigma.5.0.mm.3D_glcm_Correlation",75
"wavelet.LHL_firstorder_Skewness",31
"wavelet.LHL_glcm_ClusterProminence",143
"wavelet.LHL_glcm_ClusterShade",161
"wavelet.LHH_firstorder_Mean",169
"wavelet.LHH_glcm_Autocorrelation",47
"wavelet.LHH_glszm_SmallAreaEmphasis",141
"wavelet.HLL_glrlm_GrayLevelVariance",118
"wavelet.HLH_glcm_Idmn",33
"wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis",51
"wavelet.HLH_glszm_GrayLevelVariance",59
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",146
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",209
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",165
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",182
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",89
"wavelet.LLL_firstorder_90Percentile",208
"original_glszm_ZoneVariance",81
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",32
"log.sigma.1.0.mm.3D_glszm_SmallAreaEmphasis",13
"log.sigma.4.0.mm.3D_glcm_MaximumProbability",101
"log.sigma.5.0.mm.3D_firstorder_Median",5
"log.sigma.5.0.mm.3D_glcm_ClusterShade",19
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",73
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",171
"wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation",28
"wavelet.HHL_firstorder_Median",43
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",23
"wavelet.HHH_firstorder_Kurtosis",33
"wavelet.LLL_firstorder_Uniformity",124
"original_glrlm_RunLengthNonUniformity",69
"original_glszm_SmallAreaEmphasis",52
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",26
"log.sigma.5.0.mm.3D_glszm_SmallAreaEmphasis",120
"wavelet.LHL_firstorder_Kurtosis",41
"wavelet.HLL_glcm_ClusterShade",22
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",136
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",88
"wavelet.LLH_firstorder_Skewness",107
"wavelet.LHL_glcm_DifferenceAverage",4
"wavelet.HLL_firstorder_RootMeanSquared",5
"wavelet.HHH_glszm_SmallAreaEmphasis",34
"wavelet.LLL_glrlm_GrayLevelNonUniformity",13
"original_glcm_Correlation",16
