"f","count"
"wavelet.HLH_glszm_SmallAreaEmphasis",5
"wavelet.HLL_glrlm_LongRunEmphasis",2
"wavelet.LHH_glcm_Imc1",6
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",18
"wavelet.LHL_firstorder_Kurtosis",4
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",4
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",5
"wavelet.LHL_glrlm_LongRunEmphasis",27
"log.sigma.2.0.mm.3D_gldm_DependenceNonUniformityNormalized",1
"original_glrlm_GrayLevelNonUniformity",16
"wavelet.LHH_glszm_ZoneEntropy",5
"wavelet.HLL_firstorder_RootMeanSquared",4
"wavelet.LLH_glszm_ZonePercentage",7
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",11
"wavelet.LLL_gldm_DependenceNonUniformity",7
"original_shape_Flatness",2
"wavelet.LLL_glrlm_RunVariance",10
"original_glcm_Idmn",6
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.HHL_glcm_ClusterShade",2
"wavelet.LLL_firstorder_Uniformity",13
"log.sigma.3.0.mm.3D_firstorder_Uniformity",1
"wavelet.HLL_glcm_InverseVariance",4
"wavelet.HLH_firstorder_Mean",5
"wavelet.HHH_glcm_Autocorrelation",1
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",1
"wavelet.HLH_firstorder_90Percentile",1
"log.sigma.1.0.mm.3D_glszm_SmallAreaEmphasis",7
"wavelet.LLH_glcm_DifferenceAverage",3
"log.sigma.5.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",7
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",2
"wavelet.HLL_glcm_Id",3
"original_glszm_ZoneVariance",2
"original_glszm_GrayLevelVariance",2
"wavelet.HHL_glcm_ClusterProminence",4
"wavelet.LLH_glszm_SmallAreaEmphasis",8
"wavelet.HHH_glszm_LargeAreaEmphasis",2
"log.sigma.1.0.mm.3D_firstorder_Mean",1
"wavelet.LHH_firstorder_Skewness",2
"wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation",1
"wavelet.HHL_glcm_DifferenceAverage",2
"log.sigma.5.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.HLH_glcm_Imc1",2
"wavelet.HLH_glcm_Idmn",1
"log.sigma.3.0.mm.3D_firstorder_Skewness",2
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.HHL_firstorder_Mean",3
"log.sigma.5.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",3
"wavelet.LLL_glcm_Imc1",2
"wavelet.HLH_gldm_DependenceVariance",2
"wavelet.HHH_glszm_ZoneVariance",2
"wavelet.LLL_glrlm_RunEntropy",4
"wavelet.HLL_firstorder_Kurtosis",1
"log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",3
"wavelet.LHL_firstorder_90Percentile",1
"wavelet.HHH_gldm_DependenceVariance",2
"log.sigma.5.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
"original_shape_Sphericity",1
"log.sigma.1.0.mm.3D_gldm_DependenceNonUniformityNormalized",1
"log.sigma.5.0.mm.3D_glcm_ClusterShade",1
