"f","count"
"original_shape_Flatness",402
"original_shape_Sphericity",377
"original_firstorder_Mean",366
"original_glrlm_LongRunLowGrayLevelEmphasis",230
"original_glrlm_LowGrayLevelRunEmphasis",245
"original_glszm_GrayLevelNonUniformityNormalized",357
"original_glszm_SizeZoneNonUniformityNormalized",355
"original_gldm_SmallDependenceLowGrayLevelEmphasis",23
"log.sigma.1.0.mm.3D_glrlm_HighGrayLevelRunEmphasis",76
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",259
"log.sigma.2.0.mm.3D_firstorder_Mean",401
"log.sigma.2.0.mm.3D_glcm_InverseVariance",67
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",248
"log.sigma.3.0.mm.3D_firstorder_Maximum",366
"log.sigma.3.0.mm.3D_glcm_ClusterShade",293
"log.sigma.3.0.mm.3D_glcm_InverseVariance",338
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",156
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",320
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",373
"wavelet.LLH_firstorder_Kurtosis",197
"wavelet.LLH_firstorder_Mean",386
"wavelet.LLH_firstorder_Median",348
"wavelet.LLH_firstorder_Skewness",191
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",389
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",337
"wavelet.LHL_firstorder_Mean",348
"wavelet.LHL_glcm_Correlation",101
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",373
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",404
"wavelet.LHH_firstorder_Mean",406
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",68
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",297
"wavelet.LHH_glszm_ZoneEntropy",173
"wavelet.LHH_gldm_DependenceVariance",185
"wavelet.LHH_gldm_LowGrayLevelEmphasis",339
"wavelet.HLL_firstorder_Mean",337
"wavelet.HLL_firstorder_Median",66
"wavelet.HLL_firstorder_Skewness",182
"wavelet.HLL_glcm_ClusterShade",191
"wavelet.HLL_glcm_DifferenceVariance",201
"wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis",34
"wavelet.HLL_glrlm_RunEntropy",40
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",157
"wavelet.HLL_glszm_GrayLevelNonUniformityNormalized",43
"wavelet.HLH_firstorder_Mean",411
"wavelet.HLH_firstorder_Median",412
"wavelet.HLH_glcm_ClusterShade",379
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",252
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",296
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",218
"wavelet.HLH_gldm_LowGrayLevelEmphasis",376
"wavelet.HHL_firstorder_Mean",412
"wavelet.HHL_firstorder_Median",343
"wavelet.HHL_firstorder_Skewness",355
"wavelet.HHL_glcm_ClusterShade",377
"wavelet.HHL_glcm_Correlation",304
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",388
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",406
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",333
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",387
"wavelet.HHH_firstorder_Mean",254
"wavelet.HHH_firstorder_Median",374
"wavelet.HHH_firstorder_Skewness",395
"wavelet.HHH_glcm_ClusterShade",280
"wavelet.HHH_glcm_Correlation",376
"wavelet.HHH_glrlm_GrayLevelNonUniformity",46
"wavelet.HHH_glszm_SmallAreaEmphasis",116
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",401
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",329
"wavelet.HHH_gldm_LowGrayLevelEmphasis",412
"wavelet.LLL_glszm_GrayLevelNonUniformity",34
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",389
"wavelet.LLL_glszm_LowGrayLevelZoneEmphasis",251
"gradient_glcm_Correlation",63
"gradient_glszm_SmallAreaEmphasis",118
"lbp.3D.m1_firstorder_Mean",326
"lbp.3D.m1_firstorder_Median",173
"lbp.3D.m1_glcm_ClusterShade",165
"lbp.3D.m1_glszm_SmallAreaLowGrayLevelEmphasis",330
"lbp.3D.m2_firstorder_90Percentile",263
"lbp.3D.m2_firstorder_Skewness",225
"logarithm_glcm_JointEnergy",407
"logarithm_glrlm_LongRunLowGrayLevelEmphasis",266
"logarithm_glrlm_LowGrayLevelRunEmphasis",358
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",117
"logarithm_gldm_DependenceNonUniformityNormalized",225
"original_shape_MajorAxisLength",13
"original_firstorder_Skewness",94
"log.sigma.2.0.mm.3D_glszm_GrayLevelVariance",59
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",222
"log.sigma.3.0.mm.3D_firstorder_Variance",205
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",191
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",112
"wavelet.LLH_firstorder_90Percentile",197
"wavelet.LLH_firstorder_Minimum",52
"wavelet.LLH_firstorder_Variance",312
"wavelet.LLH_glcm_ClusterShade",254
"wavelet.LLH_glcm_Imc1",286
"wavelet.LHL_firstorder_Skewness",132
"wavelet.LHL_glcm_ClusterShade",273
"wavelet.LHL_glcm_InverseVariance",27
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",335
"wavelet.LHH_firstorder_Median",362
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",111
"wavelet.LHH_glszm_SizeZoneNonUniformity",231
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",81
"wavelet.HLL_glcm_Correlation",158
"wavelet.HLL_glcm_Imc2",101
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",379
