"f","count"
"original_glcm_InverseVariance",45
"lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis",147
"wavelet.HLH_gldm_DependenceVariance",193
"wavelet.LLL_glcm_MaximumProbability",4
"original_shape_SurfaceVolumeRatio",16
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",172
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",31
"wavelet.HLH_glszm_ZoneEntropy",5
"gradient_glszm_LowGrayLevelZoneEmphasis",53
"wavelet.HLL_glrlm_LowGrayLevelRunEmphasis",53
"lbp.3D.m1_glcm_Autocorrelation",64
"wavelet.LLL_firstorder_Skewness",5
"wavelet.LLL_gldm_SmallDependenceLowGrayLevelEmphasis",23
"wavelet.HLL_glszm_GrayLevelNonUniformity",26
"wavelet.LLH_glcm_ClusterShade",7
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",5
"wavelet.HLH_glcm_Correlation",57
"wavelet.HLH_firstorder_Variance",154
"wavelet.HLH_gldm_DependenceNonUniformity",40
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",35
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",61
"wavelet.HLH_glszm_GrayLevelVariance",2
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",18
"wavelet.LLH_glcm_InverseVariance",31
"wavelet.HLL_glszm_SizeZoneNonUniformityNormalized",4
"logarithm_glszm_ZoneEntropy",57
"log.sigma.3.0.mm.3D_glcm_ClusterShade",18
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",63
"log.sigma.1.0.mm.3D_glcm_Correlation",12
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",51
"wavelet.LLH_firstorder_Maximum",1
"logarithm_glcm_Imc2",9
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",12
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",10
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.LLH_gldm_DependenceNonUniformity",40
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",43
"lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis",42
"original_glszm_GrayLevelNonUniformityNormalized",8
"lbp.3D.m1_glcm_ClusterShade",29
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",4
"wavelet.HHH_glrlm_GrayLevelNonUniformity",2
"lbp.3D.m1_glcm_Imc2",3
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",29
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",13
"wavelet.HHL_firstorder_Median",18
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",4
"wavelet.LLL_glszm_GrayLevelVariance",3
"wavelet.HHL_glszm_SizeZoneNonUniformity",9
"wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis",1
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",31
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",4
"wavelet.LLL_glcm_ClusterShade",11
"logarithm_gldm_SmallDependenceLowGrayLevelEmphasis",19
"lbp.3D.m1_glrlm_HighGrayLevelRunEmphasis",4
"lbp.3D.m1_glszm_ZoneVariance",14
"original_shape_Sphericity",3
"gradient_firstorder_Skewness",3
"log.sigma.3.0.mm.3D_gldm_LowGrayLevelEmphasis",9
"wavelet.HHH_firstorder_Mean",3
"lbp.3D.m1_glcm_Correlation",20
"wavelet.HLL_firstorder_Mean",34
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",4
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",2
"gradient_glszm_SmallAreaHighGrayLevelEmphasis",19
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",4
"logarithm_glszm_GrayLevelVariance",13
"lbp.3D.k_firstorder_Skewness",8
"wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis",15
"wavelet.HLH_glrlm_RunLengthNonUniformity",4
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",20
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",14
"log.sigma.2.0.mm.3D_glcm_InverseVariance",14
"wavelet.LLH_firstorder_Mean",2
"wavelet.LHH_firstorder_Median",18
"wavelet.LHH_glrlm_GrayLevelNonUniformity",21
"wavelet.LLL_gldm_LowGrayLevelEmphasis",6
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",4
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",13
"original_shape_Elongation",15
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",5
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",3
"wavelet.LLH_firstorder_Skewness",8
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",26
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",3
"log.sigma.2.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",2
"wavelet.LHL_firstorder_Mean",3
"lbp.3D.k_glcm_JointEnergy",11
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",3
"wavelet.HHH_glszm_GrayLevelVariance",13
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",2
"log.sigma.3.0.mm.3D_glcm_Correlation",17
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",4
"logarithm_glrlm_ShortRunHighGrayLevelEmphasis",4
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",1
