"f","count"
"original_shape_Elongation",210
"original_shape_Flatness",210
"original_shape_MajorAxisLength",109
"original_shape_Sphericity",210
"original_glcm_Imc2",152
"original_glszm_GrayLevelNonUniformity",193
"original_gldm_LargeDependenceLowGrayLevelEmphasis",204
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",210
"log.sigma.2.0.mm.3D_firstorder_Mean",58
"log.sigma.2.0.mm.3D_firstorder_Skewness",210
"log.sigma.2.0.mm.3D_glcm_Correlation",142
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",209
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",191
"log.sigma.3.0.mm.3D_firstorder_90Percentile",176
"log.sigma.3.0.mm.3D_glcm_ClusterShade",209
"log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",209
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",180
"log.sigma.3.0.mm.3D_gldm_GrayLevelNonUniformity",109
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",120
"log.sigma.4.0.mm.3D_firstorder_Kurtosis",210
"log.sigma.4.0.mm.3D_firstorder_Skewness",208
"log.sigma.4.0.mm.3D_glcm_Autocorrelation",157
"log.sigma.4.0.mm.3D_glcm_Imc2",136
"log.sigma.4.0.mm.3D_glcm_InverseVariance",124
"log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",173
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",210
"wavelet.LLH_firstorder_Kurtosis",127
"wavelet.LLH_firstorder_MeanAbsoluteDeviation",126
"wavelet.LLH_firstorder_Mean",210
"wavelet.LLH_firstorder_Median",147
"wavelet.LLH_firstorder_Skewness",210
"wavelet.LLH_glcm_ClusterProminence",210
"wavelet.LLH_glcm_ClusterShade",210
"wavelet.LLH_glcm_Correlation",209
"wavelet.LLH_glcm_InverseVariance",117
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",210
"wavelet.LHL_firstorder_90Percentile",168
"wavelet.LHL_firstorder_Kurtosis",198
"wavelet.LHL_firstorder_Mean",210
