"f","count"
"original_shape_Flatness",240
"original_firstorder_10Percentile",168
"original_firstorder_Minimum",139
"original_glszm_SmallAreaLowGrayLevelEmphasis",35
"original_gldm_LargeDependenceLowGrayLevelEmphasis",215
"log.sigma.2.0.mm.3D_firstorder_90Percentile",83
"log.sigma.2.0.mm.3D_firstorder_Skewness",100
"log.sigma.2.0.mm.3D_glcm_Correlation",177
"log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",40
"log.sigma.2.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",61
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",77
"log.sigma.4.0.mm.3D_firstorder_Kurtosis",135
"wavelet.LLH_firstorder_90Percentile",57
"wavelet.LLH_firstorder_Mean",74
"wavelet.LLH_glcm_Correlation",214
"wavelet.LLH_glcm_JointEnergy",81
"wavelet.LLH_glcm_Idn",74
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",96
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",67
"wavelet.LHL_firstorder_90Percentile",83
"wavelet.LHL_firstorder_Kurtosis",202
"wavelet.LHL_firstorder_RobustMeanAbsoluteDeviation",66
"wavelet.LHL_firstorder_Skewness",156
"wavelet.LHL_glcm_JointAverage",93
"wavelet.LHL_glcm_ClusterShade",231
"wavelet.LHL_glcm_Imc2",36
"wavelet.LHL_glcm_Idn",99
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",39
"wavelet.LHH_firstorder_Mean",118
"wavelet.LHH_glcm_ClusterShade",207
"wavelet.LHH_glrlm_HighGrayLevelRunEmphasis",161
"wavelet.LHH_glszm_LargeAreaEmphasis",135
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",187
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",119
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",203
"wavelet.HLL_firstorder_90Percentile",130
"wavelet.HLL_firstorder_Maximum",115
"wavelet.HLL_firstorder_Mean",203
"wavelet.HLL_firstorder_Median",96
"wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation",115
"wavelet.HLL_glcm_Contrast",65
"wavelet.HLL_glcm_Correlation",150
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",196
"wavelet.HLL_gldm_DependenceVariance",133
"wavelet.HLH_firstorder_Kurtosis",174
"wavelet.HLH_firstorder_Skewness",216
"wavelet.HLH_glcm_ClusterProminence",211
"wavelet.HLH_glcm_Idmn",86
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",183
"wavelet.HLH_gldm_GrayLevelVariance",214
"wavelet.HHL_firstorder_Mean",188
"wavelet.HHL_firstorder_Median",111
"wavelet.HHL_glcm_Correlation",124
"wavelet.HHL_glszm_LargeAreaEmphasis",89
"wavelet.HHL_glszm_LowGrayLevelZoneEmphasis",85
"wavelet.HHH_firstorder_InterquartileRange",97
"wavelet.HHH_firstorder_Kurtosis",157
"wavelet.HHH_firstorder_Median",228
"wavelet.HHH_firstorder_Skewness",229
"wavelet.HHH_glcm_ClusterShade",232
"wavelet.HHH_glcm_Correlation",131
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",154
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",183
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",226
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",109
"wavelet.LLL_glcm_Imc2",226
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",80
"gradient_firstorder_Kurtosis",180
"gradient_firstorder_Median",204
"gradient_firstorder_Minimum",96
"gradient_firstorder_Skewness",132
"gradient_glcm_ClusterProminence",48
"gradient_glcm_ClusterShade",208
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",117
"gradient_glszm_LargeAreaLowGrayLevelEmphasis",88
"gradient_gldm_DependenceVariance",147
"gradient_gldm_LargeDependenceLowGrayLevelEmphasis",217
"gradient_gldm_SmallDependenceLowGrayLevelEmphasis",125
"lbp.3D.m1_firstorder_Maximum",82
"lbp.3D.m1_firstorder_Skewness",131
"lbp.3D.m1_glcm_Correlation",44
"lbp.3D.m1_glcm_JointEnergy",127
"lbp.3D.m2_firstorder_90Percentile",157
"lbp.3D.m2_firstorder_Maximum",218
"lbp.3D.m2_glcm_Imc2",32
"lbp.3D.m2_glcm_Idmn",71
"lbp.3D.m2_glcm_MaximumProbability",212
"lbp.3D.m2_glrlm_HighGrayLevelRunEmphasis",75
"lbp.3D.m2_gldm_LargeDependenceEmphasis",158
"lbp.3D.k_firstorder_10Percentile",55
"lbp.3D.k_glcm_Contrast",183
"lbp.3D.k_glcm_Idmn",83
"lbp.3D.k_glcm_InverseVariance",135
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",204
"lbp.3D.k_glszm_GrayLevelVariance",153
"lbp.3D.k_glszm_SmallAreaEmphasis",94
"logarithm_firstorder_Maximum",196
"logarithm_firstorder_MeanAbsoluteDeviation",147
"logarithm_glcm_Correlation",118
"logarithm_glrlm_LongRunLowGrayLevelEmphasis",115
"original_shape_SurfaceVolumeRatio",132
"log.sigma.2.0.mm.3D_glcm_DifferenceVariance",80
"wavelet.LLH_firstorder_Kurtosis",125
"wavelet.LLH_glcm_ClusterShade",52
"wavelet.LLH_glrlm_GrayLevelVariance",121
"wavelet.LHL_glszm_GrayLevelVariance",92
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",190
"wavelet.LHH_firstorder_Skewness",164
"wavelet.LHH_glcm_Correlation",106
"wavelet.LHH_glcm_InverseVariance",108
"wavelet.LHH_glrlm_GrayLevelVariance",169
"wavelet.LHH_gldm_LargeDependenceEmphasis",200
"wavelet.HLL_firstorder_Kurtosis",149
"wavelet.HLL_glcm_JointAverage",97
"wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis",83
"wavelet.HLH_firstorder_Mean",169
"wavelet.HLH_glcm_Correlation",81
"wavelet.HHL_firstorder_Kurtosis",148
"wavelet.HHL_firstorder_Skewness",78
"wavelet.HHL_glcm_ClusterShade",177
"wavelet.HHL_glcm_DifferenceVariance",89
"wavelet.HHL_glrlm_RunPercentage",119
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",87
"wavelet.HHH_glcm_Imc1",63
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",152
"gradient_firstorder_10Percentile",70
"gradient_glcm_InverseVariance",56
"gradient_glszm_LargeAreaEmphasis",63
"gradient_glszm_SizeZoneNonUniformityNormalized",46
"lbp.3D.m1_glcm_ClusterProminence",54
"lbp.3D.m1_gldm_DependenceEntropy",59
