"f","count"
"original_shape_Sphericity",107
"original_firstorder_Skewness",138
"log.sigma.3.0.mm.3D_firstorder_10Percentile",62
"log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",69
"log.sigma.4.0.mm.3D_firstorder_90Percentile",33
"wavelet.LLH_firstorder_10Percentile",19
"wavelet.LHL_glcm_ClusterProminence",72
"wavelet.LHL_glcm_ClusterShade",109
"wavelet.LHL_glcm_Contrast",50
"wavelet.LHH_firstorder_Kurtosis",91
"wavelet.HLL_firstorder_90Percentile",36
"wavelet.HLL_firstorder_Mean",95
"wavelet.HLH_glcm_JointEnergy",132
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",164
"wavelet.HHL_firstorder_Kurtosis",7
"wavelet.HHL_firstorder_Skewness",38
"wavelet.HHH_firstorder_Skewness",64
"wavelet.HHH_glcm_ClusterShade",15
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",134
"wavelet.LLL_glcm_InverseVariance",8
"lbp.3D.m2_firstorder_Median",152
"lbp.3D.k_glszm_LargeAreaEmphasis",25
"logarithm_firstorder_Skewness",141
"logarithm_glcm_ClusterProminence",35
"logarithm_glcm_ClusterShade",82
"logarithm_gldm_SmallDependenceLowGrayLevelEmphasis",6
"original_firstorder_Median",10
"log.sigma.3.0.mm.3D_glcm_Idmn",36
"wavelet.LHL_firstorder_InterquartileRange",20
"wavelet.LHL_glszm_HighGrayLevelZoneEmphasis",32
"wavelet.HLL_firstorder_Kurtosis",20
"wavelet.HLH_firstorder_Entropy",28
"wavelet.HLH_glcm_ClusterShade",133
"wavelet.HHL_firstorder_Mean",53
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",41
"wavelet.HHH_glszm_LargeAreaEmphasis",49
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",113
"gradient_glcm_Correlation",108
"lbp.3D.m2_firstorder_10Percentile",111
"lbp.3D.m2_firstorder_Skewness",77
"lbp.3D.k_firstorder_10Percentile",19
"lbp.3D.k_gldm_DependenceNonUniformity",36
"log.sigma.2.0.mm.3D_glcm_Correlation",189
"log.sigma.3.0.mm.3D_firstorder_Maximum",3
"wavelet.LLH_glcm_ClusterShade",46
"wavelet.LLH_glcm_MaximumProbability",46
"wavelet.LLH_gldm_DependenceVariance",41
"wavelet.LHL_firstorder_Kurtosis",60
"wavelet.LHL_glcm_MaximumProbability",18
"wavelet.LHL_gldm_DependenceVariance",15
"wavelet.HLH_glszm_LargeAreaEmphasis",133
"wavelet.HHH_firstorder_Kurtosis",38
"wavelet.HHH_glrlm_GrayLevelVariance",91
"wavelet.LLL_firstorder_10Percentile",12
"gradient_glszm_LargeAreaEmphasis",16
"lbp.3D.m2_glcm_Correlation",67
"lbp.3D.k_glcm_Imc2",39
"lbp.3D.k_glcm_Idmn",16
"log.sigma.2.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",4
"log.sigma.3.0.mm.3D_firstorder_Skewness",8
"log.sigma.3.0.mm.3D_glcm_ClusterTendency",42
"log.sigma.3.0.mm.3D_glcm_DifferenceVariance",33
"wavelet.LLH_glcm_JointEnergy",10
"wavelet.LHH_firstorder_Skewness",111
