"f","count"
"original_shape_Flatness",213
"original_shape_Sphericity",109
"original_firstorder_Skewness",184
"log.sigma.2.0.mm.3D_glcm_Correlation",206
"log.sigma.3.0.mm.3D_firstorder_10Percentile",64
"log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",73
"log.sigma.4.0.mm.3D_firstorder_90Percentile",44
"wavelet.LLH_firstorder_10Percentile",20
"wavelet.LHL_glcm_ClusterProminence",125
"wavelet.LHL_glcm_ClusterShade",145
"wavelet.LHL_glcm_Contrast",89
"wavelet.LHH_firstorder_Kurtosis",101
"wavelet.LHH_glcm_ClusterShade",101
"wavelet.HLL_firstorder_90Percentile",38
"wavelet.HLL_firstorder_Mean",101
"wavelet.HLL_glcm_Correlation",75
"wavelet.HLH_glcm_ClusterProminence",171
"wavelet.HLH_glcm_JointEnergy",151
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",52
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",64
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",198
"wavelet.HHL_firstorder_Kurtosis",40
"wavelet.HHL_firstorder_Median",140
"wavelet.HHL_firstorder_Skewness",179
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",26
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",78
"wavelet.HHH_firstorder_Skewness",98
"wavelet.HHH_glcm_ClusterShade",57
"wavelet.HHH_glszm_LargeAreaEmphasis",90
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",162
"wavelet.LLL_glcm_InverseVariance",8
"lbp.3D.m1_firstorder_Maximum",17
"lbp.3D.m1_glcm_ClusterShade",15
"lbp.3D.m2_firstorder_InterquartileRange",28
"lbp.3D.m2_firstorder_Median",155
"lbp.3D.k_firstorder_10Percentile",35
"lbp.3D.k_firstorder_Skewness",165
"lbp.3D.k_glszm_LargeAreaEmphasis",25
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",56
"logarithm_firstorder_Skewness",181
"logarithm_glcm_ClusterProminence",37
"logarithm_glcm_ClusterShade",86
"logarithm_gldm_SmallDependenceLowGrayLevelEmphasis",8
"original_firstorder_Median",11
"original_glrlm_LongRunLowGrayLevelEmphasis",106
"original_glszm_LargeAreaLowGrayLevelEmphasis",206
"log.sigma.2.0.mm.3D_glszm_ZoneVariance",17
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",96
"log.sigma.3.0.mm.3D_glcm_Idmn",45
"wavelet.LLH_firstorder_Kurtosis",15
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",28
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",35
"wavelet.LHL_firstorder_InterquartileRange",21
"wavelet.LHL_glszm_HighGrayLevelZoneEmphasis",40
"wavelet.LHH_firstorder_Mean",83
"wavelet.HLL_firstorder_Kurtosis",26
"wavelet.HLH_firstorder_Entropy",29
"wavelet.HLH_glcm_ClusterShade",142
"wavelet.HHL_firstorder_Mean",107
"wavelet.HHL_glcm_ClusterShade",57
"wavelet.HHL_glcm_Correlation",180
"wavelet.HHH_firstorder_Median",189
"wavelet.HHH_glcm_Correlation",142
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",147
"gradient_glcm_Correlation",109
"lbp.3D.m2_firstorder_10Percentile",112
"lbp.3D.m2_firstorder_Skewness",89
"lbp.3D.k_glcm_Correlation",39
"lbp.3D.k_gldm_DependenceNonUniformity",36
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",87
"log.sigma.3.0.mm.3D_firstorder_Maximum",4
"wavelet.LLH_glcm_ClusterShade",82
"wavelet.LLH_glcm_MaximumProbability",48
"wavelet.LLH_gldm_DependenceVariance",43
"wavelet.LHL_firstorder_Kurtosis",124
"wavelet.LHL_glcm_MaximumProbability",18
"wavelet.LHL_gldm_DependenceVariance",15
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",33
"wavelet.HLH_glszm_LargeAreaEmphasis",158
"wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis",38
"wavelet.HHH_firstorder_Kurtosis",62
"wavelet.HHH_glrlm_GrayLevelVariance",96
"wavelet.LLL_firstorder_10Percentile",13
"gradient_glcm_ClusterShade",54
"gradient_glszm_LargeAreaEmphasis",20
"lbp.3D.m1_glszm_SmallAreaLowGrayLevelEmphasis",18
"lbp.3D.m2_glcm_Correlation",70
"lbp.3D.k_glcm_Imc2",42
"lbp.3D.k_glcm_Idmn",32
"lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis",96
"log.sigma.2.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",10
"log.sigma.3.0.mm.3D_firstorder_Skewness",46
"log.sigma.3.0.mm.3D_glcm_ClusterTendency",43
"log.sigma.3.0.mm.3D_glcm_Correlation",60
"log.sigma.3.0.mm.3D_glcm_DifferenceVariance",33
"wavelet.LLH_glcm_JointEnergy",10
"wavelet.LHL_firstorder_Median",63
"wavelet.LHH_firstorder_Skewness",132
"wavelet.LHH_glcm_JointEnergy",14
"wavelet.LHH_glcm_Idmn",29
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",51
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",28
