"f","count"
"original_shape_Flatness",238
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",229
"wavelet.LHL_glcm_Correlation",50
"wavelet.LHH_firstorder_Skewness",32
"wavelet.LHH_glcm_ClusterShade",15
"wavelet.HHL_glcm_Correlation",140
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",57
"wavelet.HHH_firstorder_Mean",190
"wavelet.HHH_glcm_Correlation",104
"lbp.3D.m2_gldm_LargeDependenceEmphasis",101
"lbp.3D.k_firstorder_Skewness",40
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",8
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",7
"original_glszm_LargeAreaLowGrayLevelEmphasis",113
"wavelet.HLH_firstorder_Median",176
"wavelet.HLH_glcm_ClusterProminence",60
"wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis",45
"wavelet.HHH_firstorder_Median",226
"original_firstorder_Skewness",7
"log.sigma.2.0.mm.3D_glcm_Correlation",21
"wavelet.LLH_glcm_Correlation",151
"wavelet.LHH_glcm_Correlation",175
"wavelet.HLL_glcm_Correlation",64
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",68
"wavelet.HLH_firstorder_Skewness",57
"wavelet.HHH_firstorder_Skewness",39
"wavelet.LHH_firstorder_Median",65
"wavelet.HHL_firstorder_Median",112
"wavelet.HLL_glcm_Idmn",23
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",12
"lbp.3D.m1_firstorder_Maximum",4
"lbp.3D.k_firstorder_10Percentile",3
"wavelet.LLH_glcm_Idmn",65
"wavelet.HHL_firstorder_Skewness",112
"wavelet.HHL_glcm_ClusterShade",81
"lbp.3D.m1_glszm_SmallAreaLowGrayLevelEmphasis",62
"lbp.3D.k_glcm_Correlation",59
"wavelet.LHL_firstorder_Skewness",28
"wavelet.HHL_firstorder_Kurtosis",53
"wavelet.LHH_firstorder_Kurtosis",24
"gradient_gldm_LowGrayLevelEmphasis",13
"lbp.3D.m2_firstorder_Kurtosis",50
"wavelet.HLL_firstorder_Kurtosis",5
"wavelet.HLH_glcm_ClusterShade",17
"wavelet.HHH_glcm_ClusterShade",66
"log.sigma.3.0.mm.3D_firstorder_Maximum",19
"wavelet.HLH_glcm_Correlation",41
"wavelet.HHL_firstorder_Mean",51
"log.sigma.4.0.mm.3D_firstorder_Skewness",1
"wavelet.LHL_glcm_ClusterShade",24
"wavelet.LHH_glcm_Idmn",13
"lbp.3D.k_firstorder_Minimum",24
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",11
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",16
"log.sigma.3.0.mm.3D_glcm_Idmn",7
"wavelet.HLH_firstorder_Kurtosis",7
"wavelet.LLH_glcm_ClusterShade",24
"gradient_firstorder_Skewness",5
"original_glcm_Imc2",11
"wavelet.HLL_firstorder_Mean",1
"wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis",42
"lbp.3D.m1_glcm_ClusterShade",7
"lbp.3D.k_firstorder_Maximum",3
"lbp.3D.k_glcm_ClusterShade",2
"wavelet.LHL_firstorder_Median",12
"wavelet.LHL_firstorder_Kurtosis",2
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",5
"wavelet.HLH_firstorder_Mean",17
"lbp.3D.m1_firstorder_Kurtosis",3
"lbp.3D.m2_firstorder_Maximum",23
"wavelet.LLL_firstorder_Kurtosis",1
"lbp.3D.m1_firstorder_Skewness",11
"wavelet.HHH_glszm_LargeAreaEmphasis",4
"wavelet.LHH_firstorder_Mean",5
"lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis",3
"wavelet.LLH_firstorder_10Percentile",1
"wavelet.HHH_firstorder_Kurtosis",9
"original_shape_Sphericity",12
"lbp.3D.m2_glcm_Imc2",4
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",5
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",13
"logarithm_glcm_ClusterShade",4
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HLL_firstorder_Maximum",2
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",5
"wavelet.LHL_glcm_ClusterProminence",4
"wavelet.LHL_firstorder_Maximum",2
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",2
"logarithm_firstorder_Minimum",1
"logarithm_firstorder_Skewness",1
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",2
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",1
"log.sigma.3.0.mm.3D_glcm_Correlation",1
"gradient_glcm_ClusterShade",1
"original_shape_SurfaceVolumeRatio",1
"wavelet.LLH_firstorder_Skewness",1
"lbp.3D.m2_firstorder_Median",1
"log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",1
