"f","count"
"original_shape_Elongation",144
"original_shape_Flatness",162
"wavelet.LLH_firstorder_Mean",49
"wavelet.LLH_firstorder_Median",10
"wavelet.LHH_firstorder_Skewness",16
"wavelet.HHH_firstorder_Median",91
"wavelet.HHH_firstorder_Skewness",60
"lbp.3D.m2_firstorder_Kurtosis",53
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",11
"original_shape_SurfaceVolumeRatio",231
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",19
"wavelet.LHH_glcm_ClusterShade",145
"wavelet.HHH_glcm_ClusterShade",51
"lbp.3D.k_firstorder_Skewness",4
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",12
"wavelet.LLH_firstorder_Kurtosis",55
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",68
"wavelet.LHL_glcm_ClusterShade",36
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",8
"wavelet.HHL_firstorder_Mean",26
"wavelet.HLH_firstorder_Median",16
"wavelet.LHL_glcm_Correlation",5
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",63
"wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis",38
"wavelet.HHH_glcm_Correlation",8
"wavelet.HLL_firstorder_Median",8
"wavelet.HHL_firstorder_Skewness",7
"wavelet.LLH_glcm_ClusterShade",12
"wavelet.LHL_firstorder_Skewness",3
"lbp.3D.k_firstorder_10Percentile",27
"wavelet.LHL_glcm_ClusterProminence",5
"lbp.3D.m1_glcm_ClusterShade",2
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",12
"wavelet.LHH_firstorder_Mean",10
"wavelet.HLL_glcm_ClusterShade",3
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",6
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",9
"lbp.3D.m2_glcm_Imc2",5
"lbp.3D.k_firstorder_Maximum",7
"wavelet.HLH_firstorder_Mean",9
"wavelet.HLL_glcm_Correlation",1
"original_gldm_LargeDependenceLowGrayLevelEmphasis",1
"logarithm_glcm_ClusterShade",3
"logarithm_firstorder_Skewness",1
"lbp.3D.m2_firstorder_Mean",2
"wavelet.HHH_glszm_ZoneVariance",2
"lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis",3
"wavelet.LLL_glcm_Imc2",1
"wavelet.HLH_firstorder_Skewness",1
"wavelet.HLH_glcm_ClusterProminence",1
"wavelet.HLL_firstorder_10Percentile",1
"lbp.3D.m1_firstorder_RootMeanSquared",1
"wavelet.LHH_firstorder_Kurtosis",1
