"f","count"
"original_shape_Flatness",101
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",6
"wavelet.HHL_glcm_Correlation",10
"lbp.3D.m2_firstorder_Kurtosis",1
"wavelet.LHH_firstorder_Skewness",5
"wavelet.HHH_glcm_ClusterShade",6
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",4
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",1
"wavelet.LHH_glcm_ClusterShade",5
"logarithm_glcm_ClusterShade",4
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",5
"wavelet.HLH_firstorder_Skewness",1
"wavelet.LHH_firstorder_Kurtosis",1
"wavelet.LLH_glcm_Correlation",1
