"f","count"
"original_shape_Flatness",248
"original_shape_Sphericity",110
"original_glszm_LargeAreaLowGrayLevelEmphasis",176
"log.sigma.2.0.mm.3D_glcm_JointEnergy",48
"log.sigma.3.0.mm.3D_glcm_Correlation",233
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",175
"log.sigma.4.0.mm.3D_glcm_JointEnergy",122
"log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis",140
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",225
"wavelet.LLH_firstorder_Skewness",183
"wavelet.LLH_glcm_Correlation",180
"wavelet.LLH_glcm_JointEntropy",58
"wavelet.LLH_glcm_Imc2",89
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",155
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",128
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",139
"wavelet.LHL_firstorder_Kurtosis",166
"wavelet.LHL_firstorder_Median",119
"wavelet.LHL_firstorder_Skewness",187
"wavelet.LHL_glcm_ClusterProminence",187
"wavelet.LHL_glcm_ClusterShade",212
"wavelet.LHL_glcm_ClusterTendency",156
"wavelet.LHL_glcm_Correlation",91
"wavelet.LHL_glrlm_ShortRunEmphasis",32
"wavelet.LHL_glszm_LargeAreaEmphasis",222
"wavelet.LHL_glszm_ZoneEntropy",35
"wavelet.LHH_firstorder_Mean",80
"wavelet.LHH_firstorder_Skewness",201
"wavelet.LHH_glcm_Correlation",111
"wavelet.LHH_glcm_SumEntropy",53
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",96
"wavelet.HLL_firstorder_10Percentile",102
"wavelet.HLL_firstorder_Mean",139
"wavelet.HLL_firstorder_Median",121
"wavelet.HLL_firstorder_Skewness",60
"wavelet.HLL_glcm_Correlation",113
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",185
"wavelet.HLH_firstorder_Median",246
"wavelet.HLH_firstorder_Skewness",194
"wavelet.HLH_glcm_ClusterProminence",151
"wavelet.HLH_glcm_JointEnergy",102
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",85
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",137
"wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis",111
"wavelet.HHL_firstorder_Kurtosis",168
"wavelet.HHL_firstorder_Median",231
"wavelet.HHL_glcm_JointEnergy",62
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",113
"wavelet.HHL_glszm_LargeAreaEmphasis",185
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",205
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",222
"wavelet.HHH_firstorder_Kurtosis",123
"wavelet.HHH_firstorder_Mean",159
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_glcm_ClusterShade",187
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",127
"wavelet.LLL_glcm_Imc2",93
"gradient_firstorder_Kurtosis",193
"gradient_firstorder_Minimum",49
"gradient_glcm_ClusterProminence",76
"gradient_glcm_Correlation",79
"gradient_glrlm_LongRunLowGrayLevelEmphasis",117
"gradient_gldm_LargeDependenceLowGrayLevelEmphasis",158
"lbp.3D.m2_firstorder_Kurtosis",205
"lbp.3D.m2_firstorder_Median",226
"lbp.3D.m2_glcm_Autocorrelation",210
"lbp.3D.m2_glcm_ClusterShade",131
"lbp.3D.m2_glcm_Imc2",66
"lbp.3D.m2_glrlm_ShortRunLowGrayLevelEmphasis",105
"lbp.3D.k_firstorder_Range",129
"lbp.3D.k_glcm_ClusterShade",175
"lbp.3D.k_glcm_Idmn",102
"lbp.3D.k_glszm_SmallAreaEmphasis",103
"lbp.3D.k_gldm_DependenceEntropy",93
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",216
"logarithm_firstorder_Kurtosis",217
"logarithm_firstorder_Uniformity",102
"logarithm_glcm_ClusterShade",242
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",173
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",57
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",94
"log.sigma.4.0.mm.3D_firstorder_10Percentile",41
"log.sigma.4.0.mm.3D_firstorder_Mean",84
"log.sigma.4.0.mm.3D_glcm_ClusterProminence",45
"log.sigma.4.0.mm.3D_glcm_Correlation",153
"log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",98
"wavelet.LLH_firstorder_Mean",123
"wavelet.LLH_glcm_ClusterShade",154
"wavelet.LLH_glcm_ClusterTendency",61
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",206
"wavelet.LLH_gldm_DependenceEntropy",36
"wavelet.LLH_gldm_LargeDependenceEmphasis",47
"wavelet.LHL_firstorder_90Percentile",77
"wavelet.LHL_firstorder_TotalEnergy",106
"wavelet.LHH_firstorder_Kurtosis",206
"wavelet.LHH_firstorder_Median",85
"wavelet.LHH_glcm_ClusterShade",138
"wavelet.LHH_glrlm_GrayLevelVariance",45
"wavelet.LHH_glszm_SizeZoneNonUniformity",109
"wavelet.LHH_glszm_ZoneVariance",67
"wavelet.HLH_firstorder_Mean",85
"wavelet.HLH_glcm_ClusterShade",179
"wavelet.HLH_gldm_DependenceNonUniformity",31
"wavelet.HHL_glcm_Idmn",11
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",169
"wavelet.HHH_firstorder_Skewness",165
"wavelet.HHH_glcm_JointEnergy",135
"wavelet.HHH_glszm_SmallAreaEmphasis",86
"wavelet.LLL_firstorder_Minimum",73
"wavelet.LLL_firstorder_Skewness",107
"wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis",42
"lbp.3D.m1_glcm_ClusterShade",100
"lbp.3D.m2_glcm_ClusterProminence",34
"lbp.3D.k_glrlm_LowGrayLevelRunEmphasis",113
"log.sigma.2.0.mm.3D_firstorder_Maximum",16
"log.sigma.2.0.mm.3D_glcm_Idmn",28
"log.sigma.4.0.mm.3D_firstorder_90Percentile",50
"log.sigma.4.0.mm.3D_firstorder_Maximum",32
"wavelet.LLH_firstorder_Median",56
"wavelet.LLH_glszm_LargeAreaEmphasis",159
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",118
"wavelet.LHL_glcm_Idmn",16
"wavelet.HLL_glcm_ClusterShade",97
"wavelet.HLL_glcm_Imc2",16
"wavelet.HLH_firstorder_Kurtosis",36
"wavelet.HLH_glszm_ZoneVariance",146
"wavelet.HHL_glcm_Correlation",115
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",104
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",161
"gradient_firstorder_InterquartileRange",36
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",76
"lbp.3D.m1_glszm_HighGrayLevelZoneEmphasis",91
"lbp.3D.m2_firstorder_Maximum",77
"logarithm_glszm_LowGrayLevelZoneEmphasis",46
"log.sigma.2.0.mm.3D_glcm_Correlation",102
"log.sigma.4.0.mm.3D_firstorder_Skewness",70
"log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",66
"wavelet.LLH_firstorder_Kurtosis",107
"wavelet.LLH_glszm_SmallAreaEmphasis",39
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",59
"wavelet.LHH_glcm_Imc1",67
"wavelet.HLL_glcm_MaximumProbability",43
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",87
"wavelet.HLH_firstorder_TotalEnergy",166
"wavelet.HHL_firstorder_Mean",103
"wavelet.HHL_glcm_ClusterShade",175
"wavelet.HHH_firstorder_Energy",123
"wavelet.HHH_glcm_Autocorrelation",92
"lbp.3D.m2_gldm_LargeDependenceEmphasis",49
"log.sigma.4.0.mm.3D_glcm_Idmn",54
"log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",56
"wavelet.LLH_firstorder_Maximum",86
"wavelet.LHL_firstorder_Maximum",23
"wavelet.LHL_glcm_JointEntropy",34
"wavelet.HLL_glcm_Idmn",12
"wavelet.HLH_glcm_Correlation",34
"wavelet.LLL_glcm_Correlation",59
"gradient_glcm_Imc1",54
"lbp.3D.m1_firstorder_Mean",64
"lbp.3D.k_firstorder_10Percentile",78
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",22
"logarithm_glcm_ClusterProminence",77
"log.sigma.4.0.mm.3D_glcm_Imc2",37
"log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",118
"wavelet.LLH_glcm_Idmn",46
"gradient_glcm_Imc2",53
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",152
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",45
"logarithm_firstorder_Maximum",91
"logarithm_firstorder_Minimum",81
"logarithm_glcm_DifferenceVariance",33
"lbp.3D.m1_firstorder_Median",36
"lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized",49
"lbp.3D.k_glcm_Correlation",51
