f,count
original_glcm_Correlation,65
original_glszm_LargeAreaLowGrayLevelEmphasis,138
log.sigma.3.0.mm.3D_firstorder_Kurtosis,52
log.sigma.3.0.mm.3D_glcm_Correlation,137
log.sigma.3.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,9
wavelet.LLH_firstorder_90Percentile,130
wavelet.LLH_glcm_MaximumProbability,37
wavelet.LHL_firstorder_Maximum,9
wavelet.LHL_glcm_ClusterShade,186
wavelet.LHL_glcm_Correlation,97
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,14
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,46
wavelet.LHH_glcm_ClusterShade,245
wavelet.LHH_glcm_Correlation,94
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,36
wavelet.HLL_firstorder_Kurtosis,61
wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis,12
wavelet.HLH_glcm_ClusterProminence,128
wavelet.HHL_firstorder_Kurtosis,74
wavelet.HHL_firstorder_Skewness,179
wavelet.HHL_glcm_ClusterShade,57
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,72
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,93
wavelet.HHH_firstorder_Kurtosis,116
wavelet.HHH_firstorder_Mean,145
wavelet.HHH_firstorder_Median,159
lbp.3D.m1_firstorder_RootMeanSquared,151
lbp.3D.m1_glcm_DifferenceVariance,88
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,190
lbp.3D.m2_firstorder_Maximum,51
lbp.3D.m2_firstorder_Range,204
lbp.3D.m2_glcm_Correlation,25
lbp.3D.m2_glcm_DifferenceVariance,25
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,192
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,44
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,158
log.sigma.2.0.mm.3D_firstorder_Kurtosis,73
log.sigma.2.0.mm.3D_glcm_ClusterShade,32
log.sigma.3.0.mm.3D_glcm_Idm,22
log.sigma.4.0.mm.3D_glcm_ClusterProminence,17
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,43
wavelet.LLH_glcm_ClusterShade,30
wavelet.LHL_firstorder_90Percentile,92
wavelet.LHL_firstorder_Kurtosis,111
wavelet.LHL_glszm_GrayLevelVariance,34
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,138
wavelet.LHH_glcm_DifferenceAverage,117
wavelet.LHH_glcm_Imc2,47
wavelet.LHH_glszm_ZoneVariance,149
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,115
wavelet.HLL_firstorder_90Percentile,99
wavelet.HLL_firstorder_Maximum,6
wavelet.HLH_firstorder_10Percentile,21
wavelet.HLH_firstorder_Kurtosis,23
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,48
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,151
wavelet.HHH_firstorder_Skewness,138
wavelet.HHH_glcm_ClusterShade,163
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,27
wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,124
wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis,15
gradient_firstorder_Skewness,35
lbp.3D.m2_firstorder_90Percentile,167
lbp.3D.m2_glrlm_GrayLevelVariance,29
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,59
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,126
original_shape_Flatness,153
original_shape_Sphericity,182
original_shape_SurfaceVolumeRatio,104
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,97
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,16
wavelet.LHL_firstorder_InterquartileRange,13
wavelet.LHH_glszm_GrayLevelVariance,49
wavelet.HHL_glcm_Imc1,20
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,53
wavelet.HHH_firstorder_Energy,30
wavelet.HHH_glcm_InverseVariance,41
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,24
lbp.3D.m2_firstorder_Skewness,113
lbp.3D.m2_glrlm_RunPercentage,83
lbp.3D.k_firstorder_Kurtosis,111
lbp.3D.k_firstorder_Maximum,94
lbp.3D.k_glcm_Idmn,24
logarithm_glrlm_LongRunLowGrayLevelEmphasis,7
original_firstorder_10Percentile,19
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,26
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,117
wavelet.LHH_firstorder_Skewness,133
wavelet.HLL_firstorder_Skewness,104
wavelet.HHL_glcm_Idmn,59
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,12
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,64
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,24
lbp.3D.k_glrlm_LongRunHighGrayLevelEmphasis,20
lbp.3D.k_glszm_SizeZoneNonUniformity,17
logarithm_firstorder_Kurtosis,14
logarithm_firstorder_Median,19
logarithm_glcm_Imc2,115
logarithm_gldm_GrayLevelNonUniformity,16
log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,9
wavelet.LLH_firstorder_Median,25
wavelet.LHH_firstorder_Minimum,6
wavelet.LHH_glszm_SizeZoneNonUniformity,67
wavelet.HLH_firstorder_Mean,52
wavelet.HLH_glcm_Imc1,14
gradient_firstorder_InterquartileRange,16
log.sigma.2.0.mm.3D_glcm_Imc2,71
wavelet.LLH_glcm_Contrast,19
wavelet.LHL_glcm_Imc2,9
wavelet.LHL_gldm_DependenceEntropy,12
wavelet.LHH_firstorder_Kurtosis,83
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,41
wavelet.HHL_firstorder_Mean,14
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,23
lbp.3D.m2_firstorder_Median,26
lbp.3D.k_firstorder_InterquartileRange,52
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,89
lbp.3D.k_glszm_SmallAreaEmphasis,8
logarithm_glrlm_LongRunHighGrayLevelEmphasis,3
original_firstorder_Skewness,12
log.sigma.4.0.mm.3D_glcm_Correlation,108
wavelet.HLL_gldm_DependenceVariance,28
wavelet.HHH_glcm_JointEnergy,29
wavelet.LLH_glcm_Idmn,5
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,22
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,49
wavelet.HLL_firstorder_Median,87
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,32
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,45
wavelet.HLL_glcm_Imc2,16
wavelet.HLH_glcm_Correlation,13
wavelet.HHL_glszm_ZoneEntropy,13
gradient_glcm_Contrast,5
gradient_glcm_Correlation,19
lbp.3D.k_glszm_GrayLevelVariance,49
original_glcm_Imc2,42
wavelet.LHL_glcm_Idmn,18
wavelet.HLH_glrlm_ShortRunEmphasis,10
lbp.3D.m1_glcm_MaximumProbability,31
log.sigma.3.0.mm.3D_firstorder_Skewness,28
wavelet.HLH_firstorder_Skewness,7
wavelet.HHL_glszm_SmallAreaEmphasis,9
gradient_glszm_SmallAreaEmphasis,11
log.sigma.4.0.mm.3D_glcm_Idn,30
wavelet.LHL_firstorder_Skewness,42
wavelet.HLL_glcm_MaximumProbability,20
wavelet.HHH_glcm_Imc1,6
original_glcm_Idmn,61
wavelet.LHL_firstorder_TotalEnergy,14
wavelet.HLL_firstorder_InterquartileRange,10
logarithm_glcm_Idn,52
log.sigma.2.0.mm.3D_firstorder_InterquartileRange,11
wavelet.LLH_gldm_DependenceEntropy,8
wavelet.LHH_glszm_SmallAreaEmphasis,2
lbp.3D.m1_firstorder_90Percentile,32
log.sigma.2.0.mm.3D_firstorder_90Percentile,8
wavelet.HLL_glcm_Correlation,17
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,17
wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,3
wavelet.HHL_glcm_MaximumProbability,30
gradient_glcm_Idn,20
lbp.3D.m1_glcm_ClusterShade,38
lbp.3D.k_gldm_DependenceEntropy,4
log.sigma.2.0.mm.3D_glcm_Imc1,11
logarithm_glcm_Imc1,41
wavelet.HLH_glcm_Idmn,3
wavelet.HHL_glcm_Correlation,25
wavelet.LLH_gldm_DependenceVariance,6
lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized,14
log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,20
wavelet.LLH_firstorder_MeanAbsoluteDeviation,7
wavelet.HLL_glszm_GrayLevelVariance,15
wavelet.LLH_firstorder_Skewness,12
wavelet.LHH_glcm_Idmn,16
lbp.3D.m2_glcm_MaximumProbability,18
wavelet.LHL_firstorder_Median,27
log.sigma.4.0.mm.3D_glcm_MaximumProbability,9
lbp.3D.m1_glcm_Correlation,20
wavelet.LLH_gldm_SmallDependenceLowGrayLevelEmphasis,14
wavelet.HLL_glcm_Imc1,17
wavelet.HHH_glcm_Idn,8
logarithm_gldm_DependenceNonUniformityNormalized,15
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,9
gradient_glcm_Imc1,12
lbp.3D.k_glcm_Correlation,9
wavelet.HLH_glszm_ZoneVariance,5
wavelet.HHH_glcm_Correlation,4
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,4
wavelet.LLH_glcm_JointAverage,5
lbp.3D.k_firstorder_Minimum,12
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,7
wavelet.HLL_glcm_Idn,10
wavelet.HHL_firstorder_InterquartileRange,20
log.sigma.2.0.mm.3D_firstorder_Mean,5
wavelet.HLH_glszm_SizeZoneNonUniformityNormalized,8
gradient_glcm_ClusterShade,4
wavelet.LLH_glcm_Imc2,10
lbp.3D.k_glcm_Imc2,5
gradient_firstorder_10Percentile,7
wavelet.LLL_firstorder_InterquartileRange,7
wavelet.HLL_firstorder_Energy,5
wavelet.LLL_glrlm_LowGrayLevelRunEmphasis,5
original_firstorder_Minimum,11
original_shape_MajorAxisLength,5
wavelet.LHH_firstorder_Median,7
lbp.3D.m1_firstorder_Maximum,1
wavelet.LLH_glcm_Correlation,1
iter,250
