f,count
original_shape_Elongation,191
original_firstorder_Maximum,70
log.sigma.3.0.mm.3D_firstorder_Skewness,76
log.sigma.3.0.mm.3D_glrlm_LongRunEmphasis,18
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,35
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,95
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,26
wavelet.LLH_glcm_ClusterProminence,101
wavelet.LLH_glcm_Correlation,55
wavelet.LLH_glcm_InverseVariance,18
wavelet.LHL_firstorder_Mean,163
wavelet.LHH_firstorder_Skewness,97
wavelet.LHH_glcm_ClusterShade,107
wavelet.LHH_glcm_InverseVariance,102
wavelet.LHH_glszm_SmallAreaEmphasis,15
wavelet.HLL_firstorder_Mean,160
wavelet.HLL_firstorder_Median,66
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,139
wavelet.HLH_glcm_ClusterShade,205
wavelet.HHL_firstorder_Median,204
wavelet.HHL_glcm_ClusterProminence,164
wavelet.HHL_glcm_ClusterShade,154
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,170
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,187
wavelet.HHH_glcm_ClusterShade,194
wavelet.LLL_firstorder_Skewness,29
gradient_glcm_ClusterProminence,18
lbp.3D.m1_firstorder_Mean,94
lbp.3D.m1_glcm_JointAverage,38
lbp.3D.m2_firstorder_90Percentile,156
lbp.3D.m2_firstorder_Skewness,77
lbp.3D.m2_glcm_ClusterProminence,94
lbp.3D.m2_glcm_ClusterShade,91
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,37
lbp.3D.k_firstorder_10Percentile,97
lbp.3D.k_firstorder_Kurtosis,100
lbp.3D.k_glcm_ClusterShade,197
log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,28
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,98
log.sigma.4.0.mm.3D_firstorder_Skewness,50
