f,count
original_shape_Elongation,231
original_shape_Flatness,162
original_shape_Sphericity,74
original_firstorder_Maximum,157
original_glcm_Imc1,80
original_glszm_ZoneVariance,103
log.sigma.2.0.mm.3D_glcm_Imc1,77
log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,47
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,125
log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,68
log.sigma.4.0.mm.3D_firstorder_Kurtosis,121
log.sigma.4.0.mm.3D_firstorder_Skewness,109
log.sigma.4.0.mm.3D_glcm_JointEnergy,203
log.sigma.4.0.mm.3D_glcm_Idm,88
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,188
wavelet.LLH_firstorder_Mean,173
wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation,141
wavelet.LLH_glszm_SmallAreaEmphasis,29
wavelet.LHL_firstorder_Skewness,145
wavelet.LHL_glcm_ClusterProminence,98
wavelet.LHL_glcm_Correlation,121
wavelet.LHL_glcm_DifferenceVariance,94
wavelet.LHL_glcm_JointEnergy,67
wavelet.LHL_glcm_Idmn,59
wavelet.LHH_firstorder_Median,180
wavelet.LHH_firstorder_Skewness,231
wavelet.LHH_glcm_ClusterShade,224
wavelet.LHH_glcm_Correlation,161
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,113
wavelet.LHH_glszm_LargeAreaEmphasis,156
wavelet.LHH_glszm_SizeZoneNonUniformity,115
wavelet.LHH_gldm_DependenceNonUniformityNormalized,126
wavelet.LHH_gldm_GrayLevelVariance,225
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,68
wavelet.HLL_firstorder_10Percentile,187
wavelet.HLL_firstorder_90Percentile,89
wavelet.HLL_firstorder_Mean,215
wavelet.HLL_firstorder_Median,86
wavelet.HLL_firstorder_RootMeanSquared,195
wavelet.HLL_glcm_ClusterProminence,215
wavelet.HLL_glcm_Correlation,111
wavelet.HLL_glcm_Idmn,27
wavelet.HLL_glcm_MaximumProbability,199
wavelet.HLL_glszm_LargeAreaEmphasis,171
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,160
wavelet.HLL_gldm_DependenceVariance,181
wavelet.HLH_firstorder_Kurtosis,75
wavelet.HLH_firstorder_Skewness,230
