f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,244
original_firstorder_90Percentile,197
original_firstorder_Kurtosis,250
original_glcm_ClusterShade,228
original_gldm_LargeDependenceHighGrayLevelEmphasis,244
original_gldm_LargeDependenceLowGrayLevelEmphasis,250
log.sigma.2.0.mm.3D_firstorder_Kurtosis,162
log.sigma.2.0.mm.3D_glcm_Imc1,69
log.sigma.3.0.mm.3D_firstorder_90Percentile,144
log.sigma.3.0.mm.3D_glcm_ClusterShade,209
log.sigma.3.0.mm.3D_glcm_Correlation,110
log.sigma.3.0.mm.3D_gldm_DependenceVariance,57
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,239
log.sigma.4.0.mm.3D_firstorder_Kurtosis,250
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,249
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,11
wavelet.LLH_firstorder_Kurtosis,250
wavelet.LLH_firstorder_Skewness,249
wavelet.LLH_glcm_Correlation,196
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,212
wavelet.LHL_firstorder_90Percentile,174
wavelet.LHL_firstorder_Kurtosis,244
wavelet.LHL_firstorder_Skewness,199
wavelet.LHL_firstorder_Variance,208
wavelet.LHL_glcm_Imc1,157
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,249
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,53
wavelet.LHL_gldm_DependenceEntropy,207
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,69
wavelet.LHH_firstorder_Mean,224
wavelet.LHH_firstorder_Median,250
wavelet.LHH_firstorder_Skewness,243
wavelet.LHH_glcm_ClusterShade,245
wavelet.LHH_glcm_Correlation,243
wavelet.LHH_glcm_Imc1,243
wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis,158
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,249
wavelet.LHH_glszm_SmallAreaEmphasis,95
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,250
wavelet.HLL_firstorder_90Percentile,217
wavelet.HLL_firstorder_Kurtosis,244
wavelet.HLL_firstorder_Maximum,121
wavelet.HLL_firstorder_Median,241
wavelet.HLL_glcm_Correlation,249
wavelet.HLL_glcm_DifferenceVariance,238
wavelet.HLL_glcm_Imc1,225
wavelet.HLL_glcm_MaximumProbability,239
wavelet.HLL_glszm_LargeAreaEmphasis,245
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,242
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,228
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,130
wavelet.HLH_firstorder_Kurtosis,246
wavelet.HLH_firstorder_Mean,192
wavelet.HLH_firstorder_Median,245
wavelet.HLH_firstorder_Skewness,246
wavelet.HLH_glcm_Correlation,109
wavelet.HLH_glcm_Imc1,235
wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,239
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,198
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,250
wavelet.HLH_glszm_ZoneEntropy,190
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,180
wavelet.HHL_firstorder_Mean,244
wavelet.HHL_firstorder_Median,250
wavelet.HHL_firstorder_Skewness,250
wavelet.HHL_glcm_ClusterProminence,248
wavelet.HHL_glcm_Correlation,250
wavelet.HHL_glcm_Imc1,248
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,157
wavelet.HHL_glszm_SmallAreaEmphasis,220
wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis,116
wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis,210
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,244
wavelet.HHH_firstorder_Energy,243
wavelet.HHH_firstorder_Kurtosis,250
wavelet.HHH_firstorder_Mean,243
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_Correlation,250
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glcm_Idmn,248
wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis,205
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,239
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,238
wavelet.HHH_glszm_SmallAreaEmphasis,248
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,234
wavelet.HHH_glszm_ZoneVariance,82
wavelet.HHH_gldm_DependenceVariance,232
wavelet.LLL_firstorder_10Percentile,161
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,241
gradient_firstorder_Minimum,109
gradient_glcm_Imc1,224
gradient_glcm_Imc2,87
gradient_glcm_Idmn,19
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,250
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,249
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,183
lbp.3D.m2_firstorder_90Percentile,250
lbp.3D.m2_firstorder_InterquartileRange,250
lbp.3D.m2_firstorder_Kurtosis,248
lbp.3D.m2_firstorder_Maximum,250
lbp.3D.m2_firstorder_RootMeanSquared,230
lbp.3D.m2_firstorder_Skewness,250
lbp.3D.m2_gldm_DependenceVariance,240
lbp.3D.m2_gldm_GrayLevelVariance,249
lbp.3D.m2_gldm_SmallDependenceEmphasis,249
lbp.3D.k_firstorder_10Percentile,250
lbp.3D.k_firstorder_Kurtosis,214
lbp.3D.k_firstorder_Range,249
lbp.3D.k_glcm_ClusterShade,250
lbp.3D.k_glcm_ClusterTendency,247
lbp.3D.k_glcm_Correlation,240
lbp.3D.k_glcm_DifferenceEntropy,229
lbp.3D.k_glcm_Idn,151
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,250
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,89
lbp.3D.k_glszm_SmallAreaEmphasis,250
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,238
lbp.3D.k_gldm_DependenceVariance,250
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,250
logarithm_firstorder_Minimum,132
logarithm_glcm_Correlation,241
logarithm_glcm_Imc1,248
logarithm_glcm_Imc2,173
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,211
logarithm_glszm_SizeZoneNonUniformityNormalized,208
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,227
log.sigma.2.0.mm.3D_firstorder_Skewness,75
log.sigma.4.0.mm.3D_firstorder_InterquartileRange,115
log.sigma.4.0.mm.3D_glcm_Imc2,82
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,220
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,154
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,160
wavelet.HLL_glcm_Idn,69
