f,count
original_shape_Elongation,200
log.sigma.4.0.mm.3D_firstorder_Kurtosis,114
wavelet.LLH_gldm_DependenceEntropy,4
wavelet.LHL_glcm_Imc1,31
wavelet.LHH_firstorder_Median,125
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,60
wavelet.LHH_glszm_SmallAreaEmphasis,5
wavelet.HLL_glcm_Correlation,150
wavelet.HLH_firstorder_Skewness,30
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,162
wavelet.HHL_firstorder_Mean,56
wavelet.HHH_firstorder_Median,132
wavelet.HHH_firstorder_Skewness,155
wavelet.HHH_glcm_JointEnergy,62
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,88
wavelet.HHH_glszm_ZoneVariance,19
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,73
gradient_glcm_Imc1,108
gradient_glcm_Imc2,98
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,132
lbp.3D.m2_firstorder_InterquartileRange,200
lbp.3D.m2_firstorder_Kurtosis,191
lbp.3D.m2_firstorder_Skewness,161
lbp.3D.m2_firstorder_Uniformity,27
lbp.3D.k_firstorder_Kurtosis,50
lbp.3D.k_glcm_ClusterShade,236
lbp.3D.k_glcm_Correlation,146
lbp.3D.k_glszm_SmallAreaEmphasis,86
lbp.3D.k_gldm_DependenceVariance,112
logarithm_firstorder_Minimum,63
logarithm_glcm_MaximumProbability,12
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,26
original_shape_Flatness,146
original_gldm_SmallDependenceLowGrayLevelEmphasis,12
wavelet.LLH_glcm_ClusterTendency,26
wavelet.LHL_firstorder_90Percentile,34
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,58
wavelet.LHL_gldm_DependenceEntropy,69
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,73
wavelet.HLH_glcm_Imc1,41
wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,59
wavelet.HHL_firstorder_Skewness,89
wavelet.HHH_firstorder_Kurtosis,81
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,42
gradient_glcm_ClusterShade,17
lbp.3D.k_firstorder_Range,44
logarithm_glrlm_LongRunLowGrayLevelEmphasis,40
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,67
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,57
original_glcm_ClusterShade,31
wavelet.LLH_firstorder_Kurtosis,17
wavelet.LHL_glszm_GrayLevelNonUniformityNormalized,26
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,53
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,9
wavelet.LHH_gldm_DependenceVariance,23
wavelet.HLL_firstorder_Median,33
wavelet.HLL_glcm_DifferenceVariance,46
wavelet.HHL_glcm_Correlation,104
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,75
wavelet.LLL_glcm_Imc2,7
wavelet.LLL_gldm_SmallDependenceLowGrayLevelEmphasis,20
lbp.3D.m2_firstorder_RootMeanSquared,146
lbp.3D.m2_gldm_SmallDependenceEmphasis,64
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,82
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,137
logarithm_glcm_Imc1,87
logarithm_glcm_Imc2,72
logarithm_glcm_Idmn,23
original_gldm_LargeDependenceLowGrayLevelEmphasis,127
wavelet.LLH_glszm_SmallAreaEmphasis,13
wavelet.LHH_firstorder_Mean,36
wavelet.HLL_glszm_ZoneEntropy,6
wavelet.HLH_glcm_Correlation,18
wavelet.HHL_firstorder_Median,118
wavelet.HHL_glcm_Imc1,97
lbp.3D.k_firstorder_10Percentile,31
log.sigma.4.0.mm.3D_firstorder_InterquartileRange,22
wavelet.LLH_firstorder_Median,15
wavelet.LLH_glcm_Idmn,6
wavelet.HLL_glszm_LargeAreaEmphasis,58
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,19
wavelet.HHL_firstorder_Kurtosis,11
wavelet.HHH_glcm_Correlation,58
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,22
gradient_glszm_GrayLevelNonUniformityNormalized,24
lbp.3D.m2_gldm_GrayLevelVariance,62
wavelet.LLH_firstorder_Skewness,34
wavelet.LHL_firstorder_10Percentile,20
wavelet.LHL_firstorder_Variance,27
wavelet.LHH_glcm_InverseVariance,21
wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis,23
lbp.3D.m2_firstorder_90Percentile,59
lbp.3D.k_glcm_ClusterTendency,111
lbp.3D.k_glcm_DifferenceEntropy,101
original_firstorder_90Percentile,42
log.sigma.2.0.mm.3D_firstorder_Kurtosis,27
log.sigma.4.0.mm.3D_firstorder_Maximum,5
wavelet.LHL_firstorder_Kurtosis,21
wavelet.LHH_firstorder_Skewness,24
wavelet.LHH_glcm_ClusterShade,34
wavelet.HLL_glcm_Idn,29
wavelet.HHL_glcm_ClusterProminence,24
wavelet.HHL_glszm_LargeAreaEmphasis,10
wavelet.HHH_glcm_ClusterShade,42
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,11
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,8
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,11
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,35
wavelet.LHH_glcm_Correlation,29
wavelet.LHH_glcm_Imc1,42
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,49
wavelet.HLH_firstorder_Mean,12
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,22
wavelet.HHH_glcm_Idmn,4
wavelet.LLL_glcm_Autocorrelation,19
lbp.3D.k_gldm_DependenceEntropy,9
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,6
wavelet.LHL_firstorder_TotalEnergy,22
wavelet.LHH_glszm_ZoneEntropy,18
wavelet.HLL_firstorder_90Percentile,23
wavelet.HLL_firstorder_Kurtosis,52
wavelet.HLL_glcm_Imc1,33
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,27
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,10
wavelet.HHH_firstorder_Energy,54
wavelet.LLL_firstorder_10Percentile,30
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,19
log.sigma.4.0.mm.3D_glcm_JointEntropy,14
wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis,13
wavelet.LLH_gldm_DependenceVariance,4
lbp.3D.m2_firstorder_Maximum,6
wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis,31
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,22
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,44
wavelet.LLH_glcm_Imc2,5
wavelet.HLL_glcm_MaximumProbability,29
wavelet.HHH_gldm_DependenceVariance,34
logarithm_glszm_SizeZoneNonUniformityNormalized,19
gradient_glcm_Correlation,25
lbp.3D.k_glcm_Idn,39
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,46
original_gldm_LargeDependenceHighGrayLevelEmphasis,20
