f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,247
original_firstorder_Maximum,205
original_glcm_Imc2,248
original_glrlm_LongRunLowGrayLevelEmphasis,187
log.sigma.2.0.mm.3D_firstorder_Skewness,65
log.sigma.2.0.mm.3D_glcm_Correlation,138
log.sigma.2.0.mm.3D_glcm_JointEnergy,217
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,154
log.sigma.2.0.mm.3D_gldm_GrayLevelNonUniformity,33
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,104
log.sigma.3.0.mm.3D_firstorder_Skewness,209
log.sigma.3.0.mm.3D_glcm_Correlation,20
log.sigma.3.0.mm.3D_glcm_Imc2,24
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,168
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,215
log.sigma.4.0.mm.3D_firstorder_90Percentile,246
log.sigma.4.0.mm.3D_firstorder_Skewness,228
log.sigma.4.0.mm.3D_glcm_JointEnergy,225
log.sigma.4.0.mm.3D_glcm_Idm,242
log.sigma.4.0.mm.3D_glcm_MaximumProbability,236
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,142
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,234
wavelet.LLH_firstorder_Mean,241
wavelet.LLH_firstorder_Median,224
wavelet.LLH_firstorder_Skewness,149
wavelet.LLH_glcm_ClusterShade,216
wavelet.LLH_glcm_Correlation,241
wavelet.LLH_glcm_Imc1,212
wavelet.LLH_glcm_Imc2,143
wavelet.LLH_glcm_Id,124
wavelet.LLH_glszm_LargeAreaEmphasis,57
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,207
wavelet.LHL_firstorder_Mean,247
wavelet.LHL_firstorder_Median,249
wavelet.LHL_firstorder_Skewness,132
wavelet.LHL_glcm_Correlation,144
wavelet.LHL_glcm_Imc2,247
wavelet.LHL_glcm_MaximumProbability,237
wavelet.LHH_firstorder_Kurtosis,204
wavelet.LHH_firstorder_Median,210
wavelet.LHH_firstorder_Skewness,198
wavelet.LHH_glcm_Correlation,166
wavelet.LHH_glcm_Imc2,162
wavelet.LHH_glcm_Idmn,61
wavelet.LHH_glcm_InverseVariance,247
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,248
wavelet.HLL_firstorder_10Percentile,200
wavelet.HLL_firstorder_90Percentile,205
wavelet.HLL_firstorder_Mean,247
wavelet.HLL_firstorder_Median,224
wavelet.HLL_glcm_ClusterProminence,208
wavelet.HLL_glcm_ClusterTendency,115
wavelet.HLL_glcm_JointEnergy,178
wavelet.HLL_glcm_Imc2,230
wavelet.HLL_glcm_InverseVariance,244
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,173
wavelet.HLH_firstorder_Mean,215
wavelet.HLH_firstorder_Median,236
wavelet.HLH_firstorder_Skewness,248
wavelet.HLH_glcm_ClusterShade,250
wavelet.HLH_glcm_JointEnergy,236
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,94
wavelet.HHL_firstorder_Mean,250
wavelet.HHL_firstorder_Median,241
wavelet.HHL_firstorder_Skewness,219
wavelet.HHL_glcm_ClusterProminence,232
wavelet.HHL_glcm_ClusterShade,245
wavelet.HHL_glcm_Contrast,162
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,83
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,123
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,244
wavelet.HHL_gldm_DependenceVariance,241
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,248
wavelet.HHH_firstorder_Energy,186
wavelet.HHH_firstorder_Kurtosis,216
wavelet.HHH_firstorder_Median,230
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,213
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,241
wavelet.HHH_glszm_ZoneVariance,151
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,249
wavelet.LLL_firstorder_10Percentile,161
wavelet.LLL_glcm_ClusterShade,220
gradient_glcm_ClusterProminence,117
gradient_glszm_LargeAreaHighGrayLevelEmphasis,226
gradient_gldm_DependenceVariance,58
gradient_gldm_LowGrayLevelEmphasis,34
lbp.3D.m1_firstorder_Mean,203
lbp.3D.m1_firstorder_Skewness,249
lbp.3D.m1_glcm_Autocorrelation,195
lbp.3D.m1_glcm_ClusterShade,250
lbp.3D.m1_glcm_Correlation,162
lbp.3D.m1_glcm_Imc2,206
lbp.3D.m2_firstorder_90Percentile,247
lbp.3D.m2_firstorder_Kurtosis,204
lbp.3D.m2_firstorder_RootMeanSquared,249
lbp.3D.m2_firstorder_Skewness,250
lbp.3D.m2_glcm_ClusterProminence,250
lbp.3D.m2_glcm_ClusterShade,249
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,237
lbp.3D.k_firstorder_10Percentile,211
lbp.3D.k_firstorder_Minimum,35
lbp.3D.k_glcm_ClusterShade,245
lbp.3D.k_glcm_DifferenceVariance,169
lbp.3D.k_glszm_SmallAreaEmphasis,248
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,247
logarithm_firstorder_Skewness,205
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,12
logarithm_glszm_LargeAreaEmphasis,24
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,238
logarithm_gldm_DependenceVariance,238
original_shape_MajorAxisLength,115
original_glrlm_ShortRunHighGrayLevelEmphasis,9
log.sigma.2.0.mm.3D_firstorder_Energy,194
log.sigma.2.0.mm.3D_firstorder_Kurtosis,157
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,14
wavelet.LHL_firstorder_Kurtosis,67
wavelet.LHL_glrlm_GrayLevelVariance,63
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,38
wavelet.LHH_glcm_ClusterShade,121
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,57
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,57
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,96
wavelet.HLL_firstorder_Skewness,159
wavelet.HLH_firstorder_Kurtosis,168
wavelet.HLH_glcm_Contrast,141
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,223
wavelet.HLH_glszm_SizeZoneNonUniformity,43
wavelet.HHL_glcm_Correlation,84
wavelet.HHH_firstorder_Mean,112
wavelet.HHH_glszm_SmallAreaEmphasis,168
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,122
wavelet.LLL_glcm_Correlation,21
gradient_firstorder_Kurtosis,129
gradient_glcm_DifferenceVariance,8
