f,count
wavelet.HHH_glszm_SmallAreaEmphasis,144
wavelet.LLL_glcm_ClusterShade,46
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,52
wavelet.LHH_glcm_Correlation,196
logarithm_gldm_DependenceVariance,139
wavelet.HLH_firstorder_Mean,22
lbp.3D.m2_firstorder_Kurtosis,85
lbp.3D.k_firstorder_Minimum,34
lbp.3D.k_glcm_ClusterShade,51
wavelet.HHL_firstorder_Skewness,145
wavelet.HHL_glcm_ClusterProminence,182
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,32
wavelet.LLL_glcm_Correlation,180
logarithm_firstorder_Skewness,189
wavelet.HLL_glcm_JointEntropy,1
original_glcm_Imc2,46
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,13
wavelet.HHL_glcm_Imc2,76
wavelet.HHH_glcm_ClusterShade,38
log.sigma.2.0.mm.3D_firstorder_Kurtosis,15
gradient_firstorder_10Percentile,75
wavelet.LLH_glszm_LargeAreaEmphasis,16
log.sigma.4.0.mm.3D_firstorder_Median,5
lbp.3D.m2_glcm_ClusterShade,112
lbp.3D.k_glszm_SmallAreaEmphasis,13
wavelet.HHL_firstorder_Mean,19
wavelet.LLL_firstorder_10Percentile,97
wavelet.HLL_firstorder_Median,20
original_firstorder_Maximum,25
lbp.3D.m1_glcm_Autocorrelation,31
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,71
log.sigma.2.0.mm.3D_firstorder_Mean,6
lbp.3D.k_glcm_Idmn,19
wavelet.HHH_glcm_Correlation,57
wavelet.LHL_gldm_LowGrayLevelEmphasis,10
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,91
lbp.3D.m2_firstorder_Skewness,62
wavelet.HLL_firstorder_Mean,30
wavelet.LHL_firstorder_Median,24
wavelet.LLH_firstorder_Mean,30
original_shape_Elongation,69
log.sigma.3.0.mm.3D_glcm_Imc2,47
wavelet.HLH_glcm_Imc2,22
original_glrlm_LongRunLowGrayLevelEmphasis,74
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,12
log.sigma.2.0.mm.3D_glcm_Correlation,5
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,40
logarithm_glcm_Imc1,103
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,1
lbp.3D.k_glcm_Correlation,9
wavelet.HLH_glcm_ClusterShade,32
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,47
lbp.3D.m2_firstorder_RootMeanSquared,2
wavelet.LHL_firstorder_Kurtosis,64
wavelet.LHL_firstorder_Mean,18
wavelet.HHL_firstorder_Median,26
gradient_glszm_SmallAreaLowGrayLevelEmphasis,6
wavelet.HLL_firstorder_Skewness,16
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,3
wavelet.HHH_firstorder_Mean,61
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,16
logarithm_glrlm_GrayLevelNonUniformityNormalized,20
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,43
original_shape_Sphericity,60
log.sigma.2.0.mm.3D_gldm_GrayLevelNonUniformity,31
gradient_gldm_LowGrayLevelEmphasis,6
log.sigma.4.0.mm.3D_glcm_JointEnergy,2
wavelet.HHH_firstorder_Median,6
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,30
wavelet.HHL_gldm_DependenceVariance,4
lbp.3D.m2_firstorder_Maximum,58
logarithm_glrlm_GrayLevelNonUniformity,23
wavelet.LLH_gldm_LargeDependenceEmphasis,7
wavelet.HLL_glcm_Correlation,37
wavelet.HHL_glcm_JointEnergy,10
wavelet.HHH_glcm_JointEnergy,24
lbp.3D.k_glcm_DifferenceVariance,41
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,13
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,16
wavelet.HHL_glcm_Contrast,13
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,3
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,1
original_shape_MajorAxisLength,14
log.sigma.2.0.mm.3D_glcm_JointEnergy,1
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,17
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,13
lbp.3D.k_firstorder_10Percentile,14
wavelet.LHL_glcm_MaximumProbability,7
original_shape_Flatness,4
wavelet.HLH_firstorder_Median,29
wavelet.HLH_firstorder_Skewness,10
log.sigma.4.0.mm.3D_firstorder_90Percentile,10
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,9
wavelet.LHH_glcm_Idmn,2
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,5
wavelet.LLH_glcm_Correlation,12
gradient_glcm_Imc1,10
wavelet.HHL_glcm_ClusterShade,28
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,7
wavelet.HHH_firstorder_Kurtosis,18
wavelet.LLH_glcm_ClusterShade,3
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,12
lbp.3D.k_firstorder_Kurtosis,27
logarithm_glszm_SmallAreaEmphasis,1
wavelet.HHH_glcm_Imc1,10
lbp.3D.m1_firstorder_Skewness,15
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,7
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,4
wavelet.HHH_firstorder_Skewness,7
log.sigma.4.0.mm.3D_glcm_Idm,3
gradient_firstorder_Kurtosis,16
log.sigma.2.0.mm.3D_firstorder_90Percentile,6
gradient_glszm_LargeAreaHighGrayLevelEmphasis,8
wavelet.LHH_glcm_InverseVariance,15
wavelet.LHL_glcm_Correlation,3
wavelet.LHH_glcm_ClusterShade,7
lbp.3D.m2_glcm_ClusterProminence,7
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,11
wavelet.LHH_firstorder_Kurtosis,21
lbp.3D.m1_glcm_Imc2,3
wavelet.LLH_firstorder_Kurtosis,10
