f,count
lbp.3D.m1_glcm_ClusterShade,25
wavelet.HHH_glcm_Imc1,16
original_shape_Elongation,58
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,39
wavelet.HHL_glcm_ClusterShade,95
lbp.3D.k_glcm_ClusterProminence,114
wavelet.HHH_firstorder_Median,37
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,35
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,18
wavelet.HLH_firstorder_Median,3
wavelet.HHL_firstorder_Mean,10
lbp.3D.k_firstorder_Range,15
original_shape_Flatness,31
wavelet.HHL_firstorder_Skewness,10
wavelet.LLL_firstorder_10Percentile,2
logarithm_glcm_ClusterShade,11
wavelet.HHH_firstorder_Mean,6
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,7
lbp.3D.m2_firstorder_Skewness,32
wavelet.LLH_glcm_Correlation,2
lbp.3D.m2_glcm_Imc2,12
wavelet.HLL_glcm_ClusterShade,3
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,4
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,2
wavelet.HHL_firstorder_Median,5
wavelet.HHH_glszm_SmallAreaEmphasis,8
wavelet.HHH_glcm_ClusterShade,11
lbp.3D.m2_firstorder_Range,2
wavelet.HLL_firstorder_Mean,15
wavelet.HLH_firstorder_Skewness,1
log.sigma.4.0.mm.3D_glcm_MaximumProbability,1
lbp.3D.m2_glcm_ClusterShade,1
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,1
wavelet.HHL_glszm_LargeAreaEmphasis,1
lbp.3D.k_firstorder_Kurtosis,1
iter,250
