f,count
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,218
wavelet.LLL_firstorder_Skewness,165
gradient_firstorder_Minimum,232
wavelet.LHL_firstorder_Kurtosis,131
wavelet.HHL_glszm_SmallAreaEmphasis,115
wavelet.HHH_firstorder_Skewness,25
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,36
lbp.3D.m2_firstorder_Maximum,75
wavelet.LHH_firstorder_Mean,36
wavelet.LLL_firstorder_10Percentile,16
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,94
logarithm_glrlm_LongRunLowGrayLevelEmphasis,69
wavelet.HLL_glcm_Autocorrelation,71
wavelet.HHH_glcm_ClusterShade,57
wavelet.LLH_gldm_DependenceEntropy,27
wavelet.HHH_glcm_JointEnergy,14
gradient_glcm_Idmn,10
lbp.3D.m2_glrlm_RunPercentage,6
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,12
wavelet.HHL_firstorder_Mean,25
wavelet.HHL_glcm_JointEnergy,1
log.sigma.3.0.mm.3D_glcm_Imc1,25
wavelet.HLH_firstorder_Median,142
wavelet.LHH_glszm_SmallAreaEmphasis,43
wavelet.HLH_glszm_SmallAreaEmphasis,88
log.sigma.4.0.mm.3D_glcm_JointEntropy,4
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,18
wavelet.HLH_firstorder_Mean,50
wavelet.LLH_firstorder_Kurtosis,11
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,3
lbp.3D.k_glszm_SmallAreaEmphasis,4
wavelet.LHH_firstorder_Median,15
wavelet.HHL_glcm_Imc1,71
wavelet.HHH_glrlm_HighGrayLevelRunEmphasis,9
lbp.3D.k_glcm_ClusterProminence,40
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,81
lbp.3D.k_glszm_ZoneEntropy,20
wavelet.HLH_glszm_HighGrayLevelZoneEmphasis,14
wavelet.HHH_glcm_Imc1,22
wavelet.HLL_glszm_LargeAreaEmphasis,3
original_shape_MajorAxisLength,23
log.sigma.2.0.mm.3D_firstorder_Skewness,75
log.sigma.3.0.mm.3D_firstorder_Kurtosis,22
original_shape_Flatness,7
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,7
original_glcm_Correlation,3
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,12
original_firstorder_Maximum,42
lbp.3D.m2_firstorder_90Percentile,2
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,39
wavelet.HLL_glrlm_GrayLevelVariance,6
original_glcm_Imc1,2
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,5
wavelet.HLL_firstorder_TotalEnergy,34
wavelet.LLH_glcm_Correlation,3
lbp.3D.m2_glcm_ClusterShade,32
lbp.3D.k_glcm_Correlation,26
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,4
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,4
lbp.3D.k_firstorder_Minimum,33
wavelet.HLH_glcm_Correlation,4
wavelet.HLL_firstorder_Maximum,11
wavelet.LLH_glcm_JointEnergy,4
log.sigma.4.0.mm.3D_glrlm_RunVariance,23
wavelet.LLH_glcm_Idmn,10
logarithm_glcm_MaximumProbability,8
original_shape_Sphericity,2
wavelet.LHL_gldm_DependenceEntropy,12
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,11
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,10
log.sigma.2.0.mm.3D_glcm_ClusterShade,5
