f,count
original_shape_Elongation,154
original_firstorder_10Percentile,53
original_glcm_Correlation,53
log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,9
wavelet.LHL_firstorder_90Percentile,51
wavelet.LHH_glcm_Correlation,25
wavelet.HLL_firstorder_Kurtosis,6
wavelet.HLL_glszm_LargeAreaEmphasis,121
wavelet.HHL_firstorder_Mean,81
wavelet.HHL_firstorder_Median,60
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,135
wavelet.HHH_firstorder_Skewness,68
wavelet.HHH_glcm_Correlation,89
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,3
lbp.3D.m2_firstorder_InterquartileRange,163
lbp.3D.m2_firstorder_Kurtosis,90
lbp.3D.m2_firstorder_Skewness,121
lbp.3D.m2_glcm_Imc2,108
lbp.3D.k_glcm_ClusterShade,233
lbp.3D.k_gldm_DependenceVariance,83
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,23
logarithm_glszm_SizeZoneNonUniformityNormalized,28
original_shape_Flatness,103
original_shape_Sphericity,6
log.sigma.4.0.mm.3D_glcm_Idmn,20
wavelet.LHL_glcm_DifferenceVariance,122
wavelet.LHL_gldm_DependenceEntropy,53
wavelet.LHH_firstorder_RobustMeanAbsoluteDeviation,11
wavelet.LHH_glcm_ClusterTendency,4
wavelet.LHH_glcm_Imc1,42
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,179
wavelet.HLH_gldm_LowGrayLevelEmphasis,98
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,69
lbp.3D.m2_glrlm_GrayLevelVariance,74
lbp.3D.k_glcm_Correlation,164
logarithm_firstorder_Kurtosis,53
logarithm_firstorder_Median,86
logarithm_glcm_Imc2,88
log.sigma.3.0.mm.3D_glcm_Imc1,8
wavelet.LLH_firstorder_Mean,9
wavelet.LLH_glcm_Correlation,7
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,73
wavelet.LHL_firstorder_Kurtosis,8
wavelet.LHL_glcm_Correlation,71
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,85
lbp.3D.m2_gldm_SmallDependenceEmphasis,90
log.sigma.3.0.mm.3D_glcm_Correlation,5
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,16
wavelet.HLH_glcm_Imc1,37
gradient_glszm_GrayLevelNonUniformityNormalized,21
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,38
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,45
lbp.3D.k_glszm_GrayLevelNonUniformityNormalized,19
logarithm_firstorder_Minimum,33
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,25
log.sigma.3.0.mm.3D_firstorder_Kurtosis,18
log.sigma.4.0.mm.3D_glcm_JointEntropy,4
wavelet.LHH_firstorder_Median,9
wavelet.LHH_firstorder_Skewness,23
wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis,3
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,7
wavelet.HHH_firstorder_Energy,55
wavelet.HHH_glcm_JointEnergy,34
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,124
logarithm_glcm_Imc1,107
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,41
original_firstorder_Kurtosis,26
original_gldm_LargeDependenceHighGrayLevelEmphasis,72
wavelet.HLL_glcm_Idmn,3
wavelet.HLH_glcm_Correlation,14
wavelet.HHH_glcm_Autocorrelation,7
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,60
lbp.3D.m2_firstorder_90Percentile,91
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,14
log.sigma.2.0.mm.3D_firstorder_Skewness,3
wavelet.HLH_firstorder_Median,20
wavelet.HHH_firstorder_Median,7
lbp.3D.m2_firstorder_Uniformity,14
lbp.3D.k_glcm_Idn,23
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,15
wavelet.HLL_firstorder_90Percentile,27
wavelet.HHL_glcm_Imc1,32
gradient_glcm_ClusterProminence,13
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.LHL_firstorder_TotalEnergy,7
wavelet.LHH_glcm_ClusterShade,21
wavelet.HHL_glcm_ClusterProminence,35
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,29
wavelet.LHH_firstorder_Mean,12
wavelet.HHH_gldm_DependenceNonUniformityNormalized,26
gradient_glszm_SizeZoneNonUniformityNormalized,8
lbp.3D.k_firstorder_Kurtosis,8
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,17
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,11
wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis,10
original_glcm_ClusterProminence,11
original_glcm_Imc2,18
log.sigma.3.0.mm.3D_firstorder_90Percentile,18
wavelet.LLH_gldm_DependenceEntropy,18
wavelet.HLH_firstorder_Mean,22
wavelet.HHL_gldm_DependenceVariance,40
wavelet.LLH_firstorder_90Percentile,9
wavelet.LLH_firstorder_Kurtosis,4
wavelet.HLL_firstorder_Median,17
lbp.3D.k_firstorder_10Percentile,43
logarithm_glcm_Idn,10
wavelet.LLH_firstorder_Skewness,14
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,14
log.sigma.4.0.mm.3D_firstorder_InterquartileRange,14
wavelet.LHH_firstorder_TotalEnergy,5
wavelet.HLL_glszm_ZoneEntropy,7
wavelet.HLH_firstorder_Skewness,6
wavelet.HHL_firstorder_Kurtosis,12
gradient_firstorder_Kurtosis,9
original_glszm_ZoneVariance,13
log.sigma.4.0.mm.3D_gldm_DependenceVariance,7
