f,count
original_shape_Sphericity,193
log.sigma.2.0.mm.3D_glcm_Imc2,31
wavelet.LHL_firstorder_90Percentile,60
wavelet.LHL_firstorder_Median,36
wavelet.LHL_firstorder_Skewness,25
wavelet.LHL_glcm_Contrast,55
wavelet.LHL_glcm_Correlation,109
wavelet.LHH_glcm_Idmn,6
wavelet.HLL_firstorder_Median,90
wavelet.HLL_glcm_MaximumProbability,58
wavelet.HLL_glszm_LargeAreaEmphasis,43
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,151
wavelet.HLH_glszm_LowGrayLevelZoneEmphasis,74
wavelet.HHL_firstorder_Mean,28
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,72
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,74
wavelet.HHH_firstorder_Kurtosis,57
wavelet.HHH_firstorder_Mean,112
wavelet.HHH_firstorder_Skewness,107
wavelet.HHH_glcm_ClusterShade,189
lbp.3D.m1_firstorder_90Percentile,76
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,36
lbp.3D.m2_glcm_Correlation,71
lbp.3D.m2_glcm_DifferenceVariance,76
lbp.3D.m2_glrlm_LongRunEmphasis,169
lbp.3D.k_firstorder_Range,67
lbp.3D.k_glcm_ClusterShade,134
lbp.3D.k_glcm_Idmn,40
lbp.3D.k_glcm_SumSquares,63
lbp.3D.k_glrlm_HighGrayLevelRunEmphasis,47
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,5
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,154
logarithm_glcm_Imc2,97
logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,2
original_firstorder_10Percentile,9
original_glszm_ZoneVariance,77
log.sigma.3.0.mm.3D_firstorder_Kurtosis,23
log.sigma.3.0.mm.3D_glcm_MaximumProbability,17
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,94
log.sigma.4.0.mm.3D_glcm_Correlation,135
wavelet.LLH_firstorder_Skewness,31
wavelet.LLH_glcm_Imc1,34
wavelet.LLH_glcm_MaximumProbability,22
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,41
wavelet.LHH_firstorder_Range,2
wavelet.LHH_glcm_Correlation,63
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,21
wavelet.HLL_firstorder_Maximum,3
wavelet.HHL_firstorder_Skewness,132
lbp.3D.m1_glcm_MaximumProbability,63
lbp.3D.k_glcm_Correlation,39
original_shape_SurfaceVolumeRatio,74
original_glcm_Idmn,84
log.sigma.3.0.mm.3D_glcm_Correlation,80
wavelet.LHL_firstorder_TotalEnergy,44
wavelet.LHH_firstorder_Skewness,77
wavelet.LHH_glcm_ClusterShade,199
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,97
wavelet.HLL_firstorder_Kurtosis,28
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,21
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,32
wavelet.HHH_firstorder_Median,104
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,86
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,114
lbp.3D.m2_glcm_MaximumProbability,56
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,13
logarithm_glcm_Imc1,44
logarithm_glcm_Idn,77
original_firstorder_Minimum,15
original_glcm_Correlation,59
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,9
wavelet.LLH_firstorder_90Percentile,105
wavelet.LLH_glcm_ClusterShade,11
wavelet.LHL_glcm_ClusterShade,114
wavelet.LHL_glcm_ClusterTendency,48
wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis,16
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,27
wavelet.HLL_firstorder_Skewness,34
wavelet.HLH_glcm_Correlation,15
wavelet.HHL_firstorder_Median,18
wavelet.HHH_glcm_JointEnergy,26
gradient_firstorder_Skewness,5
lbp.3D.m1_glcm_ClusterShade,70
lbp.3D.k_glcm_Imc2,8
logarithm_firstorder_Kurtosis,6
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,60
log.sigma.2.0.mm.3D_firstorder_Mean,3
log.sigma.2.0.mm.3D_glcm_Autocorrelation,23
log.sigma.2.0.mm.3D_glcm_ClusterShade,29
wavelet.LLH_firstorder_Median,57
wavelet.LHL_firstorder_Kurtosis,105
wavelet.LHH_firstorder_Median,10
wavelet.HLH_glcm_ClusterShade,63
wavelet.HHL_glcm_Correlation,26
wavelet.HHL_glcm_MaximumProbability,26
wavelet.LLL_firstorder_InterquartileRange,7
lbp.3D.m2_firstorder_90Percentile,91
lbp.3D.m2_firstorder_Skewness,87
original_glszm_LargeAreaLowGrayLevelEmphasis,96
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,11
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,9
wavelet.LHH_firstorder_Kurtosis,62
wavelet.LHH_glcm_ClusterTendency,109
wavelet.LHH_glcm_DifferenceAverage,104
wavelet.HLL_glcm_Idm,18
wavelet.HLH_glszm_ZoneVariance,39
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,32
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,9
wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis,43
log.sigma.3.0.mm.3D_firstorder_Skewness,16
wavelet.LHL_firstorder_Maximum,12
wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation,13
wavelet.HLL_glszm_GrayLevelVariance,17
gradient_firstorder_10Percentile,46
logarithm_firstorder_RootMeanSquared,14
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,56
wavelet.HHL_glcm_Idmn,6
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,6
wavelet.LHL_glcm_JointAverage,24
wavelet.HLH_glrlm_GrayLevelNonUniformityNormalized,38
wavelet.HHL_firstorder_InterquartileRange,38
wavelet.HHL_firstorder_Kurtosis,78
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,45
wavelet.HLH_glcm_Imc1,20
wavelet.HHL_glcm_ClusterShade,74
wavelet.HHH_glszm_GrayLevelNonUniformity,6
lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized,5
lbp.3D.m2_firstorder_Range,9
log.sigma.2.0.mm.3D_firstorder_Kurtosis,47
wavelet.LLH_glcm_Idmn,8
log.sigma.4.0.mm.3D_glcm_Imc2,12
wavelet.HHL_glcm_Imc1,14
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,9
wavelet.HHH_firstorder_10Percentile,59
lbp.3D.m1_glcm_DifferenceVariance,24
lbp.3D.m2_firstorder_Median,17
wavelet.HLL_glcm_Imc1,10
wavelet.HLH_firstorder_Kurtosis,8
lbp.3D.k_firstorder_Kurtosis,37
lbp.3D.k_firstorder_Minimum,21
wavelet.HLH_firstorder_Skewness,23
wavelet.LHL_firstorder_InterquartileRange,18
gradient_glcm_ClusterShade,4
original_shape_Flatness,39
wavelet.LLH_gldm_DependenceEntropy,19
wavelet.HLL_firstorder_90Percentile,36
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,10
logarithm_firstorder_Uniformity,11
wavelet.LHH_glcm_Imc2,14
wavelet.HHH_glcm_Imc1,14
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,9
wavelet.LLH_firstorder_MeanAbsoluteDeviation,8
wavelet.LHH_glszm_SizeZoneNonUniformity,15
original_firstorder_Skewness,11
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,11
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,19
wavelet.LHL_glcm_MaximumProbability,13
gradient_glcm_Correlation,8
wavelet.LHH_glszm_SmallAreaEmphasis,9
wavelet.HHH_firstorder_Energy,28
log.sigma.4.0.mm.3D_glcm_Idn,9
gradient_glcm_Imc1,10
log.sigma.2.0.mm.3D_firstorder_InterquartileRange,9
log.sigma.3.0.mm.3D_glcm_InverseVariance,14
wavelet.HLL_glcm_Correlation,9
wavelet.HHL_glszm_SmallAreaEmphasis,15
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,28
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,14
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,7
wavelet.HHH_glcm_Idmn,2
log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,17
wavelet.LLH_glcm_Correlation,11
wavelet.HLL_glcm_Imc2,13
gradient_glszm_SmallAreaEmphasis,9
wavelet.LHL_glcm_Imc2,16
wavelet.LHL_gldm_DependenceEntropy,9
wavelet.HLH_firstorder_Mean,7
logarithm_gldm_GrayLevelNonUniformity,8
wavelet.LLH_glcm_JointAverage,2
wavelet.LHL_glcm_Idmn,7
wavelet.LLH_firstorder_Maximum,8
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,16
gradient_firstorder_InterquartileRange,10
log.sigma.2.0.mm.3D_firstorder_90Percentile,8
wavelet.HLH_glcm_Idmn,2
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,8
lbp.3D.m1_glcm_Correlation,11
gradient_glcm_Idmn,7
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,7
wavelet.LLH_glcm_Contrast,6
wavelet.HLL_firstorder_Energy,4
lbp.3D.k_gldm_DependenceEntropy,10
log.sigma.4.0.mm.3D_glcm_ClusterProminence,5
log.sigma.2.0.mm.3D_glcm_Idmn,9
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HHH_glcm_Correlation,4
original_glrlm_LowGrayLevelRunEmphasis,6
gradient_firstorder_Minimum,3
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,3
gradient_glcm_Contrast,1
lbp.3D.m1_firstorder_Range,1
wavelet.HLL_glcm_Idn,1
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,1
iter,250
