f,count
original_shape_Flatness,250
original_shape_Sphericity,249
original_shape_SurfaceVolumeRatio,225
original_firstorder_Skewness,170
original_glcm_Correlation,237
original_glcm_Idmn,157
original_glszm_LargeAreaLowGrayLevelEmphasis,250
original_glszm_ZoneVariance,221
log.sigma.2.0.mm.3D_firstorder_90Percentile,105
log.sigma.2.0.mm.3D_firstorder_InterquartileRange,84
log.sigma.2.0.mm.3D_firstorder_Kurtosis,229
log.sigma.2.0.mm.3D_glcm_ClusterShade,234
log.sigma.2.0.mm.3D_glcm_Imc2,250
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,158
log.sigma.3.0.mm.3D_firstorder_Kurtosis,178
log.sigma.3.0.mm.3D_firstorder_Skewness,186
log.sigma.3.0.mm.3D_glcm_Correlation,247
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,241
log.sigma.4.0.mm.3D_glcm_Correlation,246
log.sigma.4.0.mm.3D_glcm_Imc2,184
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,212
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,19
wavelet.LLH_firstorder_90Percentile,247
wavelet.LLH_firstorder_Median,227
wavelet.LLH_firstorder_Skewness,228
wavelet.LLH_glcm_Contrast,18
wavelet.LLH_glcm_Correlation,150
wavelet.LLH_glcm_Imc1,91
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,83
wavelet.LHL_firstorder_90Percentile,241
wavelet.LHL_firstorder_Median,206
wavelet.LHL_firstorder_Skewness,194
wavelet.LHL_glcm_JointAverage,248
wavelet.LHL_glcm_ClusterShade,250
wavelet.LHL_glcm_ClusterTendency,113
wavelet.LHL_glcm_Contrast,158
wavelet.LHL_glcm_Correlation,250
wavelet.LHL_glcm_Imc2,74
wavelet.LHL_glcm_MaximumProbability,126
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,248
wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis,196
wavelet.LHH_firstorder_Kurtosis,246
wavelet.LHH_firstorder_Median,247
wavelet.LHH_firstorder_Skewness,250
wavelet.LHH_glcm_ClusterShade,250
wavelet.LHH_glcm_ClusterTendency,205
wavelet.LHH_glcm_Correlation,250
wavelet.LHH_glcm_DifferenceAverage,241
wavelet.LHH_glcm_Idmn,187
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,235
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,244
wavelet.LHH_glszm_SmallAreaEmphasis,239
wavelet.HLL_firstorder_Median,228
wavelet.HLL_firstorder_Skewness,215
wavelet.HLL_glcm_Correlation,185
wavelet.HLL_glcm_Imc1,238
wavelet.HLL_glcm_Imc2,228
wavelet.HLL_glcm_Idm,247
wavelet.HLL_glcm_MaximumProbability,249
wavelet.HLH_firstorder_Kurtosis,174
wavelet.HLH_firstorder_Skewness,242
wavelet.HLH_glcm_ClusterShade,250
wavelet.HLH_glcm_Correlation,238
wavelet.HLH_glcm_Imc1,142
wavelet.HLH_glrlm_GrayLevelNonUniformityNormalized,193
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,247
wavelet.HLH_glszm_LowGrayLevelZoneEmphasis,212
wavelet.HLH_glszm_ZoneVariance,238
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,201
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,229
wavelet.HHL_firstorder_InterquartileRange,236
wavelet.HHL_firstorder_Kurtosis,244
wavelet.HHL_firstorder_Mean,228
wavelet.HHL_firstorder_Median,217
wavelet.HHL_firstorder_Skewness,250
wavelet.HHL_glcm_ClusterShade,249
wavelet.HHL_glcm_Correlation,224
wavelet.HHL_glcm_MaximumProbability,249
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,226
wavelet.HHL_glszm_SmallAreaEmphasis,121
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,247
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,122
wavelet.HHH_firstorder_10Percentile,249
wavelet.HHH_firstorder_Energy,238
wavelet.HHH_firstorder_Kurtosis,233
wavelet.HHH_firstorder_Mean,250
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_JointEnergy,175
wavelet.HHH_glcm_Imc1,195
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,93
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,229
wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis,215
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,243
gradient_firstorder_10Percentile,250
gradient_firstorder_Skewness,111
gradient_glcm_Idmn,108
gradient_glszm_SmallAreaEmphasis,250
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,163
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,150
lbp.3D.m1_firstorder_90Percentile,212
lbp.3D.m1_glcm_ClusterShade,244
lbp.3D.m1_glcm_MaximumProbability,235
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,248
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,129
lbp.3D.m2_firstorder_90Percentile,247
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,250
lbp.3D.m2_firstorder_Range,169
lbp.3D.m2_firstorder_Skewness,248
lbp.3D.m2_glcm_Correlation,239
lbp.3D.m2_glcm_DifferenceVariance,247
lbp.3D.m2_glrlm_LongRunEmphasis,249
lbp.3D.k_firstorder_Kurtosis,250
lbp.3D.k_firstorder_Minimum,249
lbp.3D.k_firstorder_Range,243
lbp.3D.k_glcm_ClusterShade,250
lbp.3D.k_glcm_Correlation,249
lbp.3D.k_glcm_Idmn,250
lbp.3D.k_glcm_SumSquares,239
lbp.3D.k_glrlm_HighGrayLevelRunEmphasis,249
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,229
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,121
lbp.3D.k_glszm_SmallAreaEmphasis,205
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,239
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,250
logarithm_firstorder_Kurtosis,27
logarithm_firstorder_RootMeanSquared,53
logarithm_firstorder_Uniformity,24
logarithm_glcm_Imc1,177
logarithm_glcm_Imc2,244
logarithm_glcm_Idn,150
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,238
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,154
wavelet.LLH_glcm_ClusterShade,122
wavelet.LLH_glcm_MaximumProbability,172
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,188
wavelet.LHL_firstorder_Kurtosis,236
wavelet.LHL_firstorder_TotalEnergy,193
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,45
wavelet.LHH_glszm_SizeZoneNonUniformity,127
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,178
wavelet.HLL_firstorder_90Percentile,174
wavelet.HLL_firstorder_Kurtosis,233
wavelet.HLL_firstorder_Maximum,22
wavelet.HLL_glszm_LargeAreaEmphasis,190
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,34
wavelet.HHL_glcm_Idmn,179
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,89
wavelet.HHH_glcm_Correlation,138
wavelet.HHH_glcm_Idmn,29
wavelet.HHH_glszm_GrayLevelNonUniformity,19
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,106
gradient_firstorder_InterquartileRange,119
gradient_firstorder_Minimum,105
gradient_glcm_Imc1,31
lbp.3D.m1_glcm_DifferenceVariance,232
lbp.3D.m2_firstorder_Median,128
lbp.3D.m2_glcm_MaximumProbability,161
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,103
log.sigma.3.0.mm.3D_glcm_InverseVariance,40
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,121
wavelet.LHH_glcm_Imc2,36
wavelet.HLH_firstorder_Mean,126
gradient_glcm_ClusterShade,13
lbp.3D.m1_glcm_Correlation,74
original_glrlm_LowGrayLevelRunEmphasis,72
log.sigma.4.0.mm.3D_glcm_ClusterProminence,91
wavelet.LHL_glcm_Idmn,64
wavelet.LHL_gldm_DependenceEntropy,15
wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation,38
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,52
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,159
original_firstorder_10Percentile,148
log.sigma.3.0.mm.3D_glcm_MaximumProbability,110
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,15
gradient_glcm_Correlation,47
wavelet.LHL_firstorder_InterquartileRange,26
wavelet.HLL_firstorder_Energy,51
wavelet.HLL_glszm_GrayLevelVariance,15
lbp.3D.k_gldm_DependenceEntropy,9
log.sigma.2.0.mm.3D_glcm_Idmn,61
wavelet.LLH_glcm_Idmn,4
wavelet.LHH_firstorder_Range,15
wavelet.LLL_firstorder_InterquartileRange,113
log.sigma.2.0.mm.3D_glcm_Autocorrelation,27
wavelet.HHL_glcm_Imc1,30
wavelet.LLH_firstorder_MeanAbsoluteDeviation,5
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,3
wavelet.LLH_glcm_JointAverage,1
log.sigma.2.0.mm.3D_firstorder_Mean,5
lbp.3D.m1_firstorder_Range,3
logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,3
lbp.3D.k_glcm_Imc2,4
wavelet.HLH_glcm_Idmn,4
gradient_glcm_Contrast,2
logarithm_gldm_GrayLevelNonUniformity,2
wavelet.HLL_glcm_Idn,3
lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized,1
iter,250
