f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,243
original_firstorder_Maximum,233
original_glcm_ClusterShade,250
log.sigma.2.0.mm.3D_firstorder_Kurtosis,85
log.sigma.2.0.mm.3D_firstorder_Median,230
log.sigma.2.0.mm.3D_glcm_JointEnergy,217
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,103
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,199
log.sigma.3.0.mm.3D_firstorder_Skewness,197
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,154
log.sigma.4.0.mm.3D_firstorder_Median,40
log.sigma.4.0.mm.3D_firstorder_Skewness,186
log.sigma.4.0.mm.3D_glcm_MaximumProbability,220
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,86
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,224
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,88
wavelet.LLH_firstorder_Mean,241
wavelet.LLH_firstorder_Median,237
wavelet.LLH_firstorder_Skewness,27
wavelet.LLH_glcm_ClusterShade,241
wavelet.LLH_glcm_InverseVariance,162
wavelet.LHL_firstorder_Mean,246
wavelet.LHL_firstorder_Median,248
wavelet.LHL_glcm_Correlation,105
wavelet.LHL_glcm_JointEnergy,248
wavelet.LHL_glrlm_LongRunEmphasis,84
wavelet.LHL_glszm_ZoneVariance,86
wavelet.LHH_firstorder_90Percentile,248
wavelet.LHH_firstorder_Median,236
wavelet.LHH_firstorder_Skewness,139
wavelet.LHH_glcm_InverseVariance,248
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,171
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,246
wavelet.LHH_glszm_SmallAreaEmphasis,121
wavelet.HLL_firstorder_10Percentile,106
wavelet.HLL_firstorder_90Percentile,133
wavelet.HLL_firstorder_Mean,231
wavelet.HLL_firstorder_Median,131
wavelet.HLL_glcm_ClusterProminence,145
wavelet.HLL_glcm_Imc2,243
wavelet.HLL_glcm_InverseVariance,141
wavelet.HLL_glcm_MaximumProbability,188
wavelet.HLH_firstorder_Mean,196
wavelet.HLH_firstorder_Median,218
wavelet.HLH_firstorder_Skewness,248
wavelet.HLH_glcm_ClusterProminence,223
wavelet.HLH_glcm_ClusterShade,247
wavelet.HLH_glcm_JointEnergy,227
wavelet.HLH_glcm_Imc2,170
wavelet.HLH_glszm_SizeZoneNonUniformity,35
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,227
wavelet.HHL_firstorder_Mean,247
wavelet.HHL_firstorder_Median,228
wavelet.HHL_firstorder_Skewness,218
wavelet.HHL_glcm_ClusterProminence,170
wavelet.HHL_glcm_ClusterShade,241
wavelet.HHL_glcm_Contrast,117
wavelet.HHL_glcm_Correlation,65
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,249
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,248
wavelet.HHH_firstorder_Energy,165
wavelet.HHH_firstorder_Kurtosis,194
wavelet.HHH_firstorder_Median,59
wavelet.HHH_firstorder_Skewness,248
wavelet.HHH_glcm_ClusterShade,248
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,221
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,250
wavelet.HHH_glszm_SmallAreaEmphasis,250
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,67
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,171
wavelet.LLL_firstorder_10Percentile,210
wavelet.LLL_glcm_Imc2,243
gradient_glszm_LargeAreaHighGrayLevelEmphasis,123
gradient_glszm_LargeAreaLowGrayLevelEmphasis,227
lbp.3D.m1_firstorder_Skewness,250
lbp.3D.m1_glcm_JointAverage,114
lbp.3D.m1_glcm_ClusterShade,250
lbp.3D.m1_glcm_Correlation,243
lbp.3D.m2_firstorder_90Percentile,221
lbp.3D.m2_firstorder_RootMeanSquared,241
lbp.3D.m2_firstorder_Skewness,250
lbp.3D.m2_glcm_ClusterProminence,250
lbp.3D.m2_glcm_ClusterShade,242
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,166
lbp.3D.k_firstorder_10Percentile,206
lbp.3D.k_glcm_ClusterShade,232
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,215
logarithm_firstorder_Skewness,187
logarithm_firstorder_Uniformity,198
logarithm_glcm_Imc1,145
logarithm_glcm_Imc2,210
logarithm_glszm_LargeAreaEmphasis,31
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,213
logarithm_gldm_DependenceVariance,207
log.sigma.2.0.mm.3D_firstorder_90Percentile,153
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,149
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,133
log.sigma.4.0.mm.3D_firstorder_90Percentile,174
log.sigma.4.0.mm.3D_glrlm_ShortRunEmphasis,130
wavelet.LLH_glcm_Correlation,234
wavelet.LHH_firstorder_Kurtosis,69
wavelet.LHH_gldm_DependenceNonUniformityNormalized,141
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,63
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,106
wavelet.HLH_firstorder_Kurtosis,135
wavelet.HHL_glszm_SmallAreaEmphasis,121
wavelet.HHH_glcm_Contrast,187
wavelet.HHH_glcm_Idmn,145
lbp.3D.k_firstorder_Kurtosis,141
logarithm_glcm_Autocorrelation,128
original_glszm_LargeAreaHighGrayLevelEmphasis,31
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,93
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,69
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,33
wavelet.LHH_glcm_Correlation,137
wavelet.HLH_glszm_ZoneVariance,45
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,11
gradient_firstorder_10Percentile,31
lbp.3D.m1_firstorder_Mean,172
lbp.3D.k_firstorder_Variance,148
wavelet.HHH_firstorder_Mean,42
gradient_glszm_SmallAreaLowGrayLevelEmphasis,14
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,12
log.sigma.4.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis,56
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,83
wavelet.LHH_glcm_ClusterShade,42
wavelet.HLL_firstorder_Range,53
wavelet.HLL_firstorder_Skewness,22
wavelet.HLL_glcm_ClusterTendency,81
wavelet.HHL_gldm_DependenceVariance,41
logarithm_firstorder_Minimum,133
wavelet.LHL_firstorder_Skewness,16
wavelet.LHH_gldm_LowGrayLevelEmphasis,22
wavelet.HLH_glcm_Correlation,74
wavelet.HHL_firstorder_Kurtosis,16
