f,count
original_shape_MajorAxisLength,9
original_shape_Sphericity,55
original_glcm_Correlation,47
log.sigma.2.0.mm.3D_glcm_Correlation,231
log.sigma.2.0.mm.3D_gldm_DependenceVariance,15
log.sigma.3.0.mm.3D_firstorder_90Percentile,92
log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformity,67
log.sigma.4.0.mm.3D_glcm_JointEntropy,36
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,125
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,87
wavelet.LLH_glcm_Correlation,113
wavelet.LHL_firstorder_MeanAbsoluteDeviation,69
wavelet.LHL_firstorder_Skewness,29
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,149
wavelet.LHH_firstorder_Median,144
wavelet.LHH_glcm_ClusterShade,165
wavelet.LHH_glszm_GrayLevelNonUniformityNormalized,31
wavelet.LHH_glszm_GrayLevelVariance,132
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,42
wavelet.HLL_glcm_Correlation,47
wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis,32
wavelet.HLH_firstorder_Mean,127
wavelet.HLH_firstorder_Median,104
wavelet.HLH_glcm_ClusterShade,99
wavelet.HLH_glcm_MaximumProbability,78
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,161
wavelet.HHL_firstorder_Kurtosis,73
wavelet.HHL_firstorder_Skewness,178
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,47
wavelet.HHH_firstorder_Kurtosis,166
wavelet.HHH_firstorder_Mean,123
wavelet.HHH_firstorder_Median,161
wavelet.HHH_glcm_ClusterShade,200
wavelet.HHH_glcm_Correlation,16
wavelet.HHH_glcm_Imc1,148
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,99
wavelet.HHH_glszm_SmallAreaEmphasis,110
wavelet.LLL_firstorder_10Percentile,155
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,94
gradient_firstorder_Kurtosis,96
gradient_glszm_GrayLevelNonUniformityNormalized,34
lbp.3D.m1_glcm_MaximumProbability,89
lbp.3D.m2_firstorder_90Percentile,217
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,73
lbp.3D.m2_firstorder_RootMeanSquared,215
lbp.3D.m2_glrlm_ShortRunEmphasis,142
lbp.3D.k_firstorder_Kurtosis,91
lbp.3D.k_glcm_ClusterProminence,109
lbp.3D.k_glcm_Imc2,66
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,35
lbp.3D.k_glszm_SmallAreaEmphasis,115
lbp.3D.k_glszm_ZoneEntropy,27
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,59
logarithm_glcm_Imc1,171
original_shape_Flatness,239
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,48
log.sigma.3.0.mm.3D_firstorder_InterquartileRange,49
wavelet.LLH_firstorder_Kurtosis,44
wavelet.LLH_glcm_ClusterTendency,90
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,119
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,56
wavelet.LHL_firstorder_Energy,47
wavelet.LHH_firstorder_Skewness,129
