f,count
wavelet.LLL_glcm_Autocorrelation,250
wavelet.HHH_firstorder_Kurtosis,250
wavelet.HHH_glcm_Idmn,250
original_gldm_LargeDependenceHighGrayLevelEmphasis,243
wavelet.HLL_firstorder_90Percentile,233
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,215
wavelet.HHH_glcm_Correlation,247
original_glcm_ClusterProminence,248
log.sigma.4.0.mm.3D_firstorder_Maximum,248
wavelet.HHL_glcm_Correlation,230
original_shape_Elongation,247
wavelet.HHH_firstorder_Skewness,250
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,241
wavelet.HHL_firstorder_Median,204
original_glszm_ZoneVariance,202
wavelet.HHH_glcm_Imc2,132
gradient_firstorder_Range,217
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,250
wavelet.HLH_glcm_Correlation,227
wavelet.HLL_glcm_Idmn,241
wavelet.LHL_glszm_ZoneEntropy,236
wavelet.LHL_glcm_Correlation,228
lbp.3D.m2_firstorder_Skewness,234
wavelet.LHL_firstorder_RootMeanSquared,187
wavelet.HLH_gldm_LowGrayLevelEmphasis,210
logarithm_glszm_ZoneEntropy,155
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,202
original_firstorder_Kurtosis,155
original_shape_Flatness,190
wavelet.LLH_firstorder_Skewness,192
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,171
wavelet.LLH_glcm_Idmn,232
lbp.3D.k_glszm_SmallAreaEmphasis,205
wavelet.LHL_firstorder_Skewness,155
wavelet.LHL_gldm_DependenceEntropy,153
wavelet.HLH_glcm_Idmn,111
wavelet.HHL_firstorder_Mean,38
lbp.3D.k_firstorder_10Percentile,168
log.sigma.3.0.mm.3D_glcm_Correlation,167
gradient_gldm_DependenceEntropy,96
lbp.3D.k_glcm_Contrast,120
wavelet.HLH_firstorder_Kurtosis,182
wavelet.HLH_firstorder_Skewness,153
wavelet.HLL_firstorder_Kurtosis,172
logarithm_firstorder_Kurtosis,110
wavelet.HHL_glcm_Idmn,216
original_glcm_Correlation,218
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,117
wavelet.HLL_glcm_Correlation,124
wavelet.HHL_glszm_SmallAreaEmphasis,114
wavelet.LHH_firstorder_Skewness,83
gradient_firstorder_Minimum,145
lbp.3D.k_glcm_Correlation,157
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,131
log.sigma.4.0.mm.3D_glcm_JointEntropy,44
logarithm_glcm_Imc2,191
wavelet.HHH_firstorder_Median,115
wavelet.LHH_glcm_ClusterShade,85
logarithm_glszm_SizeZoneNonUniformityNormalized,31
wavelet.LLH_firstorder_Kurtosis,193
gradient_firstorder_Kurtosis,163
wavelet.LLH_glcm_Correlation,35
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,159
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,133
wavelet.HLL_glcm_Imc1,127
wavelet.HHL_firstorder_Kurtosis,65
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,113
wavelet.HHH_glszm_SmallAreaEmphasis,130
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,46
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,106
logarithm_glszm_GrayLevelNonUniformityNormalized,8
wavelet.HHH_glcm_ClusterShade,71
log.sigma.3.0.mm.3D_firstorder_Kurtosis,61
logarithm_glcm_Idn,90
wavelet.LHH_glszm_ZoneEntropy,6
lbp.3D.m2_firstorder_Maximum,19
log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,31
logarithm_glcm_Imc1,67
wavelet.LHH_firstorder_Median,42
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,148
wavelet.LLH_gldm_DependenceEntropy,11
lbp.3D.k_firstorder_Range,126
lbp.3D.k_glszm_GrayLevelVariance,117
wavelet.HLL_glszm_LargeAreaEmphasis,33
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,94
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,46
wavelet.LLL_glcm_MaximumProbability,86
log.sigma.4.0.mm.3D_firstorder_InterquartileRange,2
wavelet.HHL_firstorder_Skewness,43
gradient_glszm_GrayLevelNonUniformityNormalized,24
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,39
log.sigma.4.0.mm.3D_gldm_DependenceVariance,18
wavelet.LHH_firstorder_Mean,56
gradient_firstorder_RobustMeanAbsoluteDeviation,21
wavelet.HHL_glcm_Imc1,37
wavelet.LLH_firstorder_90Percentile,5
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,4
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,18
wavelet.LHH_glcm_Imc1,10
wavelet.LLH_firstorder_Median,4
wavelet.HLH_glcm_MaximumProbability,27
wavelet.HLH_firstorder_Median,14
log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,19
lbp.3D.k_glcm_Imc1,22
wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis,12
wavelet.LHL_firstorder_90Percentile,53
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,4
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,4
lbp.3D.m2_gldm_SmallDependenceEmphasis,9
wavelet.LHL_firstorder_Kurtosis,16
lbp.3D.m2_firstorder_Kurtosis,15
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,7
log.sigma.4.0.mm.3D_glcm_ClusterShade,12
lbp.3D.k_glcm_Idn,2
lbp.3D.k_firstorder_Kurtosis,1
wavelet.LHH_glcm_Correlation,30
wavelet.LHH_firstorder_TotalEnergy,5
original_gldm_SmallDependenceLowGrayLevelEmphasis,8
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,14
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,4
original_firstorder_10Percentile,2
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,5
lbp.3D.m1_glcm_ClusterShade,1
wavelet.HLL_glcm_MaximumProbability,6
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,5
gradient_glcm_ClusterProminence,5
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,3
log.sigma.2.0.mm.3D_firstorder_Skewness,1
gradient_glcm_Idmn,6
wavelet.HHH_firstorder_Mean,6
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,5
logarithm_firstorder_Minimum,2
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,3
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,15
wavelet.HLH_glcm_Imc1,5
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,1
logarithm_glcm_MaximumProbability,1
wavelet.HLL_glszm_ZoneEntropy,2
lbp.3D.m2_glrlm_GrayLevelVariance,4
logarithm_firstorder_Mean,4
lbp.3D.m2_firstorder_InterquartileRange,1
wavelet.LHL_glcm_Imc2,3
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.HLL_firstorder_Maximum,1
lbp.3D.m1_glszm_LargeAreaEmphasis,1
wavelet.LHL_firstorder_TotalEnergy,1
log.sigma.3.0.mm.3D_firstorder_90Percentile,1
iter,250
