f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,248
original_glrlm_LowGrayLevelRunEmphasis,233
original_gldm_LargeDependenceHighGrayLevelEmphasis,248
log.sigma.2.0.mm.3D_glcm_Correlation,217
log.sigma.3.0.mm.3D_firstorder_Skewness,96
log.sigma.3.0.mm.3D_glcm_ClusterShade,97
log.sigma.3.0.mm.3D_gldm_DependenceVariance,11
log.sigma.4.0.mm.3D_glcm_Correlation,173
log.sigma.4.0.mm.3D_glcm_Imc1,75
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,60
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,31
wavelet.LLH_firstorder_Kurtosis,172
wavelet.LLH_firstorder_Median,197
wavelet.LLH_firstorder_Skewness,240
wavelet.LLH_glcm_Correlation,250
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,243
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,131
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,200
wavelet.LLH_gldm_DependenceEntropy,242
wavelet.LHL_firstorder_Kurtosis,139
wavelet.LHL_firstorder_Minimum,81
wavelet.LHL_firstorder_Skewness,239
wavelet.LHL_glcm_Correlation,143
wavelet.LHL_glcm_DifferenceVariance,204
wavelet.LHL_gldm_DependenceEntropy,180
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,25
wavelet.LHH_firstorder_Mean,228
wavelet.LHH_firstorder_Median,238
wavelet.LHH_firstorder_Skewness,229
wavelet.LHH_glcm_ClusterProminence,74
wavelet.LHH_glcm_Imc1,135
wavelet.LHH_glcm_InverseVariance,5
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,62
wavelet.LHH_gldm_DependenceNonUniformityNormalized,143
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,103
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,223
wavelet.HLL_firstorder_Mean,92
wavelet.HLL_firstorder_Skewness,250
wavelet.HLL_glcm_Correlation,181
wavelet.HLL_glcm_Imc1,146
wavelet.HLL_glcm_Idmn,36
wavelet.HLL_glcm_MaximumProbability,122
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,238
wavelet.HLL_glszm_ZoneEntropy,73
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,96
wavelet.HLH_firstorder_Kurtosis,183
wavelet.HLH_firstorder_Mean,225
wavelet.HLH_firstorder_Median,243
wavelet.HLH_firstorder_Skewness,232
wavelet.HLH_glcm_ClusterProminence,202
wavelet.HLH_glcm_ClusterShade,222
wavelet.HLH_glcm_Imc2,119
wavelet.HLH_glcm_Idmn,74
wavelet.HLH_glrlm_LongRunEmphasis,47
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,48
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,194
wavelet.HLH_glszm_ZoneEntropy,152
wavelet.HHL_firstorder_Kurtosis,202
wavelet.HHL_firstorder_Mean,170
wavelet.HHL_firstorder_Median,236
wavelet.HHL_firstorder_Skewness,246
wavelet.HHL_glcm_ClusterProminence,121
wavelet.HHL_glcm_ClusterShade,236
wavelet.HHL_glcm_Correlation,193
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,245
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,98
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,250
wavelet.HHL_glszm_ZoneVariance,187
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,81
wavelet.HHH_firstorder_Kurtosis,247
wavelet.HHH_firstorder_Mean,238
wavelet.HHH_firstorder_Median,210
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterProminence,127
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_Correlation,248
wavelet.HHH_glcm_Imc2,70
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,169
wavelet.HHH_glszm_SmallAreaEmphasis,156
wavelet.HHH_gldm_DependenceNonUniformityNormalized,210
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,216
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,226
wavelet.LLL_firstorder_Minimum,226
wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis,226
wavelet.LLL_glszm_ZoneVariance,120
gradient_firstorder_Kurtosis,94
gradient_glcm_Imc2,250
gradient_glszm_LargeAreaLowGrayLevelEmphasis,125
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,77
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,217
lbp.3D.m1_glcm_ClusterShade,250
lbp.3D.m1_glszm_LargeAreaEmphasis,171
lbp.3D.m2_firstorder_90Percentile,210
lbp.3D.m2_firstorder_Kurtosis,236
lbp.3D.m2_firstorder_Maximum,118
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,234
lbp.3D.m2_glcm_ClusterShade,250
lbp.3D.m2_glcm_Imc2,206
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,120
lbp.3D.k_firstorder_10Percentile,204
lbp.3D.k_glcm_ClusterShade,75
lbp.3D.k_glcm_Correlation,209
lbp.3D.k_glcm_Imc1,180
lbp.3D.k_glcm_Idn,137
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,201
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,226
lbp.3D.k_glszm_SmallAreaEmphasis,180
lbp.3D.k_gldm_LargeDependenceEmphasis,250
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,207
lbp.3D.k_gldm_SmallDependenceHighGrayLevelEmphasis,250
logarithm_glrlm_LongRunHighGrayLevelEmphasis,198
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,243
logarithm_glszm_SizeZoneNonUniformityNormalized,223
original_shape_MajorAxisLength,193
log.sigma.4.0.mm.3D_firstorder_90Percentile,238
wavelet.LLH_firstorder_Mean,140
wavelet.LHL_glszm_LargeAreaEmphasis,90
wavelet.LHL_glszm_ZoneEntropy,222
wavelet.LHH_glcm_Correlation,62
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,27
wavelet.HLL_firstorder_90Percentile,90
wavelet.HLL_firstorder_Kurtosis,163
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,234
wavelet.HLH_glszm_ZoneVariance,150
wavelet.HLH_gldm_LowGrayLevelEmphasis,131
wavelet.HHL_glrlm_LongRunEmphasis,221
wavelet.HHL_glszm_SmallAreaEmphasis,98
wavelet.HHL_glszm_ZoneEntropy,15
wavelet.HHL_gldm_HighGrayLevelEmphasis,11
wavelet.HHH_firstorder_TotalEnergy,65
gradient_firstorder_Minimum,22
gradient_glcm_Idmn,8
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,76
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,197
