f,count
original_shape_Elongation,87
original_shape_Flatness,161
original_shape_Sphericity,102
original_glrlm_LowGrayLevelRunEmphasis,126
log.sigma.4.0.mm.3D_glcm_Correlation,58
log.sigma.4.0.mm.3D_glcm_JointEntropy,58
wavelet.LLH_firstorder_Skewness,82
wavelet.LLH_glcm_Correlation,123
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,52
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,53
wavelet.LHL_firstorder_RootMeanSquared,97
wavelet.LHL_glcm_Correlation,24
wavelet.LHL_glcm_DifferenceVariance,97
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,16
wavelet.LHH_firstorder_Skewness,211
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,152
wavelet.HLL_firstorder_Skewness,215
wavelet.HLL_glcm_Correlation,24
wavelet.HLL_glcm_MaximumProbability,29
wavelet.HLL_glszm_GrayLevelVariance,51
wavelet.HLH_firstorder_Kurtosis,94
wavelet.HLH_firstorder_Mean,95
wavelet.HLH_firstorder_Skewness,30
wavelet.HLH_glcm_ClusterShade,90
wavelet.HHL_firstorder_Skewness,200
wavelet.HHL_glszm_ZoneEntropy,49
wavelet.HHL_gldm_HighGrayLevelEmphasis,61
wavelet.HHH_firstorder_Mean,91
wavelet.HHH_glcm_ClusterShade,170
wavelet.HHH_gldm_DependenceNonUniformityNormalized,51
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,100
wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis,40
gradient_firstorder_Kurtosis,53
gradient_glcm_Imc2,225
gradient_glszm_LargeAreaLowGrayLevelEmphasis,87
gradient_glszm_ZoneEntropy,46
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,15
lbp.3D.m1_glcm_ClusterShade,56
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,56
lbp.3D.m2_firstorder_90Percentile,55
lbp.3D.m2_firstorder_Maximum,122
lbp.3D.m2_glcm_ClusterShade,227
lbp.3D.m2_gldm_HighGrayLevelEmphasis,192
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,208
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,116
logarithm_glcm_ClusterTendency,84
logarithm_glrlm_LongRunHighGrayLevelEmphasis,24
original_gldm_LargeDependenceHighGrayLevelEmphasis,99
log.sigma.2.0.mm.3D_glcm_Correlation,132
log.sigma.3.0.mm.3D_glcm_ClusterShade,39
log.sigma.4.0.mm.3D_firstorder_Kurtosis,40
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,100
wavelet.LHL_firstorder_90Percentile,38
wavelet.LHL_firstorder_Minimum,23
wavelet.LHL_glrlm_RunVariance,65
wavelet.LHL_glszm_LargeAreaEmphasis,39
wavelet.LHL_gldm_DependenceEntropy,73
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,54
wavelet.LHH_glcm_Correlation,44
wavelet.HLL_firstorder_90Percentile,50
wavelet.HLL_firstorder_Kurtosis,69
wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis,52
wavelet.HLH_firstorder_Median,76
wavelet.HLH_glcm_Imc2,69
wavelet.HLH_glszm_ZoneEntropy,64
wavelet.HHL_firstorder_Kurtosis,141
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,207
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,83
wavelet.HHH_firstorder_Median,153
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,50
gradient_gldm_DependenceEntropy,36
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,21
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,178
lbp.3D.m2_glcm_Imc2,45
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,74
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,79
