f,count
original_shape_Flatness,105
original_shape_SurfaceVolumeRatio,91
original_firstorder_10Percentile,80
original_firstorder_Minimum,53
original_firstorder_Skewness,18
original_glrlm_ShortRunLowGrayLevelEmphasis,33
original_glszm_LargeAreaLowGrayLevelEmphasis,110
log.sigma.2.0.mm.3D_glcm_Correlation,37
log.sigma.2.0.mm.3D_glcm_Imc2,45
log.sigma.4.0.mm.3D_firstorder_10Percentile,47
log.sigma.4.0.mm.3D_glcm_ClusterShade,53
wavelet.LLH_firstorder_10Percentile,19
wavelet.LLH_firstorder_Median,25
wavelet.LLH_glcm_Correlation,48
wavelet.LLH_glcm_Idn,16
wavelet.LLH_glszm_LargeAreaEmphasis,45
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,28
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,80
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,22
wavelet.LHL_firstorder_Kurtosis,52
wavelet.LHL_firstorder_Maximum,41
wavelet.LHL_firstorder_Skewness,57
wavelet.LHL_glcm_ClusterProminence,116
wavelet.LHL_glcm_Correlation,94
wavelet.LHL_glcm_Imc1,35
wavelet.LHL_glszm_GrayLevelVariance,117
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,88
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,41
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,36
wavelet.LHL_glszm_ZoneEntropy,37
wavelet.LHH_firstorder_Median,59
wavelet.LHH_firstorder_Skewness,91
wavelet.LHH_glcm_ClusterProminence,57
wavelet.LHH_glcm_Imc1,21
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,96
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,26
wavelet.HLL_firstorder_Kurtosis,55
wavelet.HLL_firstorder_Mean,90
wavelet.HLL_firstorder_Median,74
wavelet.HLL_glcm_ClusterTendency,33
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,38
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,47
wavelet.HLH_firstorder_Mean,37
wavelet.HLH_firstorder_Skewness,35
wavelet.HLH_glcm_ClusterShade,97
wavelet.HLH_glcm_Imc1,20
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,67
wavelet.HLH_glszm_ZoneVariance,19
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,81
wavelet.HHL_firstorder_Mean,52
wavelet.HHH_firstorder_Median,108
wavelet.HHH_firstorder_Skewness,114
wavelet.HHH_glcm_ClusterShade,107
wavelet.HHH_glcm_Idn,9
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,71
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,88
wavelet.LLL_firstorder_Kurtosis,31
wavelet.LLL_glcm_Idmn,28
gradient_firstorder_10Percentile,23
gradient_glcm_Correlation,45
lbp.3D.m1_firstorder_90Percentile,32
lbp.3D.m1_firstorder_Maximum,11
lbp.3D.m1_firstorder_RootMeanSquared,32
lbp.3D.m1_glcm_ClusterShade,80
lbp.3D.m1_glcm_JointEnergy,78
lbp.3D.m2_firstorder_90Percentile,102
lbp.3D.m2_firstorder_Kurtosis,27
lbp.3D.m2_firstorder_RootMeanSquared,111
lbp.3D.m2_firstorder_Uniformity,45
lbp.3D.m2_glrlm_GrayLevelVariance,93
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,83
lbp.3D.k_glcm_Correlation,16
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,14
logarithm_firstorder_RootMeanSquared,99
logarithm_gldm_GrayLevelVariance,93
original_glcm_ClusterTendency,70
original_glcm_Imc2,46
log.sigma.2.0.mm.3D_glcm_DifferenceVariance,48
log.sigma.2.0.mm.3D_glcm_Idn,16
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,28
wavelet.LLH_firstorder_Kurtosis,45
wavelet.LLH_firstorder_Mean,36
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,30
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,13
wavelet.LHL_glszm_ZoneVariance,63
wavelet.LHH_firstorder_Kurtosis,70
wavelet.LHH_firstorder_Mean,68
wavelet.LHH_firstorder_Minimum,37
wavelet.LHH_glcm_Correlation,17
wavelet.LHH_glcm_Idmn,21
wavelet.LHH_glszm_LargeAreaEmphasis,50
wavelet.HLL_glcm_Correlation,59
wavelet.HLH_glcm_Correlation,35
wavelet.HLH_glcm_Idmn,47
wavelet.HLH_glcm_MaximumProbability,26
wavelet.HLH_glszm_GrayLevelNonUniformity,33
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,32
wavelet.HHL_glcm_Correlation,75
wavelet.HHH_gldm_DependenceVariance,14
lbp.3D.m1_firstorder_Skewness,65
lbp.3D.m1_glcm_Correlation,39
lbp.3D.m1_glcm_Imc2,35
lbp.3D.m1_glszm_ZoneEntropy,38
lbp.3D.m1_glszm_ZoneVariance,26
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,62
lbp.3D.k_firstorder_10Percentile,54
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,67
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,97
logarithm_firstorder_InterquartileRange,16
logarithm_glcm_DifferenceVariance,57
logarithm_glszm_GrayLevelNonUniformityNormalized,41
log.sigma.2.0.mm.3D_firstorder_Kurtosis,45
log.sigma.2.0.mm.3D_glcm_ClusterShade,33
log.sigma.2.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,24
wavelet.LHH_gldm_GrayLevelVariance,41
wavelet.HLL_firstorder_InterquartileRange,30
wavelet.HLL_firstorder_Skewness,61
wavelet.HLL_glcm_JointEnergy,44
wavelet.HLL_glcm_Imc2,11
wavelet.HLH_firstorder_Kurtosis,43
wavelet.HLH_glcm_DifferenceVariance,49
wavelet.HHL_firstorder_Median,55
wavelet.HHH_firstorder_Kurtosis,90
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,57
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,35
gradient_glrlm_LongRunLowGrayLevelEmphasis,15
gradient_glszm_LargeAreaEmphasis,18
lbp.3D.m2_gldm_LargeDependenceEmphasis,38
lbp.3D.k_firstorder_Range,85
lbp.3D.k_glcm_InverseVariance,27
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,40
lbp.3D.k_gldm_DependenceVariance,34
logarithm_glcm_Correlation,25
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,6
log.sigma.2.0.mm.3D_glcm_Imc1,31
wavelet.LLH_firstorder_TotalEnergy,40
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,18
wavelet.LHL_firstorder_TotalEnergy,37
