f,count
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,110
wavelet.HLH_glcm_Correlation,178
wavelet.LHL_firstorder_Skewness,18
wavelet.LLL_firstorder_InterquartileRange,5
log.sigma.3.0.mm.3D_glcm_MaximumProbability,81
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,5
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,121
wavelet.HHL_firstorder_Median,16
wavelet.HHH_glcm_Idmn,32
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.LLH_glcm_Idmn,13
log.sigma.2.0.mm.3D_glcm_Idmn,9
logarithm_glrlm_LongRunHighGrayLevelEmphasis,7
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,28
wavelet.LLH_glcm_JointAverage,13
wavelet.HLH_firstorder_10Percentile,35
log.sigma.3.0.mm.3D_glcm_Idm,6
gradient_glcm_ClusterShade,18
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,23
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,25
logarithm_firstorder_RootMeanSquared,3
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,15
logarithm_glcm_Idn,1
original_glcm_Correlation,15
log.sigma.2.0.mm.3D_glcm_Imc2,1
wavelet.HHH_firstorder_Kurtosis,12
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,3
log.sigma.2.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis,15
lbp.3D.m1_firstorder_90Percentile,2
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,1
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,25
wavelet.HHH_glcm_Correlation,27
wavelet.HHH_glcm_Imc1,16
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,1
gradient_glcm_Idmn,7
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,5
log.sigma.4.0.mm.3D_glcm_ClusterProminence,7
wavelet.HLL_firstorder_Maximum,1
wavelet.LHL_firstorder_TotalEnergy,9
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,2
wavelet.HHH_firstorder_Skewness,1
wavelet.LHL_firstorder_90Percentile,3
lbp.3D.m2_firstorder_Maximum,2
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HHL_glszm_SizeZoneNonUniformityNormalized,1
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HLL_firstorder_Kurtosis,4
log.sigma.2.0.mm.3D_firstorder_Kurtosis,1
wavelet.HHL_glcm_ClusterShade,2
wavelet.HHL_glcm_Idmn,2
wavelet.HLL_glcm_Idn,1
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,1
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,4
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,1
lbp.3D.m2_firstorder_Range,1
wavelet.HLH_glcm_Idmn,1
gradient_glcm_Contrast,1
lbp.3D.k_firstorder_Minimum,1
wavelet.LHL_glcm_Correlation,1
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,3
wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis,1
gradient_firstorder_Skewness,1
log.sigma.2.0.mm.3D_glcm_ClusterShade,1
wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation,1
log.sigma.4.0.mm.3D_glcm_Idn,1
iter,250
