f,count
original_gldm_SmallDependenceLowGrayLevelEmphasis,199
wavelet.HLH_glszm_ZoneVariance,7
log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,114
wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis,21
wavelet.LHL_glcm_Idmn,17
log.sigma.2.0.mm.3D_firstorder_Kurtosis,33
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,6
wavelet.HLL_firstorder_RootMeanSquared,27
wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis,22
original_firstorder_Maximum,68
wavelet.LHL_glcm_InverseVariance,1
wavelet.HLL_firstorder_10Percentile,70
gradient_glszm_LargeAreaLowGrayLevelEmphasis,93
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,30
wavelet.HLL_firstorder_Mean,6
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,2
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,39
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,18
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.LHH_glcm_Idmn,20
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,20
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,22
gradient_glcm_Idn,7
lbp.3D.k_glcm_SumSquares,2
log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,4
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,10
log.sigma.3.0.mm.3D_glrlm_RunLengthNonUniformityNormalized,4
log.sigma.3.0.mm.3D_glcm_Idmn,7
log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,3
wavelet.HLL_glcm_Idmn,11
gradient_firstorder_Minimum,9
gradient_firstorder_Kurtosis,6
original_glszm_LargeAreaLowGrayLevelEmphasis,53
wavelet.HLH_glcm_Idm,2
lbp.3D.m1_firstorder_Median,1
log.sigma.4.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,10
wavelet.HHH_glszm_SmallAreaEmphasis,1
wavelet.HLH_gldm_LowGrayLevelEmphasis,1
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,3
lbp.3D.k_gldm_SmallDependenceEmphasis,2
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,2
lbp.3D.m2_firstorder_Range,1
log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,1
wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis,1
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,3
wavelet.LLH_glcm_Idmn,4
wavelet.HHL_glcm_ClusterShade,1
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,1
wavelet.HLH_glcm_Idmn,1
wavelet.LHL_firstorder_Maximum,1
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.LHL_firstorder_MeanAbsoluteDeviation,1
log.sigma.4.0.mm.3D_glcm_Correlation,1
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.LLH_glcm_ClusterTendency,1
lbp.3D.m2_glcm_Imc2,1
wavelet.HHH_firstorder_Median,1
wavelet.LHL_glcm_ClusterProminence,1
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis,1
original_glszm_ZoneVariance,1
wavelet.HLL_glcm_Correlation,1
iter,250
