f,count
original_shape_SurfaceVolumeRatio,174
original_firstorder_10Percentile,137
original_firstorder_Minimum,30
original_gldm_LargeDependenceLowGrayLevelEmphasis,135
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,13
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,49
wavelet.LHL_glcm_ClusterProminence,214
wavelet.LHL_glcm_SumSquares,201
wavelet.LHH_firstorder_Skewness,11
wavelet.LHH_glcm_ClusterProminence,123
wavelet.LHH_glcm_Contrast,90
wavelet.LHH_glcm_Correlation,12
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,93
wavelet.HLL_firstorder_Skewness,66
wavelet.HLH_glcm_MaximumProbability,62
wavelet.HHH_firstorder_Mean,43
wavelet.HHH_glcm_ClusterShade,186
wavelet.HHH_glcm_Correlation,15
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,165
gradient_glcm_DifferenceVariance,4
lbp.3D.m1_firstorder_Skewness,54
lbp.3D.m1_glszm_ZoneVariance,3
logarithm_firstorder_RootMeanSquared,150
logarithm_glszm_LargeAreaEmphasis,31
original_glcm_ClusterTendency,66
log.sigma.2.0.mm.3D_firstorder_90Percentile,12
wavelet.LLH_firstorder_90Percentile,5
wavelet.LLH_glcm_ClusterShade,40
wavelet.LLH_glcm_Imc1,8
wavelet.LHL_firstorder_Kurtosis,74
wavelet.LHL_firstorder_Maximum,12
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,50
wavelet.LHH_gldm_HighGrayLevelEmphasis,21
wavelet.HLH_firstorder_Mean,55
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,9
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,65
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,38
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,19
gradient_glszm_LargeAreaEmphasis,21
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,29
lbp.3D.m2_firstorder_90Percentile,188
lbp.3D.m2_glrlm_GrayLevelVariance,134
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,21
lbp.3D.k_glcm_ClusterShade,30
wavelet.LLH_firstorder_InterquartileRange,32
wavelet.LHH_firstorder_Mean,7
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,41
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,40
wavelet.HLL_glcm_Correlation,43
wavelet.HHL_firstorder_Median,95
lbp.3D.m1_glcm_ClusterShade,123
lbp.3D.m1_glcm_Imc2,56
lbp.3D.m2_firstorder_RootMeanSquared,118
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,139
lbp.3D.k_firstorder_Range,27
lbp.3D.k_glcm_Imc1,31
lbp.3D.k_glcm_Idn,32
logarithm_firstorder_Variance,73
log.sigma.2.0.mm.3D_firstorder_Kurtosis,45
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,7
wavelet.LHL_glcm_Idmn,18
wavelet.HLH_glszm_LargeAreaEmphasis,26
wavelet.HHL_glcm_ClusterShade,39
wavelet.HHL_glcm_Imc1,14
gradient_firstorder_10Percentile,13
log.sigma.2.0.mm.3D_glcm_DifferenceVariance,31
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,10
wavelet.HLL_firstorder_90Percentile,61
wavelet.HLL_glcm_ClusterShade,24
wavelet.HHL_firstorder_Skewness,63
wavelet.HHH_firstorder_Kurtosis,15
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,12
lbp.3D.m1_glszm_ZoneEntropy,42
lbp.3D.m2_glcm_Imc2,8
log.sigma.2.0.mm.3D_glcm_MaximumProbability,9
log.sigma.4.0.mm.3D_glcm_ClusterShade,23
wavelet.LHL_firstorder_90Percentile,16
wavelet.LHH_firstorder_Kurtosis,24
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,34
wavelet.HLH_glcm_ClusterShade,21
wavelet.HHH_glszm_LargeAreaEmphasis,17
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,28
lbp.3D.m2_glcm_ClusterShade,66
original_glrlm_ShortRunLowGrayLevelEmphasis,34
log.sigma.4.0.mm.3D_firstorder_10Percentile,34
wavelet.HLL_firstorder_10Percentile,63
wavelet.HLL_firstorder_Mean,120
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,7
wavelet.HHL_firstorder_Mean,59
logarithm_firstorder_InterquartileRange,37
wavelet.LHL_glcm_JointAverage,7
