f,count
original_shape_Flatness,205
original_glcm_Imc1,18
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,143
wavelet.LLH_firstorder_Median,47
wavelet.LHL_firstorder_Mean,178
wavelet.LHL_firstorder_Median,88
wavelet.LHL_firstorder_Skewness,15
wavelet.HLL_firstorder_Mean,167
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,115
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,18
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,81
wavelet.HHL_firstorder_Median,91
wavelet.HHL_firstorder_Skewness,136
wavelet.HHH_firstorder_Energy,132
wavelet.HHH_firstorder_Median,166
wavelet.HHH_firstorder_Skewness,173
wavelet.HHH_glcm_ClusterShade,114
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glcm_Imc1,89
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,75
wavelet.HHH_glszm_SmallAreaEmphasis,169
gradient_firstorder_Kurtosis,75
lbp.3D.m1_glcm_Autocorrelation,131
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,18
lbp.3D.m2_firstorder_Median,246
lbp.3D.m2_firstorder_Range,161
lbp.3D.m2_glcm_ClusterShade,247
lbp.3D.m2_glcm_Imc2,46
lbp.3D.k_firstorder_Kurtosis,83
lbp.3D.k_glcm_ClusterShade,238
lbp.3D.k_glrlm_GrayLevelVariance,161
lbp.3D.k_glszm_SmallAreaEmphasis,97
original_shape_Sphericity,187
original_glcm_ClusterProminence,16
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,158
wavelet.HLH_firstorder_Median,52
wavelet.HLH_firstorder_Skewness,165
wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,6
wavelet.HHL_glcm_ClusterShade,160
lbp.3D.m1_glcm_ClusterShade,137
lbp.3D.m2_firstorder_90Percentile,81
logarithm_glcm_JointEnergy,164
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,8
wavelet.LLH_firstorder_Skewness,128
wavelet.LHL_glcm_Correlation,120
wavelet.HLL_glszm_LargeAreaEmphasis,139
lbp.3D.m1_firstorder_Skewness,85
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,88
original_firstorder_Maximum,17
wavelet.LHH_glcm_ClusterShade,128
wavelet.LHH_glcm_Correlation,11
