f,count
original_shape_Flatness,178
original_glcm_Correlation,47
original_glszm_LargeAreaEmphasis,95
original_glszm_LargeAreaLowGrayLevelEmphasis,125
log.sigma.2.0.mm.3D_glcm_Imc2,38
log.sigma.4.0.mm.3D_glcm_ClusterProminence,43
log.sigma.4.0.mm.3D_glcm_Idn,6
wavelet.LLH_firstorder_90Percentile,127
wavelet.LHL_firstorder_Kurtosis,136
wavelet.LHL_firstorder_Maximum,18
wavelet.LHL_glcm_ClusterShade,162
wavelet.LHL_glcm_Correlation,164
wavelet.LHH_firstorder_Skewness,166
wavelet.LHH_glcm_ClusterShade,242
wavelet.LHH_glcm_Correlation,122
wavelet.LHH_glszm_SizeZoneNonUniformity,43
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,147
wavelet.LHH_gldm_LowGrayLevelEmphasis,136
wavelet.HLL_glcm_Idn,7
wavelet.HLH_firstorder_Skewness,78
wavelet.HLH_glcm_ClusterProminence,212
wavelet.HLH_glcm_Correlation,24
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,140
wavelet.HHL_firstorder_Skewness,144
wavelet.HHL_glszm_SizeZoneNonUniformityNormalized,24
wavelet.HHH_firstorder_Mean,131
wavelet.HHH_firstorder_Median,213
wavelet.HHH_firstorder_Skewness,147
wavelet.HHH_glcm_ClusterShade,225
wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis,30
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,137
gradient_firstorder_Skewness,66
gradient_glcm_ClusterShade,7
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,42
lbp.3D.m2_firstorder_90Percentile,105
lbp.3D.m2_glcm_MaximumProbability,19
lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis,34
lbp.3D.k_firstorder_Kurtosis,181
lbp.3D.k_firstorder_Range,115
lbp.3D.k_glszm_GrayLevelVariance,103
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,129
logarithm_firstorder_RootMeanSquared,39
original_shape_Sphericity,196
original_glcm_Idmn,71
log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,22
log.sigma.3.0.mm.3D_firstorder_Kurtosis,59
log.sigma.3.0.mm.3D_glcm_Correlation,165
wavelet.LLH_glcm_MaximumProbability,114
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,18
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,70
wavelet.LHH_firstorder_10Percentile,84
wavelet.LHH_firstorder_Kurtosis,147
wavelet.LHH_glcm_Imc2,88
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,43
wavelet.HLL_firstorder_Skewness,128
wavelet.HHL_firstorder_Mean,36
wavelet.HHL_glcm_ClusterShade,81
wavelet.HHH_firstorder_Kurtosis,74
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,25
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,150
lbp.3D.m1_firstorder_90Percentile,94
lbp.3D.m1_glcm_Correlation,28
lbp.3D.m2_firstorder_Maximum,151
lbp.3D.m2_firstorder_Skewness,110
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,40
logarithm_glcm_Imc2,68
log.sigma.2.0.mm.3D_firstorder_Kurtosis,115
log.sigma.4.0.mm.3D_glcm_Correlation,68
wavelet.LLH_firstorder_MeanAbsoluteDeviation,22
wavelet.LLH_glcm_ClusterShade,14
wavelet.LLH_glcm_Idmn,37
wavelet.LLH_gldm_DependenceEntropy,33
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,88
wavelet.HLL_gldm_DependenceVariance,32
wavelet.HLH_glrlm_RunLengthNonUniformityNormalized,10
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,68
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,82
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,6
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,55
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,44
lbp.3D.m2_firstorder_Range,127
lbp.3D.m2_glcm_DifferenceVariance,38
lbp.3D.m2_glrlm_RunPercentage,102
lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation,82
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,76
original_shape_SurfaceVolumeRatio,69
log.sigma.3.0.mm.3D_firstorder_Skewness,16
wavelet.LHL_firstorder_Median,63
wavelet.LHL_glcm_Contrast,63
wavelet.HLL_firstorder_Maximum,16
wavelet.HLL_firstorder_Median,74
wavelet.HLH_firstorder_Mean,41
wavelet.HLH_glcm_Imc1,13
wavelet.HHL_glcm_Idmn,78
wavelet.LLL_firstorder_InterquartileRange,9
gradient_glcm_Idn,18
lbp.3D.m1_glcm_DifferenceVariance,69
lbp.3D.m2_glcm_Correlation,30
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,108
log.sigma.2.0.mm.3D_firstorder_90Percentile,19
log.sigma.2.0.mm.3D_firstorder_Mean,6
wavelet.LLH_firstorder_Median,64
wavelet.LHL_firstorder_90Percentile,55
wavelet.LHL_glcm_MaximumProbability,25
wavelet.HLH_firstorder_Kurtosis,58
wavelet.HHL_firstorder_Kurtosis,100
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,43
lbp.3D.k_glcm_Correlation,20
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,36
log.sigma.3.0.mm.3D_glcm_InverseVariance,10
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,18
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,96
log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,10
wavelet.LHL_firstorder_TotalEnergy,10
wavelet.HLL_glcm_Imc1,17
wavelet.HLL_glcm_Imc2,25
wavelet.HLL_glcm_MaximumProbability,27
wavelet.HLL_glszm_GrayLevelVariance,14
lbp.3D.k_firstorder_Minimum,27
log.sigma.4.0.mm.3D_glcm_Imc2,88
wavelet.LLH_glcm_Contrast,17
wavelet.LHH_glcm_Idn,18
wavelet.LHH_glszm_SmallAreaEmphasis,29
wavelet.HLL_firstorder_90Percentile,47
wavelet.HHL_glcm_Imc1,22
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,34
log.sigma.2.0.mm.3D_firstorder_InterquartileRange,13
log.sigma.2.0.mm.3D_glcm_ClusterShade,71
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,10
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,33
wavelet.HHL_glcm_Correlation,65
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,63
lbp.3D.m1_glcm_ClusterShade,35
lbp.3D.m1_glcm_MaximumProbability,31
wavelet.LLH_glcm_Correlation,25
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,85
wavelet.HLL_firstorder_Kurtosis,69
gradient_glcm_Correlation,29
gradient_glcm_Imc1,21
gradient_glszm_SmallAreaEmphasis,7
lbp.3D.k_glcm_Idmn,51
logarithm_glcm_Idn,49
wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,5
wavelet.HHL_firstorder_Median,63
gradient_firstorder_10Percentile,9
gradient_firstorder_InterquartileRange,34
log.sigma.4.0.mm.3D_glcm_MaximumProbability,9
wavelet.LHL_firstorder_InterquartileRange,15
wavelet.LHH_firstorder_Median,6
wavelet.HHL_firstorder_InterquartileRange,26
wavelet.HHL_glcm_JointEnergy,22
wavelet.HHH_glcm_JointEnergy,20
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,47
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,17
wavelet.LHL_firstorder_Skewness,21
wavelet.HLL_glrlm_LowGrayLevelRunEmphasis,14
wavelet.HHH_glcm_Correlation,11
logarithm_glcm_Imc1,46
wavelet.HLL_glcm_Correlation,36
lbp.3D.m1_firstorder_Range,7
lbp.3D.m2_firstorder_Median,40
log.sigma.2.0.mm.3D_glcm_Idmn,17
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,31
wavelet.HLH_firstorder_10Percentile,20
original_firstorder_10Percentile,25
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,16
wavelet.LLH_glcm_Imc1,17
wavelet.LHH_firstorder_Variance,26
wavelet.HLL_firstorder_InterquartileRange,6
logarithm_firstorder_Kurtosis,26
wavelet.LLH_glcm_JointAverage,4
wavelet.HLH_glszm_ZoneVariance,24
wavelet.LLH_gldm_DependenceVariance,21
wavelet.LHL_glcm_Idmn,7
wavelet.HHH_firstorder_Energy,26
original_firstorder_Skewness,18
wavelet.HHH_glcm_Imc1,13
wavelet.LLH_firstorder_Skewness,19
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,15
lbp.3D.k_glszm_SmallAreaEmphasis,14
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,21
logarithm_glrlm_LongRunHighGrayLevelEmphasis,6
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,19
wavelet.LHL_glcm_Imc2,15
wavelet.HLL_firstorder_Energy,6
wavelet.HHH_glszm_GrayLevelNonUniformity,6
wavelet.LHL_glcm_ClusterTendency,27
lbp.3D.k_gldm_DependenceEntropy,6
original_glrlm_ShortRunLowGrayLevelEmphasis,5
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,8
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,12
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,27
gradient_firstorder_Minimum,3
wavelet.LHL_gldm_DependenceEntropy,3
lbp.3D.k_glcm_Imc2,4
gradient_glcm_Contrast,3
wavelet.HLH_glcm_Idmn,6
original_firstorder_Minimum,3
