f,count
original_shape_Elongation,115
log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,36
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,81
log.sigma.3.0.mm.3D_glrlm_LongRunEmphasis,6
log.sigma.4.0.mm.3D_firstorder_Median,23
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,13
wavelet.LLH_firstorder_Mean,122
wavelet.LLH_firstorder_RootMeanSquared,101
wavelet.LHH_gldm_DependenceNonUniformityNormalized,44
wavelet.HLL_glcm_JointEnergy,90
wavelet.HLL_glcm_Imc2,54
wavelet.HHL_glcm_ClusterShade,85
wavelet.HHL_glcm_Contrast,34
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,157
wavelet.HHH_glcm_JointEnergy,133
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,85
wavelet.HHH_glszm_SmallAreaEmphasis,160
wavelet.LLL_glcm_ClusterShade,112
gradient_glszm_SmallAreaLowGrayLevelEmphasis,7
lbp.3D.m1_firstorder_Mean,48
lbp.3D.m1_glcm_ClusterShade,126
lbp.3D.m2_firstorder_90Percentile,64
lbp.3D.m2_firstorder_RootMeanSquared,63
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,45
logarithm_glcm_Imc2,57
original_shape_Flatness,153
original_shape_MajorAxisLength,9
original_firstorder_Maximum,55
log.sigma.2.0.mm.3D_firstorder_Median,74
log.sigma.4.0.mm.3D_firstorder_Energy,36
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,19
wavelet.LLH_firstorder_Median,91
wavelet.LHL_firstorder_Median,101
wavelet.LHL_glcm_Imc1,12
wavelet.HLH_firstorder_Skewness,66
wavelet.HLH_glcm_ClusterProminence,135
wavelet.HLH_glcm_ClusterShade,192
wavelet.HLH_glcm_Contrast,16
wavelet.HHL_firstorder_Mean,69
wavelet.HHL_glcm_JointEnergy,52
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,136
wavelet.LLL_firstorder_10Percentile,69
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,5
lbp.3D.m2_firstorder_Skewness,169
lbp.3D.m2_glcm_ClusterShade,91
log.sigma.2.0.mm.3D_glcm_Correlation,16
log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,18
wavelet.LLH_firstorder_90Percentile,16
wavelet.LLH_glcm_Correlation,63
wavelet.LHL_firstorder_Mean,62
wavelet.HHH_firstorder_Kurtosis,26
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,22
lbp.3D.m1_firstorder_Skewness,129
lbp.3D.m1_glcm_JointAverage,55
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,49
logarithm_glcm_MaximumProbability,38
logarithm_gldm_DependenceVariance,23
log.sigma.2.0.mm.3D_firstorder_90Percentile,28
log.sigma.2.0.mm.3D_firstorder_Kurtosis,7
log.sigma.4.0.mm.3D_firstorder_Skewness,42
wavelet.LLH_glcm_Autocorrelation,41
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,15
wavelet.LHH_firstorder_InterquartileRange,70
wavelet.LHH_firstorder_Median,83
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,29
gradient_glcm_Idmn,6
lbp.3D.m2_glcm_ClusterProminence,61
lbp.3D.k_glcm_ClusterShade,88
log.sigma.3.0.mm.3D_firstorder_Skewness,66
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,29
wavelet.HLL_firstorder_90Percentile,55
wavelet.HLH_glcm_Idmn,16
wavelet.LLL_glcm_Correlation,18
log.sigma.2.0.mm.3D_glcm_JointEnergy,18
log.sigma.4.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis,8
wavelet.HLH_glszm_SizeZoneNonUniformity,6
wavelet.HHH_glrlm_GrayLevelVariance,24
lbp.3D.k_firstorder_Kurtosis,8
logarithm_firstorder_Minimum,20
log.sigma.3.0.mm.3D_glcm_Correlation,11
wavelet.LHL_glcm_Correlation,25
wavelet.LHH_glcm_InverseVariance,68
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,17
wavelet.HLH_glszm_LowGrayLevelZoneEmphasis,8
wavelet.HLH_glszm_ZoneVariance,15
gradient_firstorder_Skewness,6
gradient_glcm_Imc1,13
logarithm_glcm_Imc1,41
wavelet.LLH_glcm_InverseVariance,37
wavelet.LLH_gldm_DependenceVariance,19
wavelet.LHL_gldm_LowGrayLevelEmphasis,17
wavelet.LHH_glcm_ClusterTendency,61
wavelet.LHH_gldm_DependenceEntropy,34
wavelet.HHL_glcm_ClusterProminence,18
log.sigma.4.0.mm.3D_glcm_MaximumProbability,44
wavelet.LHH_glcm_Idmn,15
wavelet.HLL_firstorder_10Percentile,29
wavelet.HLL_firstorder_Mean,60
wavelet.HLL_firstorder_Median,15
wavelet.HLL_glcm_InverseVariance,24
wavelet.HLH_firstorder_Mean,53
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,6
wavelet.HLH_firstorder_Maximum,8
logarithm_glszm_LargeAreaEmphasis,24
log.sigma.4.0.mm.3D_firstorder_90Percentile,36
log.sigma.4.0.mm.3D_glrlm_ShortRunEmphasis,11
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,6
wavelet.HHH_glcm_Imc1,6
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,5
wavelet.LHH_glcm_Correlation,14
wavelet.LHH_glcm_Imc1,9
wavelet.HLL_glcm_ClusterProminence,12
wavelet.HLH_glcm_JointEnergy,33
gradient_glszm_LargeAreaHighGrayLevelEmphasis,27
lbp.3D.k_glcm_Idmn,11
log.sigma.2.0.mm.3D_firstorder_Skewness,17
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,4
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,6
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,18
wavelet.LHL_glrlm_GrayLevelVariance,15
wavelet.LLH_firstorder_Kurtosis,8
wavelet.HHL_glszm_ZoneVariance,10
wavelet.LLH_glszm_LargeAreaEmphasis,7
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,6
wavelet.HLH_glszm_SmallAreaEmphasis,8
wavelet.HHH_firstorder_Skewness,15
lbp.3D.k_firstorder_Range,11
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,40
wavelet.HLL_glcm_Correlation,3
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,5
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,4
wavelet.LHL_gldm_LargeDependenceEmphasis,11
wavelet.LHH_glszm_LargeAreaEmphasis,16
wavelet.HHL_glcm_Imc2,23
original_glcm_Imc2,38
log.sigma.4.0.mm.3D_glcm_ClusterShade,6
wavelet.HHH_glcm_Idmn,31
log.sigma.3.0.mm.3D_glcm_Imc2,6
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,20
log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,18
wavelet.LHH_gldm_LowGrayLevelEmphasis,17
wavelet.LHL_firstorder_Skewness,3
wavelet.HLH_glcm_Imc2,39
lbp.3D.m1_glcm_Correlation,12
log.sigma.3.0.mm.3D_glcm_Imc1,9
logarithm_firstorder_Skewness,16
wavelet.HHH_glcm_ClusterShade,32
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,11
wavelet.LHL_glcm_Idmn,7
wavelet.HLH_glcm_Imc1,27
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,27
wavelet.HHL_glcm_Correlation,3
wavelet.HLH_firstorder_Median,25
wavelet.HLL_glcm_ClusterTendency,12
gradient_glszm_LargeAreaLowGrayLevelEmphasis,11
original_glrlm_ShortRunLowGrayLevelEmphasis,5
logarithm_glcm_Autocorrelation,9
lbp.3D.k_firstorder_Minimum,3
wavelet.HHH_firstorder_Mean,5
wavelet.LHH_firstorder_Skewness,5
wavelet.LHH_firstorder_Kurtosis,2
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,6
wavelet.HHL_firstorder_Minimum,16
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,5
wavelet.LHH_glcm_ClusterShade,8
wavelet.LLH_firstorder_Skewness,4
wavelet.HLL_glcm_Idmn,10
wavelet.LLH_glcm_Imc2,17
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,7
wavelet.HHL_glszm_SmallAreaEmphasis,1
lbp.3D.k_firstorder_Variance,7
original_glszm_LargeAreaHighGrayLevelEmphasis,7
wavelet.HHL_firstorder_Skewness,2
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,2
wavelet.HHH_firstorder_Median,7
logarithm_glszm_LowGrayLevelZoneEmphasis,5
original_shape_Sphericity,6
wavelet.HHL_firstorder_Kurtosis,2
log.sigma.2.0.mm.3D_glcm_ClusterShade,9
wavelet.HHL_firstorder_Median,3
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,5
wavelet.LHH_glszm_SmallAreaEmphasis,8
lbp.3D.k_glcm_Correlation,5
wavelet.HHH_glcm_Correlation,5
wavelet.HLH_glcm_Correlation,5
gradient_glszm_SizeZoneNonUniformityNormalized,1
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,2
lbp.3D.k_glszm_SmallAreaLowGrayLevelEmphasis,4
wavelet.LHL_glszm_GrayLevelNonUniformity,4
wavelet.HLL_firstorder_Minimum,3
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_firstorder_10Percentile,2
iter,250
