f,count
original_shape_Elongation,122
wavelet.LLH_firstorder_Median,1
wavelet.LHH_firstorder_Skewness,102
wavelet.LHH_glcm_ClusterShade,56
wavelet.HLH_glcm_ClusterShade,92
wavelet.HHL_firstorder_Median,171
wavelet.HHL_glcm_ClusterShade,80
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,43
wavelet.HHH_glcm_ClusterShade,221
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,58
lbp.3D.m1_firstorder_Skewness,67
lbp.3D.m1_glcm_ClusterShade,104
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,85
wavelet.LHL_firstorder_Median,75
wavelet.HHH_firstorder_Median,88
wavelet.HHH_glszm_SmallAreaEmphasis,98
lbp.3D.m2_firstorder_Skewness,15
lbp.3D.k_firstorder_10Percentile,145
original_shape_Flatness,101
wavelet.LHL_firstorder_Mean,15
wavelet.HHL_firstorder_Mean,85
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,27
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,51
lbp.3D.k_glcm_ClusterShade,64
wavelet.LHH_glcm_Correlation,6
wavelet.HHL_firstorder_Skewness,64
wavelet.LLL_firstorder_10Percentile,21
wavelet.LHH_firstorder_Median,37
wavelet.HHH_firstorder_Skewness,12
wavelet.HLL_firstorder_Median,10
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,8
lbp.3D.k_firstorder_Kurtosis,44
original_shape_Sphericity,6
wavelet.HLH_firstorder_Skewness,28
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.LHH_firstorder_Kurtosis,4
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,17
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HHL_glcm_Correlation,8
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,21
wavelet.HLH_firstorder_Median,9
gradient_glszm_LargeAreaHighGrayLevelEmphasis,11
wavelet.LHL_firstorder_Skewness,3
wavelet.HHH_firstorder_Mean,10
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,3
wavelet.HHL_glcm_ClusterProminence,16
wavelet.LHH_glcm_ClusterTendency,4
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HLL_firstorder_Mean,2
wavelet.LLH_firstorder_Skewness,5
wavelet.HLH_firstorder_Mean,6
wavelet.LLH_firstorder_Mean,4
wavelet.LHH_glszm_SmallAreaEmphasis,5
log.sigma.2.0.mm.3D_firstorder_Kurtosis,3
logarithm_glcm_Imc2,2
log.sigma.2.0.mm.3D_firstorder_Median,4
log.sigma.3.0.mm.3D_glcm_Correlation,1
lbp.3D.m2_firstorder_90Percentile,1
wavelet.LHH_glcm_InverseVariance,4
wavelet.LLL_glcm_ClusterShade,1
wavelet.HHH_firstorder_Kurtosis,5
wavelet.LLH_glcm_Correlation,1
lbp.3D.m2_firstorder_RootMeanSquared,1
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,1
logarithm_firstorder_Minimum,1
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,1
lbp.3D.m1_glcm_JointAverage,1
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,1
original_firstorder_Maximum,2
iter,250
