f,count
original_shape_Elongation,250
original_shape_Flatness,250
original_shape_Sphericity,248
original_shape_SurfaceVolumeRatio,249
original_firstorder_Maximum,173
original_glcm_Correlation,206
original_glcm_Imc2,234
original_glrlm_ShortRunLowGrayLevelEmphasis,107
original_glszm_ZoneVariance,161
log.sigma.2.0.mm.3D_firstorder_90Percentile,250
log.sigma.2.0.mm.3D_firstorder_Kurtosis,144
log.sigma.2.0.mm.3D_firstorder_Skewness,242
log.sigma.2.0.mm.3D_glcm_ClusterShade,214
log.sigma.2.0.mm.3D_glcm_Correlation,250
log.sigma.2.0.mm.3D_glcm_JointEnergy,198
log.sigma.2.0.mm.3D_glcm_Imc1,87
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,248
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,235
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,219
log.sigma.3.0.mm.3D_firstorder_90Percentile,149
log.sigma.3.0.mm.3D_firstorder_Median,111
log.sigma.3.0.mm.3D_glcm_Imc2,104
log.sigma.3.0.mm.3D_glcm_Idmn,221
log.sigma.3.0.mm.3D_glszm_LargeAreaEmphasis,235
log.sigma.4.0.mm.3D_firstorder_10Percentile,191
log.sigma.4.0.mm.3D_firstorder_Kurtosis,249
log.sigma.4.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,204
log.sigma.4.0.mm.3D_firstorder_Skewness,245
log.sigma.4.0.mm.3D_glcm_ClusterShade,247
log.sigma.4.0.mm.3D_glcm_Correlation,211
log.sigma.4.0.mm.3D_glcm_JointEnergy,242
log.sigma.4.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,107
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,229
wavelet.LLH_firstorder_90Percentile,104
wavelet.LLH_firstorder_Kurtosis,242
wavelet.LLH_firstorder_Skewness,250
wavelet.LLH_glcm_Correlation,250
wavelet.LLH_glcm_Idmn,246
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,109
wavelet.LLH_glszm_GrayLevelVariance,133
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,162
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,207
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,230
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,183
wavelet.LHL_firstorder_Median,250
wavelet.LHL_firstorder_Skewness,214
wavelet.LHL_glcm_ClusterProminence,233
wavelet.LHL_glcm_Correlation,250
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,169
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,229
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,245
wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis,210
wavelet.LHH_firstorder_Median,250
wavelet.LHH_firstorder_Skewness,250
wavelet.LHH_glcm_ClusterShade,250
wavelet.LHH_glcm_Correlation,250
wavelet.LHH_glcm_Imc2,94
wavelet.LHH_glcm_MaximumProbability,190
wavelet.LHH_glrlm_GrayLevelVariance,185
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,173
wavelet.LHH_glszm_SizeZoneNonUniformity,195
wavelet.LHH_glszm_SmallAreaEmphasis,250
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,181
wavelet.LHH_glszm_ZonePercentage,155
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,148
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,173
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,210
wavelet.HLL_firstorder_Kurtosis,224
wavelet.HLL_firstorder_Mean,250
wavelet.HLL_glcm_ClusterProminence,246
wavelet.HLL_glcm_Correlation,247
wavelet.HLL_glcm_Idmn,116
wavelet.HLL_glcm_MaximumProbability,250
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,86
wavelet.HLL_gldm_DependenceVariance,233
wavelet.HLL_gldm_LowGrayLevelEmphasis,130
wavelet.HLH_firstorder_Kurtosis,203
wavelet.HLH_firstorder_Median,250
wavelet.HLH_firstorder_Skewness,250
wavelet.HLH_glcm_ClusterShade,250
wavelet.HLH_glcm_Correlation,229
wavelet.HLH_glcm_JointEnergy,193
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,248
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,250
wavelet.HLH_glszm_ZoneVariance,228
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,229
wavelet.HHL_firstorder_Mean,250
wavelet.HHL_firstorder_Median,250
wavelet.HHL_firstorder_Skewness,250
wavelet.HHL_firstorder_TotalEnergy,173
wavelet.HHL_glcm_ClusterProminence,171
wavelet.HHL_glcm_ClusterShade,250
wavelet.HHL_glcm_Correlation,161
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glcm_Imc1,111
wavelet.HHL_glcm_Idmn,134
wavelet.HHL_glszm_LargeAreaEmphasis,234
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,250
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,250
wavelet.HHL_glszm_SmallAreaEmphasis,250
wavelet.HHH_firstorder_Kurtosis,237
wavelet.HHH_firstorder_Mean,250
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_Correlation,249
wavelet.HHH_glcm_Imc1,250
wavelet.HHH_glcm_Idmn,188
wavelet.HHH_glszm_LargeAreaEmphasis,214
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,250
wavelet.HHH_glszm_SmallAreaEmphasis,250
wavelet.HHH_gldm_GrayLevelVariance,248
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,241
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,184
wavelet.LLL_firstorder_10Percentile,250
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,250
gradient_firstorder_Kurtosis,247
gradient_firstorder_Minimum,250
gradient_glcm_Idn,115
gradient_glszm_LargeAreaHighGrayLevelEmphasis,182
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,228
lbp.3D.m1_firstorder_Median,250
lbp.3D.m1_firstorder_RootMeanSquared,250
lbp.3D.m1_firstorder_Skewness,237
lbp.3D.m1_glcm_ClusterShade,250
lbp.3D.m1_glcm_Correlation,250
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,163
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,250
lbp.3D.m2_firstorder_90Percentile,224
lbp.3D.m2_firstorder_Kurtosis,210
lbp.3D.m2_firstorder_Maximum,249
lbp.3D.m2_firstorder_Range,248
lbp.3D.m2_firstorder_RootMeanSquared,240
lbp.3D.m2_firstorder_Skewness,249
lbp.3D.m2_glcm_ClusterProminence,216
