f,count
log.sigma.4.0.mm.3D_glcm_Imc1,219
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,236
wavelet.HLL_firstorder_Maximum,209
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,14
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,28
original_gldm_LargeDependenceHighGrayLevelEmphasis,103
logarithm_glcm_Correlation,141
lbp.3D.m2_gldm_HighGrayLevelEmphasis,34
wavelet.HLH_glcm_ClusterShade,146
wavelet.LHH_glcm_ClusterShade,118
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.LHH_glcm_Imc2,41
log.sigma.2.0.mm.3D_gldm_DependenceEntropy,14
wavelet.HLH_glcm_Imc2,157
lbp.3D.m1_glszm_LargeAreaEmphasis,123
lbp.3D.m2_firstorder_90Percentile,20
wavelet.HHL_glcm_Imc2,44
wavelet.LHH_firstorder_Mean,50
wavelet.LHH_firstorder_Median,37
gradient_glcm_Imc2,77
lbp.3D.m2_glcm_ClusterShade,12
original_glcm_ClusterProminence,25
wavelet.HHL_glcm_ClusterProminence,227
wavelet.HLL_glcm_Correlation,14
wavelet.HLL_firstorder_Mean,26
gradient_glcm_Correlation,26
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,13
logarithm_glrlm_LongRunHighGrayLevelEmphasis,9
wavelet.HHL_firstorder_Maximum,52
wavelet.LHH_gldm_LowGrayLevelEmphasis,66
wavelet.HHH_firstorder_Median,14
wavelet.LHH_glszm_SmallAreaEmphasis,35
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,9
wavelet.HHH_glcm_Idmn,11
wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis,20
wavelet.LHL_firstorder_Skewness,28
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,7
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,55
wavelet.LHL_firstorder_90Percentile,6
gradient_firstorder_Minimum,53
wavelet.LLH_gldm_DependenceEntropy,41
lbp.3D.m2_firstorder_Kurtosis,30
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,35
lbp.3D.k_glcm_Correlation,18
log.sigma.2.0.mm.3D_firstorder_90Percentile,15
wavelet.HLH_glszm_ZoneVariance,1
wavelet.HHL_glcm_ClusterShade,9
wavelet.HLL_glcm_Idmn,36
wavelet.HHH_glcm_ClusterShade,22
wavelet.HLH_firstorder_Kurtosis,9
wavelet.LHH_glcm_Correlation,14
log.sigma.4.0.mm.3D_glcm_Correlation,7
wavelet.LLH_firstorder_Skewness,27
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,20
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,8
gradient_glcm_Idmn,25
wavelet.HHH_glszm_SmallAreaEmphasis,7
log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,5
wavelet.HHL_firstorder_Median,27
lbp.3D.k_glszm_SmallAreaEmphasis,6
logarithm_glcm_Imc2,9
logarithm_firstorder_10Percentile,65
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.HLL_firstorder_Skewness,18
wavelet.LLH_glszm_ZoneEntropy,31
wavelet.HLL_firstorder_TotalEnergy,3
wavelet.HLL_firstorder_90Percentile,36
gradient_glszm_SizeZoneNonUniformityNormalized,35
lbp.3D.m2_glszm_LargeAreaEmphasis,34
lbp.3D.k_glrlm_RunEntropy,8
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,85
wavelet.LHH_firstorder_Skewness,21
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,14
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,16
wavelet.HLL_glszm_GrayLevelVariance,14
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,11
wavelet.LHL_glcm_Correlation,75
wavelet.HHL_glszm_ZoneVariance,26
wavelet.HHL_firstorder_Skewness,14
log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,7
original_shape_Elongation,33
wavelet.LHH_glszm_ZoneVariance,8
gradient_firstorder_Kurtosis,16
wavelet.LHH_firstorder_Kurtosis,9
original_glszm_LargeAreaLowGrayLevelEmphasis,17
wavelet.HHH_firstorder_Kurtosis,14
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,3
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,8
wavelet.HLL_glcm_Imc1,5
wavelet.HHH_gldm_DependenceVariance,9
wavelet.HHL_gldm_HighGrayLevelEmphasis,5
wavelet.HHH_firstorder_Mean,17
wavelet.HLH_firstorder_Mean,4
logarithm_glcm_MaximumProbability,29
wavelet.LLH_firstorder_Mean,10
gradient_glcm_ClusterShade,14
wavelet.HLH_firstorder_Median,12
wavelet.HLL_glcm_MaximumProbability,3
wavelet.LHL_glrlm_RunVariance,2
wavelet.LHL_firstorder_Median,5
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,8
wavelet.HHH_firstorder_Skewness,18
logarithm_firstorder_Variance,8
wavelet.LHL_glcm_DifferenceVariance,9
wavelet.HHL_firstorder_Mean,6
wavelet.HLH_glszm_SmallAreaEmphasis,9
wavelet.HHL_gldm_DependenceVariance,14
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,5
lbp.3D.m2_firstorder_Maximum,16
log.sigma.3.0.mm.3D_gldm_DependenceVariance,2
wavelet.LHH_glszm_ZoneEntropy,19
wavelet.LHH_glcm_ClusterTendency,4
wavelet.LHL_firstorder_RootMeanSquared,4
logarithm_firstorder_Kurtosis,12
wavelet.HLH_glcm_Idmn,11
wavelet.HLH_glcm_Correlation,7
wavelet.LHH_gldm_DependenceNonUniformityNormalized,13
original_shape_Sphericity,13
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,1
wavelet.LLH_glcm_Correlation,3
wavelet.HHH_firstorder_Energy,4
wavelet.HLH_firstorder_Skewness,9
wavelet.HHL_glszm_ZoneEntropy,7
wavelet.HHL_firstorder_Kurtosis,6
lbp.3D.m1_gldm_LargeDependenceEmphasis,4
wavelet.HLL_glszm_ZoneEntropy,4
lbp.3D.k_firstorder_10Percentile,9
log.sigma.2.0.mm.3D_glcm_Correlation,3
wavelet.LLL_firstorder_Minimum,3
wavelet.LLH_firstorder_Kurtosis,2
wavelet.HHL_glcm_JointEnergy,8
logarithm_firstorder_InterquartileRange,13
wavelet.HHH_glcm_Correlation,9
wavelet.LLH_glcm_ClusterProminence,3
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,4
wavelet.LHL_glszm_ZoneEntropy,2
gradient_firstorder_InterquartileRange,17
lbp.3D.m1_firstorder_Skewness,1
log.sigma.4.0.mm.3D_firstorder_Kurtosis,1
wavelet.HLL_firstorder_Kurtosis,5
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,1
lbp.3D.k_glcm_Idn,1
wavelet.LLL_gldm_SmallDependenceLowGrayLevelEmphasis,1
lbp.3D.k_firstorder_Kurtosis,1
wavelet.LLH_glszm_LargeAreaEmphasis,1
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,2
original_shape_Flatness,3
log.sigma.4.0.mm.3D_firstorder_Maximum,1
lbp.3D.k_glcm_Imc1,1
log.sigma.3.0.mm.3D_glcm_ClusterShade,2
logarithm_glszm_GrayLevelNonUniformityNormalized,4
wavelet.LHL_glcm_Imc2,4
lbp.3D.k_glcm_SumSquares,3
wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis,1
wavelet.LHL_glszm_LargeAreaEmphasis,1
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_glrlm_LongRunEmphasis,3
gradient_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.LHL_gldm_DependenceEntropy,2
log.sigma.4.0.mm.3D_glcm_JointEntropy,1
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,2
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.HHH_glcm_Imc2,2
wavelet.LLH_glcm_DifferenceAverage,1
logarithm_glszm_SizeZoneNonUniformityNormalized,1
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.LHL_firstorder_Kurtosis,3
log.sigma.3.0.mm.3D_firstorder_Skewness,1
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,3
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,2
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,1
wavelet.HLH_glrlm_ShortRunEmphasis,2
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,1
original_shape_MajorAxisLength,6
wavelet.LLL_glcm_JointEnergy,2
wavelet.LHL_firstorder_TotalEnergy,2
lbp.3D.k_glcm_ClusterProminence,1
lbp.3D.m2_firstorder_Uniformity,1
gradient_gldm_DependenceEntropy,1
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,2
wavelet.LLH_glcm_Imc2,1
wavelet.LLH_firstorder_Median,1
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,1
iter,250
