f,count
original_shape_Flatness,233
original_shape_SurfaceVolumeRatio,173
original_gldm_LargeDependenceLowGrayLevelEmphasis,227
log.sigma.2.0.mm.3D_firstorder_Kurtosis,35
log.sigma.4.0.mm.3D_firstorder_10Percentile,169
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,160
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,121
wavelet.LHL_firstorder_Skewness,62
wavelet.LHL_glcm_ClusterProminence,156
wavelet.LHL_glcm_Correlation,180
wavelet.LHL_glcm_SumSquares,76
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,224
wavelet.LHH_firstorder_Mean,190
wavelet.LHH_firstorder_Median,81
wavelet.LHH_glcm_ClusterProminence,17
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,131
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,181
wavelet.HLL_glcm_Correlation,19
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,102
wavelet.HLH_firstorder_Mean,55
wavelet.HLH_firstorder_Median,173
wavelet.HLH_glcm_ClusterProminence,202
wavelet.HLH_glcm_Correlation,63
wavelet.HHL_firstorder_Mean,88
wavelet.HHL_firstorder_Median,153
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,75
wavelet.HHH_firstorder_Mean,202
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,249
wavelet.HHH_glcm_ClusterShade,201
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,145
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,224
gradient_glcm_Correlation,85
gradient_glcm_Idmn,27
lbp.3D.m1_firstorder_Kurtosis,133
lbp.3D.m1_glcm_Correlation,193
lbp.3D.m2_glcm_MaximumProbability,57
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,176
lbp.3D.k_firstorder_Kurtosis,152
lbp.3D.k_firstorder_Minimum,32
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,183
logarithm_firstorder_RootMeanSquared,211
original_glrlm_ShortRunLowGrayLevelEmphasis,23
wavelet.LHH_firstorder_Skewness,80
wavelet.HLH_glcm_Idmn,84
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,104
wavelet.HHH_firstorder_Kurtosis,151
lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis,16
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,135
wavelet.LHH_glcm_Imc1,56
wavelet.HHL_glcm_ClusterShade,143
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,73
gradient_firstorder_Skewness,23
lbp.3D.m2_firstorder_90Percentile,143
lbp.3D.m2_firstorder_Kurtosis,17
lbp.3D.m2_firstorder_RootMeanSquared,61
lbp.3D.k_firstorder_Range,67
original_firstorder_10Percentile,87
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,54
wavelet.HLL_firstorder_Mean,44
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,32
wavelet.HHH_glszm_SmallAreaEmphasis,67
lbp.3D.k_firstorder_10Percentile,31
wavelet.LLH_firstorder_InterquartileRange,21
wavelet.LLH_glcm_Correlation,65
wavelet.HLL_firstorder_Median,6
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,65
wavelet.HHL_firstorder_Skewness,71
wavelet.HHL_glcm_Correlation,137
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,29
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,37
wavelet.HLL_firstorder_Kurtosis,29
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,41
wavelet.LLH_firstorder_Skewness,64
wavelet.LLH_glcm_ClusterProminence,18
wavelet.HLH_firstorder_Kurtosis,49
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,37
lbp.3D.m2_firstorder_Maximum,20
lbp.3D.k_glcm_Correlation,6
wavelet.HLL_firstorder_Skewness,28
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,30
lbp.3D.m2_glszm_GrayLevelVariance,30
wavelet.LHH_firstorder_Kurtosis,30
wavelet.LHH_glcm_Idmn,16
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,9
wavelet.HHH_glszm_LargeAreaEmphasis,13
lbp.3D.m1_firstorder_Skewness,6
original_glcm_Imc2,30
lbp.3D.k_glcm_Idn,2
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,10
wavelet.HHH_glcm_Imc1,2
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,14
wavelet.HLH_firstorder_Skewness,55
lbp.3D.m1_glszm_ZoneVariance,2
wavelet.HHL_firstorder_Kurtosis,15
gradient_glszm_LargeAreaLowGrayLevelEmphasis,3
logarithm_glcm_Correlation,16
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,10
lbp.3D.k_glcm_InverseVariance,6
log.sigma.2.0.mm.3D_glcm_ClusterShade,18
wavelet.HHH_glcm_Idn,20
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,2
lbp.3D.m2_glcm_Imc2,11
wavelet.LHL_firstorder_Kurtosis,38
lbp.3D.m2_gldm_LargeDependenceEmphasis,4
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,7
lbp.3D.k_glcm_ClusterShade,6
wavelet.HHL_glcm_Idmn,5
wavelet.HHH_glcm_Correlation,26
wavelet.HLL_glszm_LargeAreaEmphasis,2
wavelet.LLH_firstorder_Kurtosis,12
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,1
lbp.3D.m2_firstorder_Uniformity,1
log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,2
wavelet.LHL_firstorder_Maximum,11
lbp.3D.m1_firstorder_Maximum,3
wavelet.LHH_glcm_Correlation,27
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,2
wavelet.LHH_glszm_SmallAreaEmphasis,3
gradient_glszm_LargeAreaEmphasis,1
log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,2
lbp.3D.m1_glcm_JointEnergy,8
wavelet.LHL_glszm_ZoneVariance,3
wavelet.LHL_firstorder_90Percentile,2
gradient_firstorder_Minimum,3
lbp.3D.k_glcm_Imc1,2
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,1
wavelet.LLH_firstorder_Mean,1
