f,count
wavelet.HHL_glcm_Imc1,223
gradient_firstorder_Skewness,217
log.sigma.4.0.mm.3D_firstorder_10Percentile,134
wavelet.HLH_firstorder_Mean,78
lbp.3D.m2_firstorder_RootMeanSquared,28
wavelet.HLH_firstorder_Median,13
logarithm_firstorder_InterquartileRange,8
lbp.3D.m2_firstorder_Uniformity,8
lbp.3D.k_firstorder_Minimum,101
wavelet.LHH_firstorder_Mean,199
wavelet.HHL_firstorder_Median,37
lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis,48
wavelet.LLH_glcm_JointEnergy,81
log.sigma.2.0.mm.3D_glcm_DifferenceVariance,2
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,4
wavelet.HLL_glszm_LargeAreaEmphasis,1
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,17
wavelet.HLL_glcm_Correlation,11
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,64
wavelet.HHL_firstorder_Skewness,19
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,4
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,84
lbp.3D.m1_glszm_ZoneVariance,14
wavelet.HLH_firstorder_Kurtosis,7
lbp.3D.m2_firstorder_Kurtosis,14
wavelet.LHH_glcm_ClusterProminence,12
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,193
log.sigma.2.0.mm.3D_firstorder_Kurtosis,4
wavelet.HLH_glcm_Imc1,71
wavelet.LLH_firstorder_Energy,1
original_glrlm_ShortRunLowGrayLevelEmphasis,88
lbp.3D.m1_firstorder_Kurtosis,31
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,13
wavelet.HLL_firstorder_InterquartileRange,14
wavelet.LHL_glcm_Correlation,48
wavelet.LHH_glcm_Idmn,2
wavelet.LHH_glszm_SmallAreaEmphasis,39
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,22
wavelet.HLH_glcm_JointEnergy,3
wavelet.HHH_firstorder_Median,11
wavelet.HHL_glcm_Correlation,8
wavelet.HLL_glcm_DifferenceVariance,39
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,2
wavelet.HHL_firstorder_Mean,22
lbp.3D.m2_glcm_Imc2,67
wavelet.LLH_firstorder_Skewness,14
log.sigma.4.0.mm.3D_glcm_Idn,2
wavelet.LHL_glcm_ClusterProminence,15
wavelet.LHL_firstorder_Kurtosis,5
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,37
original_firstorder_Kurtosis,3
gradient_glcm_Idmn,22
log.sigma.2.0.mm.3D_glcm_MaximumProbability,21
lbp.3D.m1_glcm_Imc2,2
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,12
original_gldm_LargeDependenceLowGrayLevelEmphasis,35
wavelet.LHH_glcm_DifferenceVariance,2
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,3
wavelet.LHL_firstorder_10Percentile,32
wavelet.HLL_firstorder_TotalEnergy,14
wavelet.LHL_firstorder_Skewness,35
wavelet.LLH_glcm_Correlation,8
lbp.3D.m2_glcm_MaximumProbability,27
wavelet.HLL_firstorder_Maximum,14
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,7
logarithm_firstorder_RootMeanSquared,45
wavelet.HHH_glszm_SmallAreaEmphasis,1
wavelet.LHH_firstorder_Median,1
lbp.3D.m2_firstorder_90Percentile,2
wavelet.LLH_glcm_Imc1,30
wavelet.HHH_glcm_ClusterShade,6
wavelet.HHL_glcm_JointEnergy,18
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,6
lbp.3D.m1_glcm_JointEnergy,7
gradient_glcm_DifferenceVariance,12
gradient_glcm_MaximumProbability,7
lbp.3D.m2_gldm_LargeDependenceEmphasis,5
wavelet.HHH_firstorder_Skewness,27
lbp.3D.k_glcm_Correlation,7
lbp.3D.m1_glcm_Correlation,4
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,7
original_firstorder_Minimum,14
wavelet.HLL_firstorder_Median,9
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,4
lbp.3D.m2_glszm_GrayLevelVariance,18
original_glszm_ZoneVariance,22
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,3
wavelet.HLL_firstorder_Mean,9
wavelet.HHH_glcm_Correlation,9
original_glcm_Imc2,1
wavelet.LHH_glcm_Correlation,3
lbp.3D.k_gldm_DependenceVariance,1
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.HLH_glcm_ClusterProminence,5
wavelet.LHL_firstorder_90Percentile,4
wavelet.HLL_glcm_ClusterTendency,4
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.HHL_firstorder_Maximum,6
log.sigma.4.0.mm.3D_glcm_ClusterShade,3
wavelet.HHH_glszm_GrayLevelNonUniformity,1
wavelet.LLH_firstorder_Median,3
lbp.3D.m2_glcm_ClusterShade,17
log.sigma.2.0.mm.3D_glcm_Correlation,10
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,6
log.sigma.3.0.mm.3D_glcm_Imc1,4
wavelet.HLH_glcm_Correlation,4
lbp.3D.k_glcm_Imc1,11
log.sigma.2.0.mm.3D_glcm_Imc2,19
wavelet.LLH_glcm_Idn,6
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,3
original_shape_SurfaceVolumeRatio,6
original_firstorder_Skewness,3
wavelet.LLH_firstorder_InterquartileRange,4
original_shape_Flatness,8
original_glcm_ClusterTendency,6
wavelet.HHH_gldm_DependenceVariance,7
wavelet.LLH_firstorder_Mean,36
logarithm_glcm_DifferenceVariance,2
gradient_glcm_Imc2,7
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,3
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,2
wavelet.LHL_glszm_ZoneVariance,4
wavelet.HLL_firstorder_Skewness,14
wavelet.LHL_glcm_Idmn,2
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,2
original_glcm_MaximumProbability,1
wavelet.HLL_firstorder_90Percentile,6
gradient_glszm_LargeAreaLowGrayLevelEmphasis,3
logarithm_glszm_ZoneVariance,1
lbp.3D.k_glcm_InverseVariance,1
wavelet.HLL_glcm_JointEnergy,2
wavelet.HLH_firstorder_Skewness,6
gradient_glcm_Correlation,1
lbp.3D.k_firstorder_10Percentile,3
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,3
