f,count
original_shape_Flatness,204
original_shape_Sphericity,231
original_shape_SurfaceVolumeRatio,205
original_firstorder_10Percentile,87
original_glcm_Correlation,225
original_glszm_LargeAreaEmphasis,193
original_glszm_LargeAreaLowGrayLevelEmphasis,227
log.sigma.2.0.mm.3D_firstorder_90Percentile,64
log.sigma.2.0.mm.3D_firstorder_Kurtosis,197
log.sigma.2.0.mm.3D_glcm_ClusterShade,178
log.sigma.2.0.mm.3D_glcm_Imc1,210
log.sigma.2.0.mm.3D_glcm_Imc2,225
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,187
log.sigma.3.0.mm.3D_firstorder_Kurtosis,168
log.sigma.3.0.mm.3D_firstorder_Skewness,98
log.sigma.3.0.mm.3D_glcm_Correlation,223
log.sigma.3.0.mm.3D_glcm_MaximumProbability,211
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,215
log.sigma.4.0.mm.3D_glcm_Correlation,229
wavelet.LLH_firstorder_90Percentile,229
wavelet.LLH_firstorder_Skewness,183
wavelet.LLH_glcm_ClusterShade,129
wavelet.LLH_glcm_Correlation,78
wavelet.LLH_glcm_Imc2,193
wavelet.LHL_firstorder_90Percentile,217
wavelet.LHL_firstorder_Kurtosis,182
wavelet.LHL_firstorder_Median,147
wavelet.LHL_firstorder_Skewness,186
wavelet.LHL_glcm_ClusterShade,225
wavelet.LHL_glcm_Correlation,225
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,220
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,221
wavelet.LHH_firstorder_Median,220
wavelet.LHH_glcm_ClusterShade,231
wavelet.LHH_glcm_Correlation,226
wavelet.LHH_glcm_DifferenceAverage,227
wavelet.LHH_glszm_GrayLevelVariance,203
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,128
wavelet.LHH_glszm_SizeZoneNonUniformity,201
wavelet.LHH_glszm_SmallAreaEmphasis,210
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,208
wavelet.HLL_firstorder_90Percentile,196
wavelet.HLL_firstorder_Kurtosis,162
wavelet.HLL_firstorder_Median,224
wavelet.HLL_firstorder_Skewness,121
wavelet.HLL_glcm_Correlation,158
wavelet.HLL_glcm_Imc1,176
wavelet.HLL_glcm_Imc2,217
wavelet.HLL_glcm_MaximumProbability,178
wavelet.HLL_glszm_GrayLevelVariance,17
wavelet.HLL_gldm_DependenceVariance,100
wavelet.HLH_firstorder_10Percentile,126
wavelet.HLH_firstorder_Mean,214
wavelet.HLH_firstorder_Skewness,99
wavelet.HLH_glcm_ClusterProminence,149
wavelet.HLH_glcm_Correlation,203
wavelet.HLH_glszm_SizeZoneNonUniformityNormalized,94
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,214
wavelet.HHL_firstorder_Mean,214
wavelet.HHL_firstorder_Skewness,211
wavelet.HHL_glcm_Correlation,215
wavelet.HHL_glcm_JointEnergy,200
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,199
wavelet.HHH_firstorder_Mean,224
wavelet.HHH_firstorder_Median,192
wavelet.HHH_firstorder_Skewness,192
wavelet.HHH_glcm_ClusterShade,231
wavelet.HHH_glcm_Imc1,121
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,15
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,215
wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis,65
gradient_firstorder_10Percentile,183
gradient_firstorder_InterquartileRange,192
gradient_glszm_SizeZoneNonUniformityNormalized,208
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,66
lbp.3D.m1_firstorder_90Percentile,194
lbp.3D.m1_glcm_ClusterShade,212
lbp.3D.m1_glcm_DifferenceVariance,231
lbp.3D.m1_glcm_MaximumProbability,192
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,213
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,207
lbp.3D.m2_firstorder_90Percentile,230
lbp.3D.m2_firstorder_Maximum,86
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,228
lbp.3D.m2_firstorder_Range,184
lbp.3D.m2_glcm_Correlation,163
lbp.3D.m2_glrlm_RunPercentage,220
lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis,220
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,205
lbp.3D.k_firstorder_Kurtosis,230
lbp.3D.k_firstorder_Maximum,105
lbp.3D.k_firstorder_Minimum,229
lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation,231
lbp.3D.k_glcm_Correlation,220
lbp.3D.k_glcm_Idmn,231
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,194
lbp.3D.k_glszm_GrayLevelVariance,225
lbp.3D.k_glszm_SmallAreaEmphasis,220
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,231
logarithm_firstorder_RootMeanSquared,156
logarithm_glcm_Imc1,209
logarithm_glcm_Idn,75
original_shape_MajorAxisLength,22
original_firstorder_Skewness,115
original_glcm_Idmn,97
log.sigma.2.0.mm.3D_glcm_Autocorrelation,18
wavelet.LLH_firstorder_Median,187
wavelet.LLH_glcm_MaximumProbability,171
wavelet.LLH_gldm_DependenceVariance,74
wavelet.LHL_firstorder_TotalEnergy,71
wavelet.LHL_glcm_ClusterTendency,118
wavelet.LHL_glcm_Contrast,48
wavelet.LHL_glcm_MaximumProbability,49
wavelet.LHH_firstorder_Minimum,34
wavelet.LHH_firstorder_Skewness,167
wavelet.HLL_firstorder_Maximum,91
wavelet.HLH_glcm_Imc1,79
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,135
wavelet.HHL_firstorder_InterquartileRange,104
wavelet.HHL_glcm_ClusterShade,148
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,91
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,51
wavelet.HHH_firstorder_Energy,199
wavelet.HHH_firstorder_Kurtosis,208
wavelet.HHH_glcm_JointEnergy,109
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,122
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,208
gradient_firstorder_Skewness,54
lbp.3D.m2_firstorder_Skewness,170
lbp.3D.m2_glcm_DifferenceVariance,91
lbp.3D.k_glcm_Autocorrelation,116
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,219
logarithm_glcm_Imc2,191
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,89
wavelet.HLH_glrlm_RunLengthNonUniformityNormalized,106
wavelet.HLH_glszm_ZoneVariance,166
wavelet.HHL_glszm_SizeZoneNonUniformityNormalized,111
gradient_glcm_Imc1,118
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,128
wavelet.HHL_firstorder_Kurtosis,103
wavelet.LLL_firstorder_InterquartileRange,143
gradient_glcm_Correlation,83
log.sigma.4.0.mm.3D_glcm_ClusterProminence,22
wavelet.LHL_glcm_Idmn,39
gradient_firstorder_Minimum,24
wavelet.LLH_glcm_Contrast,30
gradient_glcm_Idn,18
wavelet.LHH_glcm_Imc2,19
wavelet.LHH_firstorder_Kurtosis,73
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,29
wavelet.HHL_glcm_Imc1,17
lbp.3D.m2_glcm_MaximumProbability,29
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,49
lbp.3D.m1_glcm_Correlation,8
lbp.3D.k_glcm_Imc2,58
log.sigma.3.0.mm.3D_glcm_Idm,24
