f,count
original_shape_Elongation,144
original_firstorder_Maximum,66
log.sigma.2.0.mm.3D_firstorder_Median,116
log.sigma.2.0.mm.3D_glcm_Correlation,32
log.sigma.3.0.mm.3D_firstorder_Skewness,113
log.sigma.3.0.mm.3D_glrlm_LongRunEmphasis,55
wavelet.LHL_glcm_Imc1,71
wavelet.LHL_glcm_Idmn,6
wavelet.LHL_glcm_MaximumProbability,88
wavelet.LHH_firstorder_Median,72
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,136
wavelet.LHH_gldm_DependenceEntropy,38
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,34
wavelet.HLL_firstorder_10Percentile,128
wavelet.HLH_glcm_ClusterShade,155
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,43
wavelet.HHL_firstorder_Mean,74
wavelet.HHL_glcm_ClusterShade,54
wavelet.HHL_glcm_Contrast,54
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,201
wavelet.HHH_firstorder_Kurtosis,20
wavelet.HHH_firstorder_Skewness,15
wavelet.HHH_glcm_JointEnergy,113
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,57
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,108
wavelet.LLL_firstorder_Skewness,31
wavelet.LLL_glszm_GrayLevelVariance,84
gradient_glcm_ClusterProminence,106
gradient_glcm_Contrast,53
gradient_glcm_Imc1,13
gradient_glrlm_RunVariance,76
gradient_glszm_LargeAreaHighGrayLevelEmphasis,66
lbp.3D.m1_firstorder_Mean,72
lbp.3D.m2_firstorder_90Percentile,70
lbp.3D.m2_firstorder_RootMeanSquared,175
lbp.3D.m2_firstorder_Skewness,154
lbp.3D.k_glcm_ClusterShade,68
lbp.3D.k_glcm_Idmn,29
original_shape_Flatness,112
original_glcm_Imc2,89
log.sigma.2.0.mm.3D_glcm_JointEnergy,53
log.sigma.4.0.mm.3D_firstorder_Median,82
log.sigma.4.0.mm.3D_glcm_MaximumProbability,80
wavelet.LLH_firstorder_Mean,146
wavelet.LLH_firstorder_RootMeanSquared,117
wavelet.LLH_glcm_Correlation,22
wavelet.LHL_firstorder_Mean,100
wavelet.LHL_firstorder_Median,161
wavelet.LHH_glcm_ClusterTendency,95
wavelet.LHH_glcm_Idmn,27
wavelet.LHH_gldm_DependenceNonUniformityNormalized,45
wavelet.HLL_firstorder_90Percentile,101
wavelet.HLL_firstorder_Mean,174
wavelet.HLL_glcm_InverseVariance,19
wavelet.HLH_firstorder_Mean,71
wavelet.HLH_glcm_Imc1,69
wavelet.HLH_glcm_Imc2,28
wavelet.HLH_glszm_ZoneVariance,44
wavelet.HHL_glcm_Imc2,21
wavelet.HHH_glszm_SmallAreaEmphasis,143
wavelet.LLL_glcm_ClusterShade,193
lbp.3D.m1_glcm_JointAverage,82
lbp.3D.m1_glcm_ClusterShade,176
lbp.3D.m2_glcm_ClusterProminence,117
lbp.3D.m2_glcm_ClusterShade,109
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,75
logarithm_gldm_DependenceVariance,16
wavelet.LLH_firstorder_Median,79
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,31
wavelet.LHL_gldm_LowGrayLevelEmphasis,36
wavelet.HLL_glcm_ClusterTendency,76
wavelet.HLH_firstorder_Median,28
wavelet.HLH_firstorder_Skewness,53
wavelet.HHL_firstorder_Kurtosis,10
wavelet.LLL_glcm_Correlation,77
gradient_glszm_SmallAreaLowGrayLevelEmphasis,20
logarithm_glcm_JointEnergy,33
logarithm_glcm_Imc2,67
original_glszm_LargeAreaHighGrayLevelEmphasis,3
original_gldm_HighGrayLevelEmphasis,53
log.sigma.2.0.mm.3D_firstorder_90Percentile,44
log.sigma.2.0.mm.3D_glcm_Imc1,29
log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,8
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,17
wavelet.LLH_glcm_ClusterProminence,99
wavelet.LHL_glcm_Correlation,42
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,9
wavelet.HLL_glcm_Correlation,6
wavelet.HLL_glcm_Imc2,35
