f,count
original_shape_Flatness,73
original_firstorder_Minimum,64
original_glcm_Correlation,83
original_glszm_LargeAreaHighGrayLevelEmphasis,47
log.sigma.2.0.mm.3D_firstorder_90Percentile,102
log.sigma.2.0.mm.3D_glcm_Correlation,87
log.sigma.2.0.mm.3D_glcm_Imc1,98
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,192
log.sigma.3.0.mm.3D_glcm_Correlation,110
log.sigma.3.0.mm.3D_glszm_LargeAreaEmphasis,125
log.sigma.4.0.mm.3D_firstorder_Skewness,59
log.sigma.4.0.mm.3D_glcm_ClusterShade,170
log.sigma.4.0.mm.3D_glcm_JointEnergy,122
wavelet.LLH_firstorder_90Percentile,30
wavelet.LLH_firstorder_Mean,73
wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation,44
wavelet.LLH_glcm_ClusterProminence,39
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,153
wavelet.LHL_firstorder_90Percentile,51
wavelet.LHL_firstorder_MeanAbsoluteDeviation,106
wavelet.LHL_firstorder_Mean,120
wavelet.LHL_firstorder_Skewness,62
wavelet.LHL_glcm_JointEntropy,141
wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis,12
wavelet.LHH_gldm_GrayLevelVariance,164
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,34
wavelet.HLL_firstorder_90Percentile,78
wavelet.HLL_firstorder_Mean,228
wavelet.HLL_glcm_MaximumProbability,179
wavelet.HLL_glszm_LargeAreaEmphasis,113
wavelet.HLL_gldm_DependenceVariance,167
wavelet.HLH_glcm_ClusterProminence,67
wavelet.HLH_glcm_ClusterShade,97
wavelet.HLH_gldm_LowGrayLevelEmphasis,108
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,64
wavelet.HHL_firstorder_Median,82
wavelet.HHL_glcm_ClusterShade,150
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,108
wavelet.HHL_glszm_ZoneVariance,111
wavelet.HHH_glcm_Imc1,68
wavelet.HHH_glszm_LargeAreaEmphasis,157
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,175
wavelet.LLL_glrlm_GrayLevelNonUniformity,29
gradient_firstorder_10Percentile,64
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,19
lbp.3D.m1_firstorder_Median,165
lbp.3D.m1_firstorder_RootMeanSquared,191
lbp.3D.m2_firstorder_90Percentile,135
lbp.3D.m2_firstorder_RootMeanSquared,208
lbp.3D.m2_firstorder_Skewness,189
lbp.3D.m2_glcm_ClusterShade,206
lbp.3D.m2_glcm_Imc2,56
lbp.3D.k_firstorder_Range,188
lbp.3D.k_glcm_ClusterProminence,166
lbp.3D.k_glcm_Idmn,184
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,7
logarithm_glcm_ClusterTendency,51
logarithm_glcm_Imc2,137
logarithm_glszm_LargeAreaEmphasis,160
log.sigma.2.0.mm.3D_firstorder_Skewness,109
log.sigma.2.0.mm.3D_glcm_JointEnergy,112
log.sigma.4.0.mm.3D_glcm_Idmn,27
wavelet.LHL_firstorder_Kurtosis,50
wavelet.LHL_firstorder_Median,32
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,67
wavelet.LHH_glcm_ClusterShade,140
wavelet.HLL_firstorder_10Percentile,193
wavelet.HLL_firstorder_Median,60
wavelet.HLL_firstorder_RootMeanSquared,158
wavelet.HLL_glcm_Correlation,22
wavelet.HLH_glcm_JointEnergy,103
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,70
wavelet.HLH_glszm_ZoneVariance,133
wavelet.HHL_firstorder_Mean,103
wavelet.HHH_glcm_ClusterShade,29
