f,count
log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,224
wavelet.LHH_firstorder_Skewness,37
wavelet.HHL_firstorder_Median,222
wavelet.HHL_glszm_SmallAreaEmphasis,187
wavelet.HHH_glcm_Imc1,229
wavelet.LLL_firstorder_90Percentile,46
wavelet.HHL_glcm_Correlation,49
wavelet.HHH_glcm_ClusterShade,193
wavelet.HLH_glcm_Correlation,2
logarithm_glrlm_LongRunLowGrayLevelEmphasis,11
wavelet.HHL_glcm_Imc1,47
log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,7
wavelet.HLH_firstorder_Median,4
wavelet.HLH_firstorder_Kurtosis,4
wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,8
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,18
lbp.3D.k_glcm_ClusterProminence,6
wavelet.HLH_glcm_JointEnergy,4
logarithm_glcm_Imc1,2
lbp.3D.m2_glcm_ClusterShade,1
wavelet.HLH_firstorder_Mean,4
wavelet.LHH_firstorder_Kurtosis,21
lbp.3D.k_glszm_GrayLevelNonUniformityNormalized,1
wavelet.LHL_firstorder_Energy,4
wavelet.LHL_glcm_DifferenceVariance,4
wavelet.HHH_firstorder_Skewness,6
wavelet.HHL_firstorder_Kurtosis,1
lbp.3D.k_firstorder_Range,3
log.sigma.2.0.mm.3D_gldm_DependenceVariance,5
gradient_firstorder_Kurtosis,1
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,1
lbp.3D.k_firstorder_Kurtosis,1
lbp.3D.k_glcm_Correlation,1
iter,250
