f,count
wavelet.LHH_firstorder_Median,19
wavelet.HLL_glszm_LargeAreaEmphasis,44
wavelet.HLH_firstorder_Median,43
wavelet.HHH_glszm_SmallAreaEmphasis,72
lbp.3D.m2_firstorder_Maximum,53
log.sigma.2.0.mm.3D_glcm_Correlation,38
wavelet.HHL_firstorder_Median,100
wavelet.HHH_firstorder_Median,128
wavelet.HHH_firstorder_Skewness,96
lbp.3D.k_glszm_SmallAreaEmphasis,157
wavelet.LHH_glszm_SmallAreaEmphasis,4
wavelet.HHL_firstorder_Skewness,105
wavelet.HHH_firstorder_Energy,32
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,15
wavelet.HLL_firstorder_Skewness,17
wavelet.HLH_firstorder_Mean,3
wavelet.HHL_glcm_Idmn,7
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,6
original_shape_Sphericity,13
wavelet.LHH_glcm_ClusterProminence,15
wavelet.HHH_glcm_Imc1,12
wavelet.LHH_firstorder_Skewness,12
wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,2
lbp.3D.m2_gldm_LargeDependenceEmphasis,10
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,25
wavelet.HLH_glcm_ClusterShade,52
wavelet.HHH_glcm_ClusterShade,42
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,6
original_shape_Flatness,17
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,1
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HHH_firstorder_Mean,13
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,15
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,3
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.m2_firstorder_90Percentile,1
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.LLH_firstorder_Skewness,3
gradient_firstorder_Kurtosis,3
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HHH_gldm_DependenceNonUniformityNormalized,2
wavelet.HHH_firstorder_Kurtosis,1
wavelet.HHL_glcm_ClusterShade,1
lbp.3D.k_firstorder_Range,2
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.HLH_firstorder_Kurtosis,1
wavelet.HHL_firstorder_Kurtosis,1
iter,250
