"f","count"
"log.sigma.2.0.mm.3D_glcm_Imc2",18
"wavelet.LHL_firstorder_Median",181
"wavelet.LHL_gldm_DependenceEntropy",211
"wavelet.HLL_glcm_ClusterShade",3
"lbp.3D.m1_firstorder_Mean",237
"lbp.3D.m1_firstorder_Median",83
"wavelet.HHL_glcm_Correlation",9
"wavelet.HHL_glcm_ClusterShade",10
"wavelet.HHH_firstorder_Median",14
"log.sigma.2.0.mm.3D_glcm_Imc1",42
"wavelet.LLH_glcm_ClusterShade",38
"wavelet.LHL_firstorder_Skewness",30
"log.sigma.1.0.mm.3D_glcm_ClusterShade",24
"wavelet.LHL_glrlm_RunEntropy",28
"lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis",8
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",13
"gradient_glcm_Correlation",45
"gradient_glcm_Imc2",5
"log.sigma.1.0.mm.3D_glszm_SmallAreaEmphasis",4
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",13
"lbp.3D.m2_glcm_ClusterShade",9
"wavelet.LHL_firstorder_Kurtosis",6
"lbp.3D.k_glszm_SizeZoneNonUniformity",9
"log.sigma.1.0.mm.3D_glcm_Imc1",3
"wavelet.HLH_glszm_SizeZoneNonUniformity",8
"wavelet.LLL_glszm_GrayLevelNonUniformity",14
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",8
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",6
"wavelet.HLL_firstorder_Skewness",5
"wavelet.HLL_gldm_DependenceEntropy",8
"wavelet.HHH_glcm_Correlation",1
"log.sigma.3.0.mm.3D_firstorder_Median",8
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.HLH_glszm_ZoneEntropy",1
"wavelet.HLH_glcm_Correlation",1
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",5
"wavelet.HLL_glrlm_RunEntropy",8
"lbp.3D.m2_firstorder_90Percentile",2
"wavelet.HHH_firstorder_RootMeanSquared",3
"wavelet.LLL_glszm_SizeZoneNonUniformityNormalized",2
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.LHH_gldm_DependenceVariance",3
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",2
"original_gldm_SmallDependenceLowGrayLevelEmphasis",2
"logarithm_firstorder_90Percentile",4
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",1
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",2
"wavelet.HLL_glszm_SmallAreaEmphasis",3
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.HLL_firstorder_MeanAbsoluteDeviation",1
"wavelet.LLH_glszm_SizeZoneNonUniformity",1
"wavelet.LLL_glcm_Imc2",1
