"f","count"
"original_shape_Elongation",250
"original_shape_Flatness",250
"original_shape_Sphericity",247
"original_firstorder_10Percentile",77
"original_glrlm_LongRunLowGrayLevelEmphasis",211
"log.sigma.1.0.mm.3D_firstorder_RootMeanSquared",245
"log.sigma.1.0.mm.3D_glcm_ClusterShade",234
"log.sigma.1.0.mm.3D_glcm_Correlation",229
"log.sigma.1.0.mm.3D_glcm_Imc1",223
"log.sigma.2.0.mm.3D_firstorder_90Percentile",194
"log.sigma.2.0.mm.3D_firstorder_Variance",215
"log.sigma.2.0.mm.3D_glcm_ClusterShade",92
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",113
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",235
"log.sigma.3.0.mm.3D_firstorder_Median",219
"log.sigma.3.0.mm.3D_glcm_JointAverage",218
"log.sigma.3.0.mm.3D_glcm_Imc2",187
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",246
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",29
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",60
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",163
"wavelet.LLH_glcm_JointAverage",250
"wavelet.LLH_glcm_ClusterProminence",40
"wavelet.LLH_glcm_ClusterShade",206
"wavelet.LLH_glcm_Imc1",155
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",223
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",157
"wavelet.LLH_glszm_ZoneEntropy",139
"wavelet.LHL_firstorder_Median",248
"wavelet.LHL_glcm_Imc1",144
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",133
"wavelet.LHL_glrlm_RunEntropy",187
"wavelet.LHL_gldm_DependenceEntropy",120
"wavelet.LHH_firstorder_Mean",127
"wavelet.LHH_glcm_ClusterShade",231
"wavelet.LHH_glcm_Correlation",180
"wavelet.LHH_glcm_Imc1",227
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",220
"wavelet.LHH_glrlm_LowGrayLevelRunEmphasis",229
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",69
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",203
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",230
"wavelet.LHH_glszm_ZoneEntropy",152
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",224
"wavelet.HLL_firstorder_Kurtosis",185
"wavelet.HLL_firstorder_MeanAbsoluteDeviation",248
"wavelet.HLL_firstorder_Mean",241
"wavelet.HLL_firstorder_Skewness",165
"wavelet.HLL_glcm_ClusterShade",250
"wavelet.HLL_glcm_Correlation",187
"wavelet.HLL_glcm_Imc1",244
"wavelet.HLL_glcm_Imc2",16
"wavelet.HLL_glrlm_LongRunLowGrayLevelEmphasis",191
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",248
"wavelet.HLH_firstorder_Median",227
"wavelet.HLH_firstorder_Skewness",245
"wavelet.HLH_glcm_ClusterShade",215
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",116
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",112
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",250
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",193
"wavelet.HLH_gldm_DependenceNonUniformity",184
"wavelet.HLH_gldm_LowGrayLevelEmphasis",228
"wavelet.HHL_firstorder_Mean",236
"wavelet.HHL_firstorder_Median",244
"wavelet.HHL_firstorder_Skewness",237
"wavelet.HHL_glcm_ClusterShade",229
"wavelet.HHL_glcm_Imc1",234
"wavelet.HHL_glcm_InverseVariance",24
"wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis",164
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",208
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",160
"wavelet.HHL_glszm_LargeAreaEmphasis",145
"wavelet.HHH_firstorder_Kurtosis",171
"wavelet.HHH_firstorder_RootMeanSquared",229
"wavelet.HHH_firstorder_Skewness",250
"wavelet.HHH_glcm_ClusterShade",122
"wavelet.HHH_glcm_Imc1",178
"wavelet.HHH_glszm_GrayLevelVariance",73
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",129
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",248
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",250
"wavelet.HHH_gldm_LowGrayLevelEmphasis",249
"wavelet.LLL_firstorder_Median",242
"wavelet.LLL_glcm_ClusterProminence",95
"wavelet.LLL_glcm_Imc2",177
"wavelet.LLL_glcm_InverseVariance",17
"wavelet.LLL_glszm_GrayLevelVariance",99
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",128
"gradient_glszm_LowGrayLevelZoneEmphasis",35
"gradient_glszm_ZoneEntropy",183
"gradient_gldm_DependenceEntropy",173
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",98
"lbp.3D.m1_firstorder_Median",239
"lbp.3D.m1_firstorder_Skewness",128
"lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis",236
"lbp.3D.m2_firstorder_90Percentile",225
"lbp.3D.m2_glcm_ClusterShade",61
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",219
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",233
"lbp.3D.k_glszm_LowGrayLevelZoneEmphasis",233
"lbp.3D.k_glszm_SizeZoneNonUniformity",160
"lbp.3D.k_glszm_ZoneEntropy",161
"logarithm_firstorder_90Percentile",206
"logarithm_firstorder_Variance",90
"logarithm_glcm_Correlation",203
"logarithm_glszm_HighGrayLevelZoneEmphasis",167
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",241
"logarithm_glszm_SizeZoneNonUniformityNormalized",100
"original_firstorder_Kurtosis",86
"original_glcm_ClusterShade",158
"original_glrlm_LongRunHighGrayLevelEmphasis",24
"original_glrlm_RunEntropy",147
"original_glrlm_ShortRunLowGrayLevelEmphasis",229
"original_gldm_SmallDependenceLowGrayLevelEmphasis",186
"log.sigma.1.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",113
"log.sigma.1.0.mm.3D_gldm_DependenceEntropy",38
"log.sigma.2.0.mm.3D_firstorder_Skewness",67
"log.sigma.2.0.mm.3D_glcm_Imc2",153
"log.sigma.3.0.mm.3D_glszm_GrayLevelVariance",162
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",237
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",57
"wavelet.LLH_glrlm_RunEntropy",36
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",126
"wavelet.LLH_gldm_DependenceEntropy",55
"wavelet.LHL_firstorder_Skewness",85
"wavelet.LHL_glcm_JointAverage",200
"wavelet.LHL_glcm_Correlation",195
